Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
1,Luis Aguayo\aguaylu01,21,PHI,1st,20,13,20,19,0,0,0,14,0,5,0,0,0,0,2,1
2,Doyle Alexander\alexado01,29,ATL,10,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0
3,Matt Alexander\alexama01,33,PIT,8,37,1,37,5,0,0,0,1,0,0,2,2,0,4,0,34
4,Neil Allen\allenne01,22,NYM,2,59,0,59,59,59,0,0,0,0,0,0,0,0,0,0,0
5,Bill Almon\almonbi01,27,2TM,7,66,37,66,59,0,0,0,19,9,34,0,0,0,0,4,7
6,Joaquin Andujar\andujjo01,27,HOU,5,35,14,35,35,35,0,0,0,0,0,0,0,0,0,0,0
7,Mike Armstrong\armstmi01,26,SDP,1st,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0
8,Alan Ashby\ashbyal01,28,HOU,8,116,104,116,114,0,114,0,0,0,0,0,0,0,0,5,1
9,Brian Asselstine\asselbr01,26,ATL,5,87,53,87,61,0,0,0,0,0,0,29,32,2,61,26,1
10,Rick Auerbach\auerbri01,30,CIN,10,24,3,24,7,0,0,0,1,3,3,0,0,0,0,18,0
11,Ramon Aviles\avilera01,28,PHI,3,51,23,51,43,0,0,0,15,0,29,0,0,0,0,9,4
12,Wally Backman\backmwa01,20,NYM,1st,27,26,27,27,0,0,0,20,0,8,0,0,0,0,0,0
13,Stan Bahnsen\bahnsst01,35,MON,14,57,0,57,57,57,0,0,0,0,0,0,0,0,0,0,0
14,Doug Bair\bairdo01,30,CIN,5,61,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0
15,Chuck Baker\bakerch02,27,SDP,2,9,5,9,8,0,0,0,0,0,8,0,0,0,0,1,0
16,Dusty Baker\bakerdu01,31,LAD,13,153,149,153,151,0,0,0,0,0,0,151,1,1,151,4,0
17,Randy Bass\bassra01,26,SDP,4,19,14,19,15,0,0,15,0,0,0,0,0,0,0,4,0
18,Bob Beall\beallbo01,32,PIT,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
19,Joe Beckwith\beckwjo01,25,LAD,2,38,0,38,38,38,0,0,0,0,0,0,0,0,0,0,0
20,Johnny Bench\benchjo01,32,CIN,14,114,98,114,105,0,105,0,0,0,0,0,0,0,0,15,0
21,Bruce Benedict\benedbr01,24,ATL,3,120,111,120,120,0,120,0,0,0,0,0,0,0,0,0,1
22,Butch Benton\bentobu01,22,NYM,2,12,5,12,8,0,8,0,0,0,0,0,0,0,0,5,1
23,Juan Berenguer\berenju01,25,NYM,3,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0
24,Bruce Berenyi\berenbr01,25,CIN,1st,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0
25,Dave Bergman\bergmda01,27,HOU,5,90,9,90,63,0,0,59,0,0,0,3,0,2,5,33,5
26,Tony Bernazard\bernato01,23,MON,2,82,41,82,60,0,0,0,39,0,22,0,0,0,0,24,10
27,Dale Berra\berrada01,23,PIT,4,93,63,93,92,0,0,0,4,48,45,0,0,0,0,4,3
28,Kurt Bevacqua\bevacku01,33,2TM,10,84,15,84,31,0,0,3,2,22,0,4,0,0,4,63,0
29,Jim Bibby\bibbyji01,35,PIT,9,35,34,35,35,35,0,0,0,0,0,0,0,0,0,0,0
30,Larry Biittner\biittla01,33,CHC,11,127,57,127,75,0,0,41,0,0,0,20,1,17,38,61,1
31,Tim Blackwell\blackti01,27,CHC,7,103,93,103,103,0,103,0,0,0,0,0,0,0,0,0,2
32,Dennis Blair\blairde01,26,SDP,4,5,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0
33,Larvell Blanks\blankla01,30,ATL,9,88,51,88,85,0,0,0,1,43,56,0,0,0,0,12,2
34,Vida Blue\bluevi01,30,SFG,12,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0
35,Bert Blyleven\blylebe01,29,PIT,11,37,32,37,34,34,0,0,0,0,0,0,0,0,0,0,3
36,Bruce Bochy\bochybr01,25,HOU,3,22,2,22,11,0,10,1,0,0,0,0,0,0,0,14,0
37,Tommy Boggs\boggsto01,24,ATL,5,32,26,32,32,32,0,0,0,0,0,0,0,0,0,0,0
38,Mark Bomback\bombama01,27,NYM,2,36,25,36,36,36,0,0,0,0,0,0,0,0,0,0,0
39,Bobby Bonds\bondsbo01,34,STL,13,86,57,86,70,0,0,0,0,0,0,63,0,15,70,15,11
40,Bill Bonham\bonhabi01,31,CIN,10,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0
41,Bob Boone\boonebo01,32,PHI,9,141,130,141,138,0,138,0,0,0,0,0,0,0,0,5,0
42,Pedro Borbon\borbope01,33,STL,12,10,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0
43,Bill Bordley\bordlbi01,22,SFG,1st,8,6,8,8,8,0,0,0,0,0,0,0,0,0,0,0
44,Chris Bourjos\bourjch01,25,SFG,1st,13,3,13,6,0,0,0,0,0,0,2,0,4,6,9,0
45,Larry Bowa\bowala01,34,PHI,11,147,147,147,147,0,0,0,0,0,147,0,0,0,0,0,0
46,Larry Bradford\bradfla01,30,ATL,3,56,0,56,56,56,0,0,0,0,0,0,0,0,0,0,0
