Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Neil Allen\allenne01,24,NYM,3,7,.300,3.06,50,0,42,0,0,19,64.2,65,22,22,5,30,5,59,1,0,4,279,120,3.34,1.469,9.0,0.7,4.2,8.2,1.97
2,Porfi Altamirano\altampo01,30,PHI,5,1,.833,4.15,29,0,14,0,0,2,39.0,41,19,18,2,14,3,26,1,0,1,169,90,3.20,1.410,9.5,0.5,3.2,6.0,1.86
3,Jose Alvarez\alvarjo01,26,ATL,0,0,,4.70,7,0,2,0,0,0,7.2,8,4,4,1,2,1,6,0,0,1,29,84,3.63,1.304,9.4,1.2,2.3,7.0,3.00
4,Joaquin Andujar\andujjo01,29,STL,15,10,.600,2.47,38,37,1,9,5,0,265.2,237,85,73,11,50,7,137,7,2,3,1056,148,2.87,1.080,8.0,0.4,1.7,4.6,2.74
5,Stan Bahnsen\bahnsst01,37,PHI,0,0,,1.35,8,0,0,0,0,0,13.1,8,2,2,0,3,1,9,0,0,0,48,281,2.04,0.825,5.4,0.0,2.0,6.1,3.00
6,Doug Bair\bairdo01,32,STL,5,3,.625,2.55,63,0,33,0,0,8,91.2,69,27,26,7,36,13,68,1,0,2,372,143,3.44,1.145,6.8,0.7,3.5,6.7,1.89
7,Jay Baller\balleja01,21,PHI,0,0,,3.38,4,1,1,0,0,0,8.0,7,4,3,1,2,0,7,1,1,0,35,115,3.72,1.125,7.9,1.1,2.3,7.9,3.50
8,Jim Barr\barrji01,34,SFG,4,3,.571,3.29,53,9,9,1,1,2,128.2,125,54,47,9,20,5,36,4,1,1,520,109,3.63,1.127,8.7,0.6,1.4,2.5,1.80
9,Ross Baumgarten*\baumgro01,27,PIT,0,5,.000,6.55,12,10,1,0,0,0,44.0,60,33,32,3,27,1,17,0,1,4,208,58,4.67,1.977,12.3,0.6,5.5,3.5,0.63
10,Joe Beckwith\beckwjo01,27,LAD,2,1,.667,2.70,19,1,5,0,0,1,40.0,38,14,12,2,14,5,33,0,0,0,170,131,2.77,1.300,8.6,0.5,3.2,7.4,2.36
11,Steve Bedrosian\bedrost01,24,ATL,8,6,.571,2.42,64,3,30,0,0,11,137.2,102,39,37,7,57,5,123,4,0,0,567,156,2.92,1.155,6.7,0.5,3.7,8.0,2.16
12,Bruce Berenyi\berenbr01,27,CIN,9,18,.333,3.36,34,34,0,4,1,0,222.1,208,90,83,8,96,5,157,2,3,16,938,110,3.09,1.367,8.4,0.3,3.9,6.4,1.64
13,Doug Bird\birddo01,32,CHC,9,14,.391,5.14,35,33,1,2,1,0,191.0,230,119,109,26,30,3,71,3,0,1,819,73,4.26,1.361,10.8,1.2,1.4,3.3,2.37
14,Tommy Boggs\boggsto01,26,ATL,2,2,.500,3.30,10,10,0,0,0,0,46.1,43,22,17,2,22,1,29,2,0,2,197,115,3.58,1.403,8.4,0.4,4.3,5.6,1.32
