Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Shawn Abner\abnersh01,22,SDP,37,89,83,6,15,3,0,2,5,0,1,4,19,.181,.225,.289,.514,48,24,1,1,0,1,1,987
2,Jim Acker\ackerji01,29,ATL,21,6,5,0,2,0,0,0,0,0,0,1,1,.400,.500,.400,.900,158,2,0,0,0,0,0,1
3,Juan Agosto*\agostju01,30,HOU,75,6,5,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
4,Luis Aguayo\aguaylu01,29,PHI,49,111,97,9,24,3,0,3,5,2,0,13,17,.247,.336,.371,.707,103,36,2,0,1,0,2,65/4
5,Rick Aguilera\aguilri01,26,NYM,11,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,48,1,0,0,0,0,0,1
6,Gibson Alba*\albagi01,28,STL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
7,Mike Aldrete*\aldremi01,27,SFG,139,449,389,44,104,15,0,3,50,6,5,56,65,.267,.357,.329,.686,103,128,10,0,1,3,13,*793/8
8,Luis Alicea#\alicelu01,22,STL,93,330,297,20,63,10,4,1,24,1,1,25,32,.212,.276,.283,.559,61,84,12,2,4,2,4,4
9,Bill Almon\almonbi01,35,PHI,20,31,26,1,3,2,0,0,1,0,0,3,11,.115,.207,.192,.399,15,5,0,0,2,0,0,/563
10,Roberto Alomar#\alomaro01,20,SDP,143,611,545,84,145,24,6,9,41,24,6,47,83,.266,.328,.382,.709,105,208,15,3,16,0,5,*4
11,Sandy Alomar\alomasa02,22,SDP,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,
12,Jose Alvarez\alvarjo01,32,ATL,61,10,8,0,3,0,0,0,0,0,0,1,0,.375,.444,.375,.819,135,3,0,0,1,0,0,1
13,Larry Andersen\anderla02,35,HOU,53,6,6,1,2,0,0,0,0,0,0,0,1,.333,.333,.333,.667,96,2,0,0,0,0,0,1
14,Dave Anderson\anderda02,27,LAD,116,325,285,31,71,10,2,2,20,4,2,32,45,.249,.325,.319,.644,88,91,9,1,5,2,4,654
15,Joaquin Andujar#\andujjo01,35,HOU,23,22,19,0,4,2,0,0,0,0,0,2,9,.211,.286,.316,.602,76,6,0,0,1,0,0,1
16,Jack Armstrong\armstja01,23,CIN,14,22,21,0,2,0,0,0,0,0,0,0,10,.095,.095,.095,.190,-46,2,0,0,1,0,0,1
17,Scott Arnold\arnolsc01,25,STL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
18,Alan Ashby#\ashbyal01,36,HOU,73,261,227,19,54,10,0,7,33,0,0,29,36,.238,.319,.374,.694,103,85,5,0,1,4,3,2
19,Paul Assenmacher*\assenpa01,27,ATL,64,4,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,177,2,0,0,1,0,0,1
20,Wally Backman#\backmwa01,28,NYM,99,347,294,44,89,12,0,0,17,9,5,41,49,.303,.388,.344,.731,117,101,6,1,9,2,1,4
21,Mark Bailey#\bailema01,26,HOU,8,28,23,1,3,0,0,0,0,0,1,5,6,.130,.286,.130,.416,26,3,1,0,0,0,0,/2
22,Salome Barojas\barojsa01,31,PHI,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
23,Tim Barrett*\barreti01,27,MON,4,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
24,Tom Barrett#\barreto01,28,PHI,36,63,54,5,11,1,0,0,3,0,0,7,8,.204,.306,.222,.529,54,12,1,1,1,0,0,4
25,Kevin Bass#\basske01,29,HOU,157,595,541,57,138,27,2,14,72,31,6,42,65,.255,.314,.390,.704,105,211,16,6,3,3,10,*9
26,Steve Bedrosian\bedrost01,30,PHI,57,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
27,Tim Belcher\belchti01,26,LAD,36,61,56,2,4,2,0,1,3,0,0,0,28,.071,.071,.161,.232,-34,9,0,0,5,0,0,1
28,Buddy Bell\bellbu01,36,TOT,95,352,323,27,78,10,1,7,40,1,1,26,32,.241,.295,.344,.639,86,111,10,0,0,3,2,5/3
29,Buddy Bell\bellbu01,36,CIN,21,63,54,3,10,0,0,0,3,0,0,7,3,.185,.270,.185,.455,31,10,2,0,0,2,1,5/3
30,Buddy Bell\bellbu01,36,HOU,74,289,269,24,68,10,1,7,37,1,1,19,29,.253,.301,.375,.677,97,101,8,0,0,1,1,5/3
31,Rafael Belliard\bellira01,26,PIT,122,321,286,28,61,0,4,0,11,7,1,26,47,.213,.288,.241,.529,55,69,10,4,5,0,3,*6/4
32,Bruce Benedict\benedbr01,32,ATL,90,262,236,11,57,7,0,0,19,0,2,19,26,.242,.296,.271,.567,62,64,2,0,5,2,1,2
33,Damon Berryhill#\berryda01,24,CHC,95,332,309,19,80,19,1,7,38,1,0,17,56,.259,.295,.395,.690,93,122,11,0,3,3,5,2
