Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Ed Acosta\acosted01,28,SDP,3,6,.333,4.45,46,2,20,0,0,0,89.0,105,49,44,7,30,7,53,3,1,5,394,74,3.34,1.517,10.6,0.7,3.0,5.4,1.77
2,Jack Aker\akerja01,31,CHC,6,6,.500,2.96,48,0,39,0,0,17,67.0,65,31,22,4,23,5,36,5,0,1,289,128,3.35,1.313,8.7,0.5,3.1,4.8,1.57
3,Steve Arlin\arlinst01,26,SDP,10,21,.323,3.60,38,37,1,12,3,0,250.0,217,115,100,19,122,15,159,9,1,15,1072,91,3.69,1.356,7.8,0.7,4.4,5.7,1.30
4,Steve Barber*\barbest01,34,ATL,0,0,,5.74,5,0,4,0,0,0,15.2,18,10,10,1,6,0,6,1,1,2,71,67,3.80,1.532,10.3,0.6,3.4,3.4,1.00
5,Ray Bare\barera01,23,STL,0,1,.000,0.54,14,0,5,0,0,1,16.2,18,2,1,0,6,2,5,0,0,0,71,651,2.88,1.440,9.7,0.0,3.2,2.7,0.83
6,Jim Barr\barrji01,24,SFG,8,10,.444,2.87,44,18,13,8,2,2,179.0,166,66,57,16,41,8,86,3,1,1,732,122,3.34,1.156,8.3,0.8,2.1,4.3,2.10
7,Jim Bibby\bibbyji01,27,STL,1,3,.250,3.35,6,6,0,0,0,0,40.1,29,18,15,4,19,4,28,1,0,2,166,103,3.79,1.190,6.5,0.9,4.2,6.2,1.47
8,Jack Billingham\billija01,29,CIN,12,12,.500,3.18,36,31,2,8,4,1,217.2,197,83,77,18,64,8,137,7,0,8,901,101,3.19,1.199,8.1,0.7,2.6,5.7,2.14
9,Wade Blasingame*\blasiwa01,28,HOU,0,0,,8.64,10,0,3,0,0,0,8.1,4,9,8,1,8,0,9,2,0,1,40,41,5.40,1.440,4.3,1.1,8.6,9.7,1.13
10,Steve Blass\blassst01,30,PIT,19,8,.704,2.49,33,32,0,11,2,0,249.2,227,80,69,18,84,8,117,4,1,6,1024,135,3.46,1.246,8.2,0.6,3.0,4.2,1.39
11,Bill Bonham\bonhabi01,23,CHC,1,1,.500,3.12,19,4,8,0,0,4,57.2,56,22,20,4,25,2,49,1,0,2,245,122,2.95,1.405,8.7,0.6,3.9,7.6,1.96
12,Pedro Borbon\borbope01,25,CIN,8,3,.727,3.17,62,2,26,0,0,11,122.0,115,45,43,5,32,11,48,3,0,3,501,102,3.01,1.205,8.5,0.4,2.4,3.5,1.50
13,Bucky Brandon\brandbu01,31,PHI,7,7,.500,3.45,42,6,17,0,0,2,104.1,106,49,40,9,46,8,67,6,1,3,454,105,3.73,1.457,9.1,0.8,4.0,5.8,1.46
14,Jim Brewer*\breweji01,34,LAD,8,7,.533,1.26,51,0,41,0,0,17,78.1,41,16,11,6,25,11,69,2,0,1,303,267,2.67,0.843,4.7,0.7,2.9,7.9,2.76
15,Nelson Briles\brilene01,28,PIT,14,11,.560,3.08,28,27,1,9,2,0,195.2,185,83,67,14,43,8,120,1,0,2,802,109,2.78,1.165,8.5,0.6,2.0,5.5,2.79
16,Ron Bryant*\bryanro01,24,SFG,14,7,.667,2.90,35,28,1,11,4,0,214.0,176,81,69,20,77,5,107,2,2,8,879,121,3.72,1.182,7.4,0.8,3.2,4.5,1.39
17,Mike Caldwell*\caldwmi01,23,SDP,7,11,.389,4.01,42,20,10,4,2,2,163.2,183,92,73,10,49,14,102,4,0,5,714,82,2.92,1.418,10.1,0.5,2.7,5.6,2.08
18,Buzz Capra\caprabu01,24,NYM,3,2,.600,4.58,14,6,2,0,0,0,53.0,50,27,27,7,27,1,45,0,0,1,227,74,3.95,1.453,8.5,1.2,4.6,7.6,1.67
19,Steve Carlton*\carltst01,27,PHI,27,10,.730,1.97,41,41,0,30,8,0,346.1,257,84,76,17,87,8,310,1,2,8,1351,182,2.01,0.993,6.7,0.4,2.3,8.1,3.56
20,Don Carrithers\carrido01,22,SFG,4,8,.333,5.80,25,14,3,2,0,1,90.0,108,66,58,10,42,4,42,5,0,8,417,60,4.48,1.667,10.8,1.0,4.2,4.2,1.00
21,Clay Carroll\carrocl02,31,CIN,6,4,.600,2.25,65,0,54,0,0,37,96.0,89,27,24,5,32,9,51,1,0,2,392,144,3.04,1.260,8.3,0.5,3.0,4.8,1.59
22,Bill Champion\champbi01,24,PHI,4,14,.222,5.09,30,22,1,2,0,0,132.2,155,80,75,11,54,8,54,1,0,7,584,71,3.91,1.575,10.5,0.7,3.7,3.7,1.00
23,Lance Clemons*\clemola01,24,STL,0,1,.000,10.13,3,1,2,0,0,0,5.1,8,7,6,1,5,0,2,1,0,1,28,37,7.46,2.438,13.5,1.7,8.4,3.4,0.40
24,Reggie Cleveland\clevere01,24,STL,14,15,.483,3.94,33,33,0,11,3,0,230.2,229,120,101,21,60,12,153,5,2,3,971,87,3.10,1.253,8.9,0.8,2.3,6.0,2.55
25,Tony Cloninger\clonito01,31,STL,0,2,.000,5.19,17,0,4,0,0,0,26.0,29,17,15,2,19,3,11,1,0,0,122,67,4.86,1.846,10.0,0.7,6.6,3.8,0.58
26,Clint Compton*\comptcl01,21,CHC,0,0,,9.00,1,0,0,0,0,0,2.0,2,2,2,0,2,0,0,0,0,0,9,50,5.40,2.000,9.0,0.0,9.0,0.0,0.00
27,Mike Corkins\corkimi01,26,SDP,6,9,.400,3.54,47,9,18,2,1,6,140.0,125,61,55,14,62,9,108,4,2,5,603,93,3.57,1.336,8.0,0.9,4.0,6.9,1.74
28,Mike Cosgrove*\cosgrmi01,21,HOU,0,1,.000,4.61,7,1,3,0,0,1,13.2,16,8,7,2,3,0,7,0,0,1,60,75,3.94,1.390,10.5,1.3,2.0,4.6,2.33
29,George Culver\culvege01,28,HOU,6,2,.750,3.05,45,0,16,0,0,2,97.1,73,33,33,7,43,3,82,5,0,2,401,110,3.13,1.192,6.8,0.6,4.0,7.6,1.91
30,John Cumberland*\cumbejo01,25,TOT,1,5,.167,7.71,23,7,4,0,0,0,46.2,61,46,40,12,14,0,15,0,1,2,215,46,6.00,1.607,11.8,2.3,2.7,2.9,1.07
31,John Cumberland*\cumbejo01,25,SFG,0,4,.000,8.64,9,6,1,0,0,0,25.0,38,29,24,6,7,0,8,0,1,1,124,41,5.72,1.800,13.7,2.2,2.5,2.9,1.14
32,John Cumberland*\cumbejo01,25,STL,1,1,.500,6.65,14,1,3,0,0,0,21.2,23,17,16,6,7,0,7,0,0,1,91,53,6.32,1.385,9.6,2.5,2.9,2.9,1.00
33,Joe Decker\deckejo01,25,CHC,1,0,1.000,2.13,5,1,1,0,0,0,12.2,9,3,3,1,4,0,7,0,0,0,52,182,3.27,1.026,6.4,0.7,2.8,5.0,1.75
34,Larry Dierker\dierkla01,25,HOU,15,8,.652,3.40,31,31,0,12,5,0,214.2,209,87,81,14,51,0,115,5,1,3,887,99,2.96,1.211,8.8,0.6,2.1,4.8,2.25
35,Al Downing*\downial01,31,LAD,9,9,.500,2.98,31,30,1,7,4,0,202.2,196,81,67,13,67,2,117,7,1,2,868,113,3.17,1.298,8.7,0.6,3.0,5.2,1.75
36,Dave Downs\downsda01,20,PHI,1,1,.500,2.74,4,4,0,1,1,0,23.0,25,7,7,1,3,0,5,1,1,2,89,134,3.05,1.217,9.8,0.4,1.2,2.0,1.67
37,Moe Drabowsky\drabomo01,36,STL,1,1,.500,2.60,30,0,15,0,0,2,27.2,29,13,8,4,14,4,22,1,0,2,128,134,4.31,1.554,9.4,1.3,4.6,7.2,1.57
38,Don Durham\durhado01,23,STL,2,7,.222,4.34,10,8,0,1,0,0,47.2,42,28,23,1,22,5,35,0,0,2,207,80,2.59,1.343,7.9,0.2,4.2,6.6,1.59
39,Dock Ellis\ellisdo01,27,PIT,15,7,.682,2.70,25,25,0,4,1,0,163.1,156,60,49,6,33,4,96,3,0,2,663,125,2.36,1.157,8.6,0.3,1.8,5.3,2.91
40,Rich Folkers*\folkeri01,25,STL,1,0,1.000,3.38,9,0,4,0,0,0,13.1,12,5,5,0,5,0,7,0,0,1,56,105,2.47,1.275,8.1,0.0,3.4,4.7,1.40
41,Ken Forsch\forscke01,25,HOU,6,8,.429,3.91,30,24,3,1,0,0,156.1,163,75,68,19,62,1,113,0,0,9,671,86,3.72,1.439,9.4,1.1,3.6,6.5,1.82
42,Jimmy Freeman*\freemji01,21,ATL,2,2,.500,6.00,6,6,0,1,0,0,36.0,40,26,24,5,22,1,18,0,0,4,167,64,5.04,1.722,10.0,1.3,5.5,4.5,0.82
43,Danny Frisella\friseda01,26,NYM,5,8,.385,3.34,39,0,31,0,0,9,67.1,63,31,25,8,20,5,46,0,0,6,284,101,3.47,1.233,8.4,1.1,2.7,6.1,2.30
44,Woodie Fryman*\frymawo01,32,PHI,4,10,.286,4.36,23,17,4,3,2,1,119.2,131,64,58,15,39,9,69,2,2,2,518,83,3.90,1.421,9.9,1.1,2.9,5.2,1.77
