Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,PH,PR
1,Glenn Adams\adamsgl01,28,SFG,2,69,3,69,6,0,0,0,0,0,0,4,0,2,6,63,0
2,Mike Adams\adamsmi02,27,CHC,3,25,3,25,7,0,0,0,1,3,0,2,0,2,4,21,1
3,Santo Alcala\alcalsa01,23,CIN,1st,30,21,30,30,30,0,0,0,0,0,0,0,0,0,0,0
4,Gary Alexander\alexaga01,23,SFG,2,23,22,23,23,0,23,0,0,0,0,0,0,0,0,0,0
5,Dick Allen\allendi01,34,PHI,14,85,83,85,85,0,0,85,0,0,0,0,0,0,0,2,0
6,Bill Almon\almonbi01,23,SDP,3,14,14,14,13,0,0,0,0,0,13,0,0,0,0,0,0
7,Luis Alvarado\alvarlu01,27,STL,8,16,12,16,16,0,0,0,16,0,0,0,0,0,0,0,1
8,Mike Anderson\andermi01,25,STL,6,86,51,86,63,0,0,5,0,0,0,24,2,33,58,26,0
9,Fred Andrews\andrefr01,24,PHI,1st,4,2,4,4,0,0,0,4,0,0,0,0,0,0,0,0
10,Rob Andrews\andrero01,23,HOU,2,109,101,109,108,0,0,0,108,0,2,0,0,0,0,0,2
11,Joaquin Andujar\andujjo01,23,HOU,1st,28,25,28,28,28,0,0,0,0,0,0,0,0,0,0,0
12,Bob Apodaca\apodabo01,26,NYM,4,43,3,43,43,43,0,0,0,0,0,0,0,0,0,1,0
13,Tony Armas\armasto01,22,PIT,1st,4,1,4,2,0,0,0,0,0,0,1,1,0,2,2,0
14,Ed Armbrister\armbred01,27,CIN,4,73,13,73,32,0,0,0,0,0,0,20,0,13,32,34,15
15,Chris Arnold\arnolch01,28,SFG,6,60,5,60,12,0,0,1,8,4,1,0,0,0,0,51,0
16,Tucker Ashford\ashfotu01,21,SDP,1st,4,1,4,1,0,0,0,0,1,0,0,0,0,0,2,1
17,Brian Asselstine\asselbr01,22,ATL,1st,11,9,11,9,0,0,0,0,0,0,0,7,2,9,2,0
18,Bill Atkinson\atkinbi01,21,MON,1st,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
19,Rick Auerbach\auerbri01,26,LAD,6,36,12,36,26,0,0,0,7,8,12,0,0,0,0,4,10
20,Al Autry\autryal01,24,ATL,1st,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
21,Benny Ayala\ayalabe01,25,NYM,2,22,4,22,7,0,0,0,0,0,0,3,0,4,7,16,1
22,Bob Bailey\bailebo01,33,CIN,15,69,35,69,40,0,0,0,0,10,0,31,0,0,31,29,0
23,Doug Bair\bairdo01,26,PIT,1st,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
24,Dusty Baker\bakerdu01,27,LAD,9,112,97,112,106,0,0,0,0,0,0,0,83,24,106,9,1
25,Billy Baldwin\baldwbi01,28,NYM,2,9,5,9,5,0,0,0,0,0,0,3,0,2,5,4,0
26,Rick Baldwin\baldwri01,23,NYM,2,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0
27,Mike Barlow\barlomi01,28,HOU,2,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0
28,Jim Barr\barrji01,28,SFG,6,41,37,41,37,37,0,0,0,0,0,0,0,0,0,1,3
29,Mike Beard\beardmi01,26,ATL,3,30,0,30,30,30,0,0,0,0,0,0,0,0,0,0,0
30,Rob Belloir\belloro01,27,ATL,2,30,18,30,27,0,0,0,5,10,12,0,0,0,0,3,1
31,Johnny Bench\benchjo01,28,CIN,10,135,123,135,131,0,128,1,0,0,0,5,0,0,5,9,0
32,Larry Biittner\biittla01,29,2TM,7,89,49,89,62,0,0,33,0,0,0,24,0,8,31,34,0
33,Jack Billingham\billija01,33,CIN,9,34,29,34,34,34,0,0,0,0,0,0,0,0,0,0,0
34,Tim Blackwell\blackti01,23,PHI,3,4,0,4,4,0,4,0,0,0,0,0,0,0,0,2,0
35,Dennis Blair\blairde01,22,MON,3,5,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0
36,Bruce Boisclair\boiscbr01,23,NYM,2,110,60,110,87,0,0,0,0,0,0,37,40,19,87,24,9
37,Bill Bonham\bonhabi01,27,CHC,6,32,31,32,32,32,0,0,0,0,0,0,0,0,0,0,0
38,Bob Boone\boonebo01,28,PHI,5,121,102,121,112,0,108,4,0,0,0,0,0,0,0,12,0
39,Pedro Borbon\borbope01,29,CIN,8,69,1,69,69,69,0,0,0,0,0,0,0,0,0,1,0
40,Rick Bosetti\bosetri01,22,PHI,1st,13,4,13,6,0,0,0,0,0,0,1,4,1,6,1,8
41,Ken Boswell\bosweke01,30,HOU,10,91,15,91,20,0,0,0,3,16,0,1,0,0,1,76,0
42,Larry Bowa\bowala01,30,PHI,7,156,155,156,156,0,0,0,0,0,156,0,0,0,0,0,0
43,Lou Brock\brocklo01,37,STL,16,133,119,133,123,0,0,0,0,0,0,123,0,0,123,12,1
44,Leon Brown\brownle02,27,NYM,1st,64,14,64,43,0,0,0,0,0,0,8,29,6,43,9,23
45,Ollie Brown\brownol02,32,PHI,12,92,50,92,76,0,0,0,0,0,0,10,0,69,76,35,1
46,Bill Buckner\bucknbi01,26,LAD,8,154,153,154,153,0,0,1,0,0,0,152,0,6,153,1,0
47,Glenn Burke\burkegl01,23,LAD,1st,25,13,25,20,0,0,0,0,0,0,5,15,0,20,1,7
48,Ray Burris\burrira01,25,CHC,4,39,36,39,37,37,0,0,0,0,0,0,0,0,0,0,2
49,Enos Cabell\cabelen01,26,HOU,5,144,142,144,143,0,0,3,0,143,0,0,0,0,0,1,0
50,Mike Caldwell\caldwmi01,27,SFG,6,50,9,50,50,50,0,0,0,0,0,0,0,0,0,0,0
51,Rick Camp\campri01,23,ATL,1st,5,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0
52,John Candelaria\candejo01,22,PIT,2,32,31,32,32,32,0,0,0,0,0,0,0,0,0,0,0
53,Doug Capilla\capildo01,24,STL,1st,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0
54,Buzz Capra\caprabu01,28,ATL,6,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0
55,Jose Cardenal\cardejo02,32,CHC,14,136,125,136,128,0,0,0,0,0,0,127,0,2,128,10,0
56,Steve Carlton\carltst01,31,PHI,12,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0
57,Don Carrithers\carrido01,26,MON,7,35,19,35,34,34,0,0,0,0,0,0,0,0,0,0,1
58,Gary Carter\cartega01,22,MON,3,91,88,91,89,0,60,0,0,0,0,2,0,34,36,2,0
59,Dave Cash\cashda01,28,PHI,8,160,157,160,158,0,0,0,158,0,0,0,0,0,0,3,0
60,Cesar Cedeno\cedence01,25,HOU,7,150,145,150,146,0,0,0,0,0,0,0,146,0,146,5,0
61,Ron Cey\ceyro01,28,LAD,6,145,143,145,144,0,0,0,0,144,0,0,0,0,0,1,0
62,Mike Champion\champmi01,21,SDP,1st,11,10,11,11,0,0,0,11,0,0,0,0,0,0,0,1
63,Darrel Chaney\chaneda01,28,ATL,8,153,147,153,152,0,0,0,1,1,151,0,0,0,0,4,1
64,Charlie Chant\chantch01,24,STL,2,15,3,15,14,0,0,0,0,0,0,7,2,5,14,1,3
65,Rich Chiles\chileri01,26,HOU,4,5,0,5,1,0,0,0,0,0,0,1,0,0,1,4,0
66,Larry Christenson\chrisla01,22,PHI,4,32,29,32,32,32,0,0,0,0,0,0,0,0,0,0,0
67,Doug Clarey\claredo01,22,STL,1st,9,0,9,7,0,0,0,7,0,0,0,0,0,0,2,2
68,Jack Clark\clarkja01,20,SFG,2,26,26,26,26,0,0,0,0,0,0,4,20,8,26,0,0
69,Nate Colbert\colbena01,30,MON,10,14,11,14,12,0,0,6,0,0,0,7,0,0,7,3,0
70,Joe Coleman\colemjo05,29,CHC,12,39,4,39,39,39,0,0,0,0,0,0,0,0,0,0,0
71,Dave Concepcion\conceda01,28,CIN,7,152,142,152,150,0,0,0,0,0,150,0,0,0,0,3,1
72,Vic Correll\correvi01,30,ATL,4,69,58,69,65,0,65,0,0,0,0,0,0,0,0,6,0
73,Mike Cosgrove\cosgrmi01,25,HOU,5,22,16,22,22,22,0,0,0,0,0,0,0,0,0,0,0
74,Jim Cox\coxji01,26,MON,4,13,9,13,11,0,0,0,11,0,0,0,0,0,0,2,0
75,Willie Crawford\crawfwi01,29,STL,13,120,100,120,107,0,0,0,0,0,0,2,0,105,107,19,0
76,Warren Cromartie\cromawa01,22,MON,2,33,17,33,20,0,0,0,0,0,0,5,0,16,20,14,1
77,Ken Crosby\crosbke01,28,CHC,2,7,1,7,7,7,0,0,0,0,0,0,0,0,0,0,0
78,Terry Crowley\crowlte01,29,ATL,8,7,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
79,Hector Cruz\cruzhe01,23,STL,3,151,148,151,148,0,0,0,0,148,0,0,0,0,0,3,0
80,Henry Cruz\cruzhe02,24,LAD,2,49,17,49,23,0,0,0,0,0,0,5,5,17,23,26,0
81,Jose Cruz\cruzjo01,28,HOU,7,133,114,133,125,0,0,0,0,0,0,84,14,32,125,11,1
82,John Curtis\curtijo01,28,STL,7,38,15,38,37,37,0,0,0,0,0,0,0,0,0,0,1
83,John D'Acquisto\d'acqjo01,24,SFG,4,28,19,28,28,28,0,0,0,0,0,0,0,0,0,0,0
84,Bruce Dal Canton\dalcabr01,35,ATL,10,42,1,42,42,42,0,0,0,0,0,0,0,0,0,0,0
85,Pat Darcy\darcypa01,26,CIN,3,11,4,11,11,11,0,0,0,0,0,0,0,0,0,0,0
86,Jerry DaVanon\davanje01,30,HOU,7,61,25,61,43,0,0,0,18,9,18,0,0,0,0,20,8
87,Bob Davis\davisbo02,24,SDP,3,51,26,51,47,0,47,0,0,0,0,0,0,0,0,0,8
88,Willie Davis\daviswi02,36,SDP,17,141,121,141,128,0,0,0,0,0,0,0,128,0,128,13,3
89,Andre Dawson\dawsoan01,21,MON,1st,24,24,24,24,0,0,0,0,0,0,8,14,2,24,0,0
90,Ivan de Jesus\dejesiv01,23,LAD,3,22,11,22,20,0,0,0,0,7,13,0,0,0,0,1,4
