Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Luis Aguayo\aguaylu01,21,PHI,20,50,47,7,13,1,2,1,8,1,1,2,3,.277,.300,.447,.747,102,21,0,0,0,1,0,4/6
2,Doyle Alexander\alexado01,29,ATL,35,89,83,7,15,3,0,0,3,0,0,3,24,.181,.209,.217,.426,18,18,1,0,3,0,0,1
3,Matt Alexander#\alexama01,33,PIT,37,3,3,13,1,1,0,0,0,10,3,0,0,.333,.333,.667,1.000,170,2,0,0,0,0,0,/874
4,Neil Allen\allenne01,22,NYM,59,16,14,0,2,0,0,0,0,0,0,1,7,.143,.200,.143,.343,-1,2,0,0,1,0,0,1
5,Bill Almon\almonbi01,27,TOT,66,160,150,15,29,4,3,0,7,2,0,9,32,.193,.238,.260,.498,41,39,2,0,0,1,1,64/5
6,Bill Almon\almonbi01,27,MON,18,40,38,2,10,1,1,0,3,0,0,1,5,.263,.275,.342,.617,72,13,2,0,0,1,0,6/4
7,Bill Almon\almonbi01,27,NYM,48,120,112,13,19,3,2,0,4,2,0,8,27,.170,.225,.232,.457,30,26,0,0,0,0,1,64/5
8,Joaquin Andujar#\andujjo01,27,HOU,35,37,29,3,5,0,1,1,3,0,0,3,16,.172,.250,.345,.595,71,10,1,0,5,0,0,1
9,Mike Armstrong\armstmi01,26,SDP,11,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
10,Alan Ashby#\ashbyal01,28,HOU,116,394,352,30,90,19,2,3,48,0,0,35,40,.256,.319,.347,.665,93,122,11,0,2,5,12,*2
11,Brian Asselstine*\asselbr01,26,ATL,87,235,218,18,62,13,1,3,25,1,3,11,37,.284,.318,.394,.712,96,86,9,1,2,3,3,87/9
12,Rick Auerbach\auerbri01,30,CIN,24,37,33,5,11,1,1,1,4,0,3,3,5,.333,.389,.515,.904,150,17,0,0,1,0,0,/564
13,Ramon Aviles\avilera01,28,PHI,51,115,101,12,28,6,0,2,9,0,0,10,9,.277,.336,.396,.732,100,40,3,0,2,2,2,64
14,Wally Backman#\backmwa01,20,NYM,27,110,93,12,30,1,1,0,9,2,3,11,14,.323,.396,.355,.751,115,33,3,1,4,1,1,4/6
15,Stan Bahnsen\bahnsst01,35,MON,57,13,9,1,1,1,0,0,0,0,0,4,3,.111,.385,.222,.607,74,2,1,0,0,0,0,1
16,Doug Bair\bairdo01,30,CIN,61,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
17,Chuck Baker\bakerch02,27,SDP,9,22,22,0,3,1,0,0,0,0,0,0,4,.136,.136,.182,.318,-9,4,0,0,0,0,0,/6
18,Dusty Baker\bakerdu01,31,LAD,153,638,579,80,170,26,4,29,97,12,10,43,66,.294,.339,.503,.842,134,291,11,3,1,12,4,*7/89
19,Randy Bass*\bassra01,26,SDP,19,57,49,5,14,0,1,3,8,0,0,7,7,.286,.386,.510,.896,156,25,0,1,0,0,1,3
20,Bob Beall#\beallbo01,32,PIT,3,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,
