Name	Tm	Elig Pos	RBI	HR	AVG	SB	AB	H	R	BB	SO	OBP	SLG	OPS
Abreu, Tony	SF	UT,MI,2B	15	1	.257	0	70	18	5	2	13	.284	.357	.641
Adams, Matt	StL	1B,CM,UT	13	2	.244	0	86	21	8	5	24	.286	.384	.669
Amezaga, Alfredo	LAD(NRI)	MI,UT,2B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Asche, Cody	Phi(NRI)	CM,UT,3B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Baez, Javier	ChC(NRI)	MI,UT,SS	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Barnhart, Tucker	Cin(NRI)	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Baxter, Mike	NYM	UT,OF	17	3	.263	5	179	47	26	25	45	.365	.413	.778
Betancourt, Yuniesky	Phi(NRI)	UT,MI,2B	36	7	.228	0	215	49	21	9	25	.256	.400	.656
Bethancourt, Christian	Atl	C,UT	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Bianchi, Jeff	Mil	UT,MI,SS	9	3	.188	0	69	13	8	4	13	.230	.348	.578
Bixler, Brian	NYM(NRI)	UT,OF	7	2	.193	3	88	17	11	7	36	.253	.330	.582
Blackmon, Charlie	Col	UT,OF	9	2	.283	1	113	32	15	4	17	.325	.407	.732
Blanco, Andres	Phi	MI,UT,SS	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Blanks, Kyle	SD	1B,CM,UT,OF	0	0	.200	0	5	1	0	1	2	.333	.200	.533
Bogusevic, Brian	ChC(NRI)	UT,OF	28	7	.203	15	355	72	39	41	96	.297	.299	.596
Bond, Brock	SF(NRI)	MI,UT,2B	0	0	.000	0	0	0	0	0	0	.000	.000	.000
Boscan, J.C.	ChC(NRI)	C,UT	2	0	.200	0	10	2	0	0	1	.200	.200	.400
Brignac, Reid	Col	UT,MI,SS	1	0	.095	0	21	2	1	1	5	.136	.095	.232
