Name	Tm	W	SV	ERA	WHIP	IP	G	H	SO	BB	ER
Abad, Fernando	Was(NRI)	0	0	5.09	1.652	46.0	37	57	38	19	26
Abreu, Juan	LAD(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Accardo, Jeremy	Was(NRI)	0	0	4.82	1.554	37.3	27	42	29	16	20
Adams, Mike	Phi	5	1	3.27	1.395	52.3	61	56	45	17	19
Albaladejo, Jonathan	Mia(NRI)	0	0	9.00	1.667	3.0	3	5	2	0	3
Alvarez, Henderson	Mia	9	0	4.85	1.441	187.3	31	216	79	54	101
Asencio, Jairo	Mil(NRI)	1	0	4.91	1.438	40.3	30	39	29	19	22
Atchison, Scott	NYM(NRI)	2	0	1.58	0.994	51.3	42	42	36	9	9
Aumont, Phillippe	Phi	0	2	3.68	1.295	14.7	18	10	14	9	6
Avilan, Luis	Atl	1	0	2.00	1.028	36.0	31	27	33	10	8
Badenhop, Burke	Mil	3	0	3.03	1.203	62.3	66	63	42	12	21
Baker, Scott	ChC	0	0	0.00	0.000	0.0	0	0	0	0	0
Bastardo, Antonio	Phi	2	1	4.33	1.269	52.0	65	40	81	26	25
Batista, Miguel	Col(NRI)	1	0	4.61	1.728	52.7	35	58	36	33	27
Beachy, Brandon	Atl	5	0	2.00	0.963	81.0	13	49	68	29	18
Betancourt, Rafael	Col	1	31	2.81	1.127	57.7	60	53	57	12	18
Bochy, Brett	SF(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Bonine, Eddie	Ari	0	0	0.00	0.000	0.0	0	0	0	0	0
Bonser, Boof	SF(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Bowden, Michael	ChC	0	0	2.95	1.235	39.7	32	32	32	17	13
Brach, Brad	SD	2	0	3.78	1.245	66.7	67	50	75	33	28
Bradley, Jed	Mil(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Brown, Brooks	Pit(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Burke, Greg	NYM	0	0	0.00	0.000	0.0	0	0	0	0	0
Butler, Keith	StL	0	0	0.00	0.000	0.0	0	0	0	0	0
Byrd, Darren	Mil(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Byrdak, Tim	NYM(NRI)	2	0	4.40	1.174	30.7	56	18	34	18	15
Camp, Shawn	ChC	3	2	3.59	1.288	77.7	80	79	54	21	31
Carpenter, Andrew	ChC(NRI)	0	0	5.00	1.444	9.0	6	7	9	6	5
Carpenter, David	Atl	0	0	8.07	2.072	32.3	33	51	31	16	29
Carson, Robert	NYM	0	0	4.72	1.275	13.3	17	13	5	4	7
Cassevah, Bobby	Col(NRI)	1	0	7.20	2.200	5.0	4	5	2	6	4
Ceda, Jose	Mia	0	0	0.00	0.000	0.0	0	0	0	0	0
Chapman, Jaye	ChC(NRI)	0	0	3.75	1.500	12.0	14	8	12	10	5
Chatwood, Tyler	Col	5	1	5.43	1.655	64.7	19	74	41	33	39
Choate, Randy	StL	0	1	3.03	1.216	38.7	80	29	38	18	13
Cleto, Maikel	StL	0	0	7.00	1.667	9.0	9	13	15	2	7
Clippard, Tyler	Was	2	32	3.72	1.156	72.7	74	55	84	29	30
Coleman, Casey	ChC(NRI)	0	0	7.40	2.014	24.3	17	37	16	12	20
Contreras, Jose	Pit(NRI)	1	0	5.27	1.171	13.7	17	13	15	3	8
Cook, Aaron	Phi(NRI)	4	0	5.65	1.468	94.0	18	117	20	21	59
Corpas, Manny	Col(NRI)	0	0	5.01	1.414	46.7	48	50	28	16	26
Cortes, Dan	Ari	0	0	0.00	0.000	0.0	0	0	0	0	0
Davis, Erik	Was	0	0	0.00	0.000	0.0	0	0	0	0	0
De Fratus, Justin	Phi	0	0	3.38	1.125	10.7	13	7	8	5	4
De La Rosa, Jorge	Col	0	0	9.28	1.781	10.7	3	17	6	2	11
De La Rosa, Wilkin	Cin(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Diekman, Jake	Phi	1	0	3.95	1.646	27.3	32	25	35	20	12
Dolis, Rafael	ChC	2	4	6.39	1.658	38.0	34	40	24	23	27
Duke, Zach	Was	1	0	1.32	1.098	13.7	8	11	10	4	2
Dunn, Mike	Mia	0	1	4.91	1.773	44.0	60	49	47	29	24
Durbin, Chad	Phi	4	1	3.10	1.311	61.0	76	52	49	28	21
Edgin, Josh	NYM	1	0	4.56	1.130	25.7	34	19	30	10	13
Edlefsen, Steve	SF(NRI)	0	0	4.70	1.696	15.3	14	20	9	6	8
Elbert, Scott	LAD	1	0	2.20	1.224	32.7	43	27	29	13	8
Erlin, Robbie	SD(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Escalona, Edgmer	Col	0	0	6.04	1.343	22.3	22	23	21	7	15
Familia, Jeurys	NYM	0	0	5.84	1.541	12.3	8	10	10	9	8
Feldman, Scott	ChC	6	0	5.09	1.383	123.7	29	139	96	32	70
Feliciano, Pedro	NYM(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Fernandez, Jose	Mia(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Fife, Stephen	LAD	0	0	2.70	1.387	26.7	5	25	20	12	8
Figaro, Alfredo	Mil(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Figueroa, Nelson	Ari(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Francis, Jeff	Col	6	0	5.58	1.478	113.0	24	145	76	22	70
Francisco, Frank	NYM	1	23	5.53	1.606	42.3	48	47	47	21	26
Freeman, Justin	Cin(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Freeman, Sam	StL	0	0	5.40	1.350	20.0	24	17	18	10	12
Friedrich, Christian	Col	5	0	6.17	1.559	84.7	16	102	74	30	58
Friend, Justin	Phi(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Fujikawa, Kyuji	ChC	0	0	0.00	0.000	0.0	0	0	0	0	0
Galarraga, Armando	Cin(NRI)	0	0	6.75	1.917	24.0	5	28	17	18	18
Garcia, Christian	Was	0	0	2.13	0.789	12.7	13	8	15	2	3
Garcia, Freddy	SD(NRI)	7	0	5.20	1.370	107.3	30	112	89	35	62
Garcia, Jaime	StL	7	0	3.92	1.364	121.7	20	136	98	30	53
Gast, John	StL(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Gaudin, Chad	SF(NRI)	4	0	4.54	1.413	69.3	46	72	57	26	35
Gearrin, Cory	Atl	0	0	1.80	1.100	20.0	22	17	20	5	4
Gilmartin, Sean	Atl(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Gomez, Jeanmar	Pit	5	0	5.96	1.423	90.7	20	95	47	34	60
Gonzalez, Mike	Mil	0	0	3.03	1.318	35.7	47	31	39	16	12
Gorzelanny, Tom	Mil	4	1	2.88	1.319	72.0	45	65	62	30	23
Graham, J.R.	Atl(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Gregg, Kevin	LAD(NRI)	3	0	4.95	1.695	43.7	40	50	37	24	24
Greinke, Zack	LAD	15	0	3.48	1.196	212.3	34	200	200	54	82
Guerrier, Matt	LAD	0	0	3.86	1.071	14.0	16	8	9	7	6
Hand, Donovan	Mil(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Haren, Dan	Was	12	0	4.33	1.291	176.7	30	190	142	38	85
Hawkins, LaTroy	NYM(NRI)	2	1	3.64	1.381	42.0	48	45	23	13	17
Hayes, Drew	Cin(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Hefner, Jeremy	NYM	4	0	5.09	1.367	93.7	26	110	62	18	53
Hembree, Heath	SF(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Hensley, Clay	Cin(NRI)	4	3	4.62	1.579	50.7	60	50	42	30	26
Hoover, J.J.	Cin	1	1	2.05	0.978	30.7	28	17	31	13	7
Horst, Jeremy	Phi	2	0	1.15	1.117	31.3	32	21	40	14	4
Howell, J.P.	LAD	1	0	3.04	1.212	50.3	55	39	42	22	17
Hudson, Tim	Atl	16	0	3.62	1.207	179.0	28	168	102	48	72
Hughes, Dustin	Atl(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Hughes, Jared	Pit	2	2	2.85	1.150	75.7	66	65	50	22	24
Infante, Gregory	LAD(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Irwin, Phil	Pit	0	0	0.00	0.000	0.0	0	0	0	0	0
Jennings, Dan	Mia	1	0	1.89	1.526	19.0	22	18	8	11	4
Jimenez, Cesar	Phi(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Johnson, Kris	Pit(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Jungmann, Taylor	Mil(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Kelly, Casey	SD	2	0	6.21	1.690	29.0	6	39	26	10	20
Kensing, Logan	Col(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Kickham, Michael	SF(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Kimball, Cole	Was	0	0	0.00	0.000	0.0	0	0	0	0	0
Kintzler, Brandon	Mil	3	0	3.78	1.500	16.7	14	18	14	7	7
Kloess, Brandon	SD(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Koehler, Tom	Mia	0	0	5.40	1.275	13.3	8	15	13	2	8
Kontos, George	SF	2	0	2.47	1.053	43.7	44	34	44	12	12
Laffey, Aaron	NYM(NRI)	4	0	4.56	1.361	100.7	22	100	48	37	51
Lannan, John	Phi	4	0	4.13	1.439	32.7	6	33	17	14	15
Lara, Braulio	Mia	0	0	0.00	0.000	0.0	0	0	0	0	0
Latos, Mat	Cin	14	0	3.48	1.161	209.3	33	179	185	64	81
Layne, Tom	SD	2	2	3.24	0.720	16.7	26	9	25	3	6
LeCure, Sam	Cin	3	0	3.14	1.203	57.3	48	46	61	23	20
Leroux, Chris	Pit	0	0	5.56	1.147	11.3	10	11	12	2	7
Lewis, Jensen	ChC(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Lewis, Rommie	Ari(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Liriano, Francisco	Pit	6	0	5.34	1.468	156.7	34	143	167	87	93
Lively, Mitch	SF(NRI)	0	0	0.00	0.000	0.0	0	0	0	0	0
Locke, Jeff	Pit	1	0	5.50	1.369	34.3	8	36	34	11	21
