Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",149.424,666.171,564.385,159.838,80.123,27.5664,5.24986,46.8988,123.099,110.325,92.5422,10.0296,160.891,4.56388,3.7299,0.950628,7.411,24.3867,7.06927,0.283208,0.138917,0.241516,0.575185,0.386254,0.599947,0.411231,0.986201,0.316739,6.49998,0.313437,0.376472,0.878545,131.813,53.1001,167.202,1.25502,0,54.16670310497284,-14.105634689331055,6.4055,1.090000033378601,3.49643,-0.616355,0.938896,3.49643,0.616355,3.74814,1203.5,8.077181208,1203.5,8.077181208,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.058,676.132,542.724,148.295,84.1407,24.661,0.997808,38.4957,108.756,99.0866,124.255,8.83011,121.209,3.63376,4.23638,1.28284,12.58,21.2643,5.39335,0.273242,0.183773,0.179268,1.02513,0.409253,0.53515,0.401748,0.944404,0.261908,4.59552,0.283532,-0.879623,0.702742,128.579,48.6886,160.688,-0.176881,-6.85085,48.320479065179825,-14.17723035812378,5.83452,4.659999847412109,1.37384,-0.262327,0.675398,1.37384,0.262327,4.09947,1131.1,7.344805194,1131.1,7.344805194,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Francisco Lindor","NYM",152.387,669.4,593.676,153.871,95.0001,29.9782,1.3608,27.5316,99.3662,82.8483,58.4612,1.32309,123.091,11.2993,5.01956,0.943727,8.48926,25.1742,5.75681,0.259183,0.0873338,0.183883,0.474941,0.334549,0.453388,0.340681,0.787937,0.194205,5.5889,0.281961,-0.662727,1.59836,94.1092,15.0145,118.738,0.935634,2.87211,15.76076889038086,9.447137832641602,4.89701,17,2.75937,1.30061,0.648559,2.75937,-1.30061,4.13525,862,5.671052631,862,5.671052631,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Corbin Carroll","ARI",149.036,647.902,564.003,145.075,76.927,28.4773,10.6745,28.9966,104.706,83.4716,68.3349,2.72206,137.035,8.49113,4.83587,2.23753,6.52214,34.5892,7.0807,0.257225,0.105471,0.211505,0.49867,0.343679,0.499805,0.359327,0.843484,0.24258,8.19585,0.288174,1.97766,3.02111,100.895,24.3407,130.751,4.99876,2.9893,28.612783908843994,-3.619981527328491,4.76251,8.229999542236328,1.21035,-1.41306,1.0498,1.21035,1.41306,3.60027,939.4,6.304697986,939.4,6.304697986,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Ketel Marte","ARI",143.123,623.278,542.489,149.252,88.0692,29.8965,2.45826,28.8277,89.7052,87.7419,68.3219,5.20208,101.27,6.87152,4.99973,0.596335,11.627,5.30717,1.64246,0.275124,0.109617,0.16248,0.67465,0.360449,0.498716,0.366618,0.859165,0.223592,4.10534,0.288516,-0.00614618,-0.654645,100.75,27.1051,135.746,-0.660792,-0.0375918,25.74527531862259,-0.15894879400730133,4.73942,39.86000061035156,3.04728,0.256884,0.889121,3.04728,-0.256884,3.81451,892.3,6.239860139,892.3,6.239860139,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Fernando Tatis Jr.","SDP",147.597,648.387,567.348,152.806,93.8371,28.0838,2.44182,28.4437,98.5287,79.3678,70.8873,3.45237,128.448,6.12196,3.00252,1.02731,10.5394,25.9693,5.84633,0.269334,0.109329,0.198104,0.551876,0.355004,0.477846,0.358489,0.83285,0.208511,5.89689,0.300786,0.375401,1.6946,100.529,23.9175,130.971,2.07,5.20206,25.80411171913147,-1.820969581604004,4.69894,14.3100004196167,3.12784,-0.517367,0.527946,3.12784,0.517367,4.29607,909.2,6.143243243,909.2,6.143243243,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",142.413,625.349,529.512,147.671,92.9275,24.8784,2.04256,27.8225,105.101,76.9428,85.5,3.58485,133.492,6.97641,2.50752,0.85368,10.3073,24.2921,6.67294,0.278881,0.136724,0.213468,0.640487,0.384546,0.491211,0.378074,0.875757,0.21233,5.54802,0.323299,1.2581,0.925421,106.901,33.0115,144.107,2.18352,-3.20528,34.87412095069885,-10.649198532104492,4.60718,7.400000095367432,3.85641,-0.0627596,0.71897,3.85641,0.0627596,4.04137,947.9,6.675352112,947.9,6.675352112,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Kyle Tucker","LAD",144.292,624.787,531.947,142.855,83.2656,27.9066,2.20262,29.4806,94.4311,89.4709,85.1682,6.08245,93.3361,3.20796,3.60379,0.86049,8.13893,23.1427,4.60336,0.268552,0.136316,0.149389,0.912489,0.370607,0.495555,0.370593,0.866162,0.227003,5.36773,0.274692,-0.549248,1.65041,103.01,29.1871,139.286,1.10116,-0.1767,30.1114981174469,-6.856887340545654,4.54269,17.690000534057617,2.12289,-0.199416,0.2689,2.12289,0.199416,4.64147,927.7,6.442361111,927.7,6.442361111,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Mookie Betts","LAD",143.95,631.881,554.18,148.751,94.0831,30.2526,2.48482,21.9305,90.9316,81.2228,67.1924,1.9122,73.2506,4.28047,5.60947,0.61888,9.0892,9.39508,2.48781,0.268416,0.106337,0.115925,0.917295,0.348863,0.450693,0.345982,0.799555,0.182276,4.57735,0.272962,-0.359623,-0.220106,91.5541,16.8925,122.38,-0.579729,-1.87886,16.13402032852173,4.78548800945282,4.32834,62.970001220703125,2.51392,0.955838,0.644916,2.51392,-0.955838,4.14011,810.1,5.625694444,810.1,5.625694444,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Will Smith","LAD",125.068,504.6,431.944,112.99,70.2043,21.4008,1.23694,20.1481,69.6863,69.3162,58.4353,2.62641,98.4235,8.35784,5.67313,0.189397,7.11249,2.46624,1.06586,0.261585,0.115805,0.195052,0.593713,0.356423,0.456793,0.351503,0.813215,0.195208,3.41193,0.290999,-0.718773,-0.830315,75.3738,15.7515,126.172,-1.54909,2.01462,14.059651851654053,11.071051597595215,4.31846,111.30999755859375,3.22699,0.433194,0.525393,3.22699,-0.433194,4.29948,654.4,5.2352,654.4,5.2352,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
