Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",38,165,141,41,21,7,2,11,31,27,21,3,39,1,1,0,,7,2,0.288036,0.127844,0.235755,0.542275,0.382769,0.600132,0.410059,0.982901,0.312096,7.02153,0.318565,0.509368,0.391964,32.2075,12.863,167.074,0.901332,0,13.878759384155273,-4.11898136138916,1.55672,1.5499999523162842,,,,,,,297.4,7.826315789,297.4,7.826315789,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Kyle Tucker","CHC",40,174,148,42,25,8,1,8,27,25,24,2,25,1,1,0,,7,1,0.280938,0.13743,0.144421,0.951597,0.381255,0.504068,0.378827,0.885323,0.223131,5.59279,0.29096,0.659167,0.471195,29.6545,9.19894,147.314,1.13036,0.262672,10.810394167900085,-1.70769801735878,1.52105,8.710000038146973,,,,,,,276.8,6.92,276.8,6.92,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Fernando Tatis Jr.","SDP",40,172,151,42,25,8,1,8,28,22,18,1,33,2,1,0,,7,1,0.277249,0.103856,0.192961,0.538225,0.358246,0.496887,0.367019,0.855133,0.219638,6.00362,0.306185,0.687326,0.433165,27.6081,7.43158,140.79,1.12049,1.55141,9.352044224739075,-0.3404085636138916,1.5037,11.619999885559082,,,,,,,258.8,6.47,258.8,6.47,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Juan Soto","NYM",40,172,138,37,21,7,0,9,27,25,32,2,30,1,1,0,,3,1,0.268359,0.18588,0.175515,1.05906,0.406729,0.517316,0.396039,0.924045,0.248957,4.06059,0.280591,-0.433036,-0.0937904,31.6432,11.4667,160.82,-0.526826,-0.966396,11.746710479259491,-2.9341431260108948,1.48326,7.079999923706055,,,,,,,276,6.9,276,6.9,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Francisco Lindor","NYM",40,174,155,40,24,8,1,7,25,22,14,0,33,3,1,0,,6,1,0.255656,0.0827006,0.188319,0.439151,0.327798,0.454369,0.337778,0.782166,0.198713,5.768,0.27802,0.501542,0.427049,23.7848,3.40025,120.675,0.928591,1.19333,5.1439438462257385,2.990239381790161,1.41953,14.149999618530273,,,,,,,223.3,5.5825,223.3,5.5825,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ketel Marte","ARI",37,161,140,39,23,8,1,8,24,23,18,1,27,1,1,0,,2,1,0.280068,0.114743,0.166766,0.688046,0.367451,0.513245,0.375949,0.880696,0.233177,4.19617,0.295036,-0.188829,-0.176628,26.9855,8.11281,141.902,-0.365457,-0.0311352,7.54398712515831,0.14787711948156357,1.33078,30.65999984741211,,,,,,,240.5,6.5,240.5,6.5,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Mookie Betts","LAD",39,167,146,39,24,8,1,6,25,22,18,1,21,1,1,0,,3,1,0.270395,0.108312,0.124385,0.870778,0.353556,0.466961,0.354805,0.820517,0.196566,5.2679,0.275973,0.0925822,0.069578,25.1084,5.55594,129.001,0.16216,-0.522185,5.833708092570305,1.1988024711608887,1.28253,13.65999984741211,,,,,,,217.6,5.579487179,217.6,5.579487179,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Will Smith","LAD",34,133,114,31,19,6,1,5,19,19,15,1,24,2,1,0,,1,0,0.272797,0.113309,0.17872,0.634003,0.365972,0.480409,0.364733,0.84638,0.207612,3.92461,0.297962,-0.371018,-0.234506,21.165,5.51707,135.842,-0.605523,0.699376,5.004065692424774,3.065734028816223,1.27722,107.08000183105469,,,,,,,182.6,5.370588235,182.6,5.370588235,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Ronald Acuña Jr.","ATL",36,156,133,38,23,7,1,7,27,20,20,1,32,2,1,0,,7,2,0.28294,0.131347,0.206416,0.63632,0.384495,0.501859,0.38196,0.886354,0.21892,6.04919,0.324734,0.720671,0.291719,26.9313,8.62683,147.275,1.01239,-0.58065,9.667332172393799,-2.352255344390869,1.2758,37.599998474121094,,,,,,,245.3,6.813888888,245.3,6.813888888,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Matt Chapman","SFG",40,172,150,37,21,8,1,7,23,22,19,0,42,2,1,0,,3,1,0.245345,0.110641,0.24696,0.448012,0.337122,0.457478,0.344332,0.794599,0.212132,4.75352,0.290993,0.185529,-0.017095,24.4534,4.27694,124.637,0.168434,0.902048,5.140307158231735,1.5157824158668518,1.26174,125.16999816894531,,,,,,,217.8,5.445,217.8,5.445,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Corbin Carroll","ARI",38,164,144,38,20,7,3,7,27,20,16,0,34,3,1,1,,8,2,0.260872,0.0972902,0.2097,0.463949,0.343103,0.496828,0.359474,0.83993,0.235956,8.24721,0.296593,1.17638,0.751697,25.3769,6.09838,130.55,1.92808,0.726076,7.818724989891052,-1.0084922313690186,1.25185,7.889999866485596,,,,,,,238.6,6.278947368,238.6,6.278947368,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Elly De La Cruz","CIN",39,169,151,40,23,8,2,6,26,22,16,1,48,1,1,0,,13,3,0.262766,0.0970834,0.281021,0.345466,0.337441,0.465583,0.344591,0.803024,0.202817,7.86127,0.340346,0.957524,1.0942,24.1384,4.2511,116.97,2.05172,-0.611069,5.427236557006836,1.2037460207939148,1.25088,4.300000190734863,,,,,,,231.3,5.93076923,231.3,5.93076923,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Pete Crow-Armstrong","CHC",38,163,148,38,23,8,2,6,23,22,9,0,39,2,1,3,,10,2,0.257249,0.0549516,0.240178,0.228795,0.305685,0.45924,0.327248,0.764925,0.201991,7.82744,0.305576,0.736506,0.997864,20.9842,1.80716,111.773,1.73437,2.23524,3.9925549030303955,2.8185706734657288,1.24903,127.38999938964844,,,,,,,202.2,5.321052631,202.2,5.321052631,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Trea Turner","PHI",39,170,156,44,30,8,1,5,25,19,11,0,31,2,1,0,,7,1,0.283399,0.0645418,0.180449,0.357673,0.334695,0.44509,0.338188,0.779785,0.161691,6.30471,0.3231,0.87751,0.588583,23.3558,3.38726,115.45,1.46609,-0.185718,4.551769256591797,1.6365045756101608,1.20773,24.110000610351562,,,,,,,215.8,5.533333333,215.8,5.533333333,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Manny Machado","SDP",40,174,157,44,28,8,0,8,23,26,14,1,32,1,1,0,,3,1,0.276792,0.0805368,0.181571,0.443557,0.335289,0.480556,0.348815,0.815845,0.203764,3.58432,0.298075,-0.185422,-0.0466709,25.3353,4.95083,128.247,-0.232093,-0.54203,5.526957154273987,-0.3269062936306,1.11813,37.45000076293945,,,,,,,235.7,5.8925,235.7,5.8925,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Bryce Harper","PHI",40,172,147,41,24,10,0,8,25,25,22,2,36,1,1,0,,3,1,0.279192,0.130197,0.208357,0.624876,0.376934,0.501901,0.375435,0.878835,0.222709,3.87081,0.319773,-0.320182,-0.0731323,28.7783,8.60178,141.115,-0.393315,0.374063,7.903734982013702,-2.7072646021842957,1.11181,22.260000228881836,,,,,,,258.7,6.4675,258.7,6.4675,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Jackson Merrill","SDP",39,167,153,42,27,8,1,6,21,23,10,1,30,1,1,1,,3,1,0.27234,0.0624229,0.181254,0.344394,0.318845,0.457671,0.332615,0.776517,0.185331,5.50449,0.301958,-0.0941873,0.109378,22.1183,2.56579,117.084,0.0151908,1.28956,3.356204909272492,1.7324613332748413,1.08286,27.280000686645508,,,,,,,203.4,5.215384615,203.4,5.215384615,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"William Contreras","MIL",39,158,138,37,24,7,0,5,20,20,18,1,31,1,1,0,,2,1,0.264707,0.114279,0.197532,0.578536,0.351624,0.423572,0.339092,0.775196,0.158865,3.37659,0.308675,-0.314922,-0.173199,21.798,3.26017,119.139,-0.488121,0.442365,3.060415416955948,1.6673653423786163,1.01672,24.790000915527344,,,,,,,194.5,4.987179487,194.5,4.987179487,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Dansby Swanson","CHC",40,174,158,39,25,7,1,6,22,21,14,0,44,1,1,0,,4,1,0.246633,0.0816048,0.249874,0.326583,0.310091,0.409271,0.313161,0.719362,0.162638,5.28811,0.302201,0.361717,0.157908,20.3973,-0.0582093,102.067,0.519625,1.22151,0.9425081610679626,3.088176131248474,1.00005,170.38999938964844,,,,,,,192.6,4.815,192.6,4.815,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Freddie Freeman","LAD",39,170,148,42,27,9,1,6,24,24,18,2,30,2,1,0,,2,1,0.286666,0.108028,0.177633,0.608151,0.371369,0.475085,0.363076,0.846455,0.188419,4.1747,0.323976,-0.110444,-0.13744,26.7808,6.81228,134.7,-0.247884,0.532406,6.682466432452202,-2.52993905544281,0.998612,26.920000076293945,,,,,,,236.4,6.061538461,236.4,6.061538461,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Xander Bogaerts","SDP",38,163,146,39,28,8,0,4,20,17,14,0,27,1,2,0,,4,1,0.269045,0.0854727,0.16343,0.522992,0.33438,0.402864,0.322708,0.737244,0.133819,4.49223,0.30241,0.335248,0.177744,20.3411,1.20467,110.258,0.512992,0.332751,2.4763994216918945,1.8892320394515991,0.996666,155.3699951171875,,,,,,,183,4.815789473,183,4.815789473,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
"Willy Adames","SFG",39,168,149,36,21,8,1,7,22,21,17,1,41,1,1,0,,3,1,0.240539,0.102738,0.242685,0.423338,0.320334,0.432753,0.326162,0.753087,0.192213,4.46185,0.284473,0.0615644,-0.0323452,21.4748,1.71429,112.117,0.0292192,-0.143412,2.424117583781481,1.6598286479711533,0.985608,91.93000030517578,,,,,,,204.2,5.235897435,204.2,5.235897435,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Nico Hoerner","CHC",39,171,156,44,34,8,1,2,22,16,11,0,17,3,1,0,,8,2,0.281603,0.0623331,0.0978121,0.637274,0.336667,0.376506,0.315059,0.713173,0.0949028,6.18172,0.30415,0.742547,0.581523,20.2343,0.204953,103.375,1.32407,1.30619,2.0000926852226257,1.9284167885780334,0.977344,203.32000732421875,,,,,,,189.7,4.864102564,189.7,4.864102564,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"CJ Abrams","WSN",38,163,147,38,23,8,1,5,23,17,11,1,30,4,1,1,,9,2,0.256022,0.0644592,0.186141,0.346292,0.31955,0.42961,0.32463,0.74916,0.173588,7.33592,0.290122,0.876735,0.771957,20.5945,1.45806,107.812,1.64869,-0.864486,3.143817186355591,0.6919949650764465,0.942242,49.619998931884766,,,,,,,198.2,5.215789473,198.2,5.215789473,,,,,,,,,,,,,,,,,,,"CJ Abrams","25768",682928
"Geraldo Perdomo","ARI",37,161,136,35,25,7,1,3,20,17,18,0,22,2,2,3,,5,1,0.255875,0.114952,0.139144,0.826142,0.347776,0.377494,0.322468,0.725269,0.121619,5.3606,0.284989,0.350911,0.131103,20.0295,1.15682,105.051,0.482015,0.310121,1.4354754388332367,2.0323432087898254,0.896884,430.2699890136719,,,,,,,180.9,4.889189189,180.9,4.889189189,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Kyle Schwarber","PHI",40,174,145,34,17,6,0,11,27,28,26,1,48,2,1,0,,2,1,0.236431,0.150752,0.2779,0.54247,0.358081,0.507756,0.37054,0.865837,0.271325,3.6021,0.267249,-0.308964,-0.143326,28.3873,8.00279,137.742,-0.45229,-0.0149691,7.242629110813141,-4.304784096777439,0.885756,75.9000015258789,,,,,,,251.2,6.28,251.2,6.28,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Masyn Winn","STL",38,166,152,39,27,8,1,4,21,17,11,0,29,1,1,1,,3,1,0.257255,0.0687108,0.174456,0.393856,0.310701,0.394467,0.307931,0.705167,0.137212,5.14841,0.293675,0.024723,-0.02584,18.7238,-0.757641,98.416,-0.00111697,1.65094,-0.3097517847782001,3.4287174940109253,0.87849,157.3800048828125,,,,,,,171.8,4.521052631,171.8,4.521052631,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Matt Olson","ATL",40,174,149,37,21,8,0,8,23,25,22,1,40,2,1,0,,0,0,0.250214,0.124625,0.231939,0.537318,0.348806,0.463993,0.350565,0.812798,0.213779,1.78541,0.288114,-0.359362,-0.289935,25.5811,5.19664,125.642,-0.649298,0.608267,4.578651130199432,-2.49204158782959,0.798316,33.970001220703125,,,,,,,228.6,5.715,228.6,5.715,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
