Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",11.9142,6.55467,15.2011,2.79274,29.2105,29.2105,0,0,0,173.45,693.861,134.727,58.5024,53.8222,14.2892,47.4037,1.05419,6.99158,215.465,11.1801,2.45969,4.54532,0.741442,0.310531,0.0683187,0.24221201986074448,0.210686,1.05005,0.293957,0.762545,,,2.69381,5.25865,5.3891,11.520000457763672,6.24862,-1.12748,1.61543,6.24862,1.12748,2.8461,1025,5.92485549132948,951,5.497109826589595,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",14.0211,8.03131,17.9023,3.28074,30.0188,30.0188,0,0,0,191.755,772.154,157.82,75.9781,69.8999,20.9774,48.2392,1.00743,8.08686,204.962,9.61985,2.2641,4.24887,0.98457,0.265442,0.0624736,0.20296835899353027,0.220471,1.07459,0.279333,0.736207,,,3.33211,4.56108,4.61046,21.34000015258789,2.45577,0.808806,1.26348,2.45577,-0.808806,3.31536,993.7000000000003,5.1755208333333345,929,4.838541666666667,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",12.7709,9.87936,16.5522,3.41638,30.3727,30.3727,0,0,0,196.305,808.476,186.637,80.997,74.5172,15.1297,44.6996,1.38572,5.89076,167.707,7.68884,2.04934,3.75186,0.693649,0.207436,0.0552887,0.1521468535065651,0.24626,1.17845,0.298248,0.715375,,,3.23292,4.28516,4.20606,101.63999938964844,3.17758,0.131762,0.969004,3.17758,-0.131762,3.70799,962.7,4.911734693877551,968,4.938775510204081,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Chris Sale","ATL",11.7527,6.24725,12.7174,3.14121,25.7859,25.7859,0,0,0,154.444,625.033,127.499,58.5918,53.9045,15.6595,39.9255,0.752067,8.29389,184.78,10.7678,2.32661,4.62811,0.912538,0.295632,0.0638775,0.23175448924303055,0.22104,1.08405,0.29715,0.747985,,,3.02839,3.60617,3.95493,36.04999923706055,4.26032,0.317114,1.08948,4.26032,-0.317114,3.54736,838.6000000000001,5.445454545454546,788,5.116883116883117,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Dylan Cease","SDP",12.4119,9.31054,14.2358,3.50985,30.7041,30.7041,0,0,0,182.347,749.792,145.242,77.2959,71.1122,20.5659,67.85,1.46733,6.07068,214.364,10.5802,3.34884,3.15938,1.01506,0.285897,0.0904917,0.19540562480688095,0.214896,1.16861,0.28275,0.736822,,,3.49767,3.537,3.70062,46.84000015258789,2.23427,-0.573921,1.06396,2.23427,0.573921,3.58139,917.5,5.041208791208791,843,4.631868131868132,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Sonny Gray","STL",10.9221,8.08477,12.7717,3.53861,27.228,27.228,0,0,0,164.339,673.544,144.088,70.2334,64.6147,17.5378,45.9355,0.737697,5.77959,175.825,9.62902,2.51565,3.82765,0.960453,0.261045,0.0681997,0.19284484535455704,0.231716,1.15629,0.295356,0.723936,,,3.35807,3.39389,3.26814,106.06999969482422,4.16724,-1.39887,0.759852,4.16724,1.39887,3.98686,813.8000000000001,4.96219512195122,782,4.7682926829268295,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Corbin Burnes","ARI",12.4745,8.71632,16.0301,3.55072,29.924,29.924,0,0,0,186.88,768.419,164.486,80.1399,73.7287,20.3074,53.4767,0.659058,6.63532,184.141,8.86808,2.5754,3.44338,0.977991,0.239636,0.0695932,0.17004265636205673,0.232225,1.16633,0.286149,0.727173,,,3.57343,3.32069,3.9123,39.09000015258789,4.57379,0.105767,0.915518,4.57379,-0.105767,3.77931,899.4,4.809625668449198,863,4.614973262032086,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Yoshinobu Yamamoto","LAD",11.4628,6.30142,11.7045,3.43071,25.6673,25.6673,0,0,0,152.907,619.317,130.527,63.3552,58.2868,16.1391,39.2346,0.920087,4.59499,161.985,9.5343,2.30932,4.12863,0.949937,0.261554,0.0633514,0.19820283353328705,0.226811,1.11023,0.287867,0.723033,,,3.2798,3.31393,3.30315,58.59000015258789,4.8985,-0.645386,0.849435,4.8985,0.645386,3.86742,786.8000000000001,5.142483660130719,749,4.895424836601308,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Justin Steele","CHC",10.6456,7.35759,13.4314,3.46224,28.7886,28.7886,0,0,0,167.877,691.956,151.276,70.1968,64.5811,16.6723,46.1069,0.929787,6.0506,162.844,8.73017,2.47182,3.53188,0.893813,0.235338,0.0666327,0.1687058061361313,0.236444,1.17576,0.292438,0.73078,,,3.44957,3.29101,3.5345,121.44999694824219,2.08317,1.0986,0.736759,2.08317,-1.0986,4.01765,811.5000000000001,4.830357142857143,789,4.696428571428571,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Blake Snell","LAD",10.9819,5.92252,13.2778,3.34606,27.8914,27.8914,0,0,0,156.522,642.698,114.922,63.2527,58.1925,17.341,68.2705,0.718979,4.02635,202.874,11.6652,3.92555,2.97162,0.997105,0.31566,0.106225,0.2094348669052124,0.201475,1.17039,0.278654,0.754741,,,3.40016,3.24319,3.57088,44.11000061035156,3.5899,1.00728,0.969116,3.5899,-1.00728,3.70785,843.7,5.373885350318472,754,4.802547770700637,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
