Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13,7,21,2.7849,31,31,0,0,,182,725,140,61,56,15,49,,7,226,11.2038,2.43812,4.59525,0.745547,0.311727,0.0678367,0.24389006197452545,0.209689,1.04299,0.292752,0.762286,,,2.68769,5.55806,5.79092,10.890000343322754,,,,,,,1082.3,5.946703296703297,999,5.489010989010989,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",15,9,20,3.27765,32,32,0,0,,206,828,169,81,75,23,52,,9,220,9.62828,2.25347,4.27264,0.985966,0.26595,0.0622449,0.20370519906282425,0.21984,1.07039,0.278538,0.735579,,,3.3288,4.88267,5.00921,21.649999618530273,,,,,,,1059.1,5.14126213592233,988,4.796116504854369,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chris Sale","ATL",14,8,19,3.14711,31,31,0,0,,183,738,150,69,64,19,47,,10,219,10.798,2.32651,4.6413,0.913917,0.296677,0.0639211,0.23275592923164368,0.220473,1.08126,0.29674,0.746648,,,3.02388,4.29553,4.82605,35.97999954223633,,,,,,,997.5,5.450819672131147,935,5.109289617486339,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",14,11,20,3.41926,32,32,0,0,,208,857,198,86,79,16,47,,6,177,7.66856,2.03087,3.776,0.694562,0.206939,0.0548036,0.15213510021567345,0.246473,1.17749,0.298256,0.714889,,,3.23247,4.16277,4.32508,98.33999633789062,,,,,,,1022.6000000000001,4.916346153846154,1027,4.9375,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","SDP",13,10,19,3.51348,32,32,0,0,,191,785,151,81,75,22,71,,6,225,10.6035,3.35192,3.1634,1.01754,0.286906,0.0906954,0.19621064513921738,0.213682,1.16323,0.281267,0.735259,,,3.49687,3.65258,3.57365,47.27000045776367,,,,,,,969.2000000000002,5.07434554973822,888,4.649214659685864,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Yoshinobu Yamamoto","LAD",12,7,16,3.42001,27,27,0,0,,160,647,136,66,61,17,41,,5,170,9.54531,2.27944,4.18756,0.946506,0.262204,0.0626149,0.19958896934986115,0.226411,1.10496,0.287573,0.722456,,,3.26213,3.59537,3.3608,59.349998474121094,,,,,,,823.3000000000001,5.145625000000001,781,4.88125,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Sonny Gray","STL",12,9,18,3.59151,31,31,0,0,,185,758,163,80,74,20,52,,7,195,9.51714,2.53946,3.74771,0.970966,0.257452,0.0686958,0.1887557953596115,0.232905,1.16487,0.29521,0.72114,,,3.40628,3.58476,3.49545,122.05000305175781,,,,,,,912.2,4.930810810810811,878,4.745945945945946,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Tyler Glasnow","LAD",10,6,14,3.41993,24,24,0,0,,143,573,111,59,54,17,42,,3,178,11.1577,2.63727,4.23077,1.05872,0.310081,0.0732919,0.23678913712501526,0.210473,1.06878,0.282651,0.72531,,,3.15338,3.47267,3.00255,91.72000122070312,,,,,,,781.5000000000001,5.465034965034966,715,5,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Blake Snell","LAD",11,6,17,3.3268,29,29,0,0,,161,658,116,65,59,18,70,,4,209,11.7279,3.93913,2.97728,0.997158,0.318072,0.106833,0.21123894304037094,0.199119,1.16118,0.276042,0.754814,,,3.39071,3.43862,3.5379,44.5099983215332,,,,,,,864.4,5.368944099378882,767,4.763975155279503,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Corbin Burnes","ARI",13,9,18,3.55083,31,31,0,0,,191,786,168,82,75,21,55,,7,188,8.85037,2.57009,3.44361,0.974689,0.239183,0.069457,0.16972566395998,0.232249,1.16586,0.28607,0.726667,,,3.57092,3.39745,3.96376,37.04999923706055,,,,,,,908.3000000000002,4.7554973821989535,872,4.56544502617801,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
