Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",159,686,542,152,87,27,2,35,113,100,135,7,112,4,4,1,,8,4,0.27994,0.196634,0.16388,1.19987,0.423713,0.530812,0.408435,0.954525,0.250872,3.80784,0.293168,-1.24115,-1.58149,134.497,54.2503,168.085,-2.82264,-3.87505,53.02893042564392,-12.22505521774292,6.5747,7.369999885559082,,,,,,,1148.9,7.225786163,1148.9,7.225786163,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Mookie Betts","LAD",156,672,577,162,97,34,3,28,108,93,83,3,93,6,5,1,,15,3,0.280838,0.123096,0.138279,0.890203,0.374354,0.49705,0.374389,0.871404,0.216212,5.31038,0.290225,0.334323,0.144365,113.338,34.7288,143.354,0.478688,-6.9491,35.31737172603607,-0.14910411834716797,5.94449,12.979999542236328,,,,,,,996.2,6.385897435,996.2,6.385897435,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Francisco Lindor","NYM",159,686,607,157,95,31,3,28,100,89,63,2,130,10,5,2,,23,5,0.259286,0.0912817,0.189687,0.481223,0.336519,0.457934,0.343285,0.794452,0.198647,5.91282,0.285295,0.574581,1.30234,98.5257,18.2787,124.234,1.87692,5.46517,21.75686764717102,12.565170764923096,5.90527,14.729999542236328,,,,,,,891.1,5.604402515,891.1,5.604402515,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Shohei Ohtani","LAD",151,651,561,161,83,30,5,42,119,116,79,11,150,5,4,1,,36,6,0.286076,0.122094,0.22991,0.531051,0.377184,0.582771,0.401581,0.959955,0.296695,7.0584,0.31669,0.299401,3.37478,124.044,47.8915,161.657,3.67418,0,51.672067642211914,-16.274999618530273,5.89586,1.5099999904632568,,,,,,,1154.5,7.645695364,1154.5,7.645695364,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",152,658,590,164,91,34,1,37,104,101,57,1,141,7,3,1,,19,4,0.277651,0.0866308,0.214183,0.404472,0.346325,0.529296,0.373606,0.875622,0.251646,5.2141,0.305026,0.951264,0.984721,110.562,33.5906,144.806,1.93598,4.9458,37.19085240364075,-2.504195213317871,5.84657,10.970000267028809,,,,,,,997.4,6.561842105,997.4,6.561842105,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Patrick Bailey","SFG",128,506,456,108,73,22,1,12,53,52,42,0,121,3,4,1,,4,1,0.237469,0.0831535,0.23909,0.347792,0.303187,0.370228,0.296189,0.673415,0.13276,3.69154,0.294336,-0.0593358,-0.417818,53.4511,-5.69298,90.9892,-0.477154,9.76145,-5.925066918134689,19.63645362854004,5.0965,304.0799865722656,,,,,,,470.9,3.67890625,470.9,3.67890625,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Jackson Merrill","SDP",154,665,616,173,111,31,5,25,85,94,39,2,110,3,5,3,,15,4,0.280645,0.0586167,0.165539,0.354096,0.323581,0.470134,0.339619,0.793715,0.189489,5.58174,0.304583,0.135722,0.155696,93.5477,15.7573,121.93,0.291418,5.76892,17.73067644238472,8.143916130065918,4.96057,26.780000686645508,,,,,,,849.5,5.516233766,849.5,5.516233766,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Michael Harris II","ATL",143,616,571,166,108,31,4,23,85,85,34,2,118,6,4,1,,18,5,0.29145,0.0557357,0.192351,0.28976,0.336493,0.483449,0.351183,0.819942,0.191999,5.68313,0.330284,0.688156,0.290992,92.388,20.3295,124.844,0.979147,5.87424,19.279579639434814,8.074236154556274,4.94473,40.290000915527344,,,,,,,827.7,5.788111888,827.7,5.788111888,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Ronald Acuña Jr.","ATL",128,553,474,139,86,26,2,26,101,73,66,2,101,8,3,1,,39,9,0.293367,0.119021,0.181914,0.654271,0.386769,0.518869,0.389006,0.905638,0.225502,6.86007,0.323265,1.00634,3.00765,99.7739,35.085,150.301,4.014,-1.50667,37.27742338180542,-7.831672668457031,4.94399,36.189998626708984,,,,,,,906.5,7.08203125,906.5,7.08203125,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Elly De La Cruz","CIN",154,665,595,154,89,32,8,26,99,88,62,2,195,5,3,1,,54,14,0.258754,0.0927838,0.293699,0.315914,0.33175,0.467732,0.343686,0.799482,0.208977,8.20916,0.340612,0.520133,3.93373,95.7242,17.9338,114.516,4.45386,2.53423,15.997152328491211,9.659230709075928,4.93804,4.659999847412109,,,,,,,914.6,5.938961038,914.6,5.938961038,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"William Contreras","MIL",156,626,551,150,95,31,1,23,83,83,68,3,132,4,3,0,,7,2,0.272406,0.108524,0.210963,0.514421,0.35447,0.458099,0.351548,0.812569,0.185693,3.77897,0.318472,-0.634454,-0.568583,94.1316,20.8566,125.91,-1.20304,-1.55351,18.205021381378174,4.446488261222839,4.81826,24.850000381469727,,,,,,,824.5,5.28525641,824.5,5.28525641,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Kyle Tucker","CHC",154,665,575,155,92,31,2,30,93,98,82,6,102,2,5,0,,21,3,0.269842,0.123577,0.153353,0.805834,0.360648,0.48814,0.363194,0.848788,0.218298,4.89371,0.278975,0.671936,1.48562,106.166,28.3755,136.667,2.15756,0.230105,31.315437078475952,-8.094895258545876,4.68647,8.779999732971191,,,,,,,959.8,6.232467532,959.8,6.232467532,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Bryce Harper","PHI",154,665,568,160,90,39,0,31,98,96,87,11,145,4,5,1,,10,3,0.28244,0.130853,0.217671,0.60115,0.378961,0.515206,0.379343,0.894168,0.232766,3.68824,0.326376,-1.15681,-0.708504,114.809,37.0187,144.401,-1.86531,1.2422,33.44273793697357,-10.832800507545471,4.62341,22.440000534057617,,,,,,,1016.1,6.598051948,1016.1,6.598051948,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Austin Riley","ATL",157,679,607,165,97,33,2,33,96,98,56,1,165,10,6,1,,2,0,0.271288,0.0823407,0.243103,0.338707,0.339616,0.493513,0.35699,0.833129,0.222226,3.18677,0.318352,0.0524855,-1.08226,105.01,25.5822,128.752,-1.02977,-2.69439,22.31581461429596,-0.2693934440612793,4.61338,29.079999923706055,,,,,,,936.1,5.962420382,936.1,5.962420382,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
