Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",40,172,137,37,21,6,0,9,28,25,33,3,30,1,1,0,,4,1,0.270236,0.189947,0.174455,1.0888,0.411034,0.517855,0.397301,0.928889,0.247619,4.22207,0.282993,-0.294547,-0.0501279,31.8187,11.6422,161.689,-0.344675,-1.30339,12.104348242282867,-3.2711387872695923,1.48538,7.079999923706055,,,,,,,279,6.975,279,6.975,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Fernando Tatis Jr.","SDP",40,172,150,41,24,8,0,8,27,22,18,1,34,2,1,0,,6,1,0.27219,0.10695,0.199265,0.53672,0.356586,0.492039,0.364196,0.848625,0.219849,5.69305,0.302054,0.259908,0.437166,27.2155,7.03903,138.845,0.697074,2.02266,8.536072373390198,0.1308354139328003,1.46829,11.619999885559082,,,,,,,246.6,6.165,246.6,6.165,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Shohei Ohtani","LAD",38,165,141,40,20,7,2,11,31,27,22,4,40,1,1,0,,7,2,0.282343,0.131285,0.242003,0.542495,0.380134,0.589346,0.403667,0.96948,0.307003,7.2466,0.315632,0.100745,0.582237,31.3553,12.0108,162.669,0.682981,0,12.808196902275085,-4.11898136138916,1.44675,1.5499999523162842,,,,,,,294.8,7.757894736,294.8,7.757894736,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Ronald Acuña Jr.","ATL",36,156,132,38,23,7,1,7,28,20,21,1,31,2,1,0,,8,2,0.291474,0.13516,0.201767,0.669881,0.394245,0.522711,0.39343,0.916956,0.231238,6.219,0.330306,0.28239,0.509032,28.3782,10.0738,155.178,0.791421,-0.646819,10.893311977386475,-2.418423652648926,1.39494,37.599998474121094,,,,,,,251.2,6.977777777,251.2,6.977777777,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Francisco Lindor","NYM",40,174,154,39,24,8,0,7,25,22,15,1,33,3,1,0,,6,1,0.254912,0.0871631,0.189259,0.46055,0.330875,0.445713,0.336481,0.776588,0.190802,5.49934,0.279932,0.159006,0.415452,23.6026,3.21814,119.782,0.574458,1.13089,4.607703268527985,2.9278039932250977,1.35803,14.149999618530273,,,,,,,216,5.4,216,5.4,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ketel Marte","ARI",37,161,140,39,23,8,1,7,24,22,18,2,27,2,1,0,,2,0,0.280372,0.113373,0.165445,0.685262,0.367775,0.501822,0.372077,0.869598,0.22145,4.03789,0.29898,-0.0354637,-0.162971,26.4818,7.60915,139.234,-0.198435,-0.0768221,7.207352131605148,0.10219021141529083,1.29151,30.65999984741211,,,,,,,236.9,6.402702702,236.9,6.402702702,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Kyle Tucker","CHC",40,174,149,40,24,8,1,7,25,24,23,2,26,1,1,0,,7,1,0.269277,0.134866,0.150193,0.897952,0.369371,0.480239,0.364619,0.84961,0.210961,5.94641,0.281864,0.177832,0.596481,27.6515,7.19597,137.524,0.774313,0.218232,8.451370298862457,-1.7521384060382843,1.27417,8.710000038146973,,,,,,,252.2,6.305,252.2,6.305,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Elly De La Cruz","CIN",39,169,151,40,24,8,1,6,25,23,16,2,46,1,1,0,,12,3,0.264267,0.0968451,0.272976,0.354775,0.33856,0.465023,0.344264,0.803583,0.200755,7.3447,0.337105,0.12891,0.868399,24.0937,4.20634,116.745,0.997309,0.204403,4.328067183494568,2.019217625260353,1.22173,4.300000190734863,,,,,,,223.7,5.735897435,223.7,5.735897435,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Mookie Betts","LAD",39,167,145,39,25,8,1,6,25,21,19,1,21,1,1,0,,3,1,0.270977,0.111529,0.124628,0.894894,0.356534,0.456529,0.352247,0.813062,0.185551,4.97682,0.278918,0.0668101,0.0366259,24.7636,5.21115,127.238,0.103436,-0.85196,5.43019625544548,0.8690274357795715,1.20721,13.65999984741211,,,,,,,221.6,5.682051282,221.6,5.682051282,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Trea Turner","PHI",39,170,156,44,30,8,1,5,24,19,11,0,31,1,1,0,,7,1,0.281098,0.0667837,0.182353,0.366234,0.333374,0.443023,0.336441,0.776397,0.161925,6.18515,0.320419,0.268963,0.577861,23.1154,3.14688,114.246,0.846824,0.456394,3.6921192407608032,2.2786164581775665,1.18538,24.110000610351562,,,,,,,212.8,5.456410256,212.8,5.456410256,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Matt Chapman","SFG",40,172,149,36,20,8,1,7,22,21,20,0,43,2,1,0,,3,1,0.238366,0.113496,0.252776,0.448998,0.332559,0.434597,0.33435,0.767156,0.196231,4.56157,0.288316,0.261651,-0.0797159,23.0654,2.88888,117.759,0.181935,1.24585,3.7657523155212402,1.859589159488678,1.15586,125.16999816894531,,,,,,,216.2,5.405,216.2,5.405,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Pete Crow-Armstrong","CHC",38,163,151,38,22,8,2,6,22,23,8,0,41,2,1,1,,10,2,0.252106,0.0506842,0.248168,0.204233,0.297857,0.455298,0.322179,0.753155,0.203191,7.66942,0.300462,-0.013987,0.805636,20.3144,1.13731,108.281,0.791649,2.78425,2.3799848556518555,3.367580473423004,1.13978,127.38999938964844,,,,,,,196.2,5.163157894,196.2,5.163157894,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Manny Machado","SDP",40,174,157,43,27,8,0,7,22,26,14,1,32,1,1,0,,3,1,0.274317,0.08193,0.185757,0.44106,0.334774,0.472016,0.345767,0.806791,0.197699,3.82812,0.300219,-0.126375,-0.00886162,24.9072,4.52267,126.147,-0.135236,-0.097969,5.195654720067978,0.11715449392795563,1.12972,37.45000076293945,,,,,,,220.7,5.5175,220.7,5.5175,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"William Contreras","MIL",39,158,137,37,24,7,0,5,21,20,19,1,31,1,1,0,,2,1,0.269059,0.118543,0.196196,0.604205,0.35789,0.435879,0.345578,0.793769,0.16682,3.41847,0.311592,-0.154256,-0.168375,22.6266,4.08877,123.608,-0.322631,-0.126625,4.05451163649559,1.0983750522136688,1.11296,24.790000915527344,,,,,,,198.5,5.089743589,198.5,5.089743589,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Corbin Carroll","ARI",38,164,144,37,20,6,3,7,26,22,16,0,35,3,1,1,,8,2,0.255147,0.0979115,0.214532,0.456396,0.33835,0.490468,0.35505,0.828818,0.235321,8.0306,0.289841,0.478987,0.575003,24.7891,5.51054,127.501,1.05399,0.652518,6.356797814369202,-1.0820502638816833,1.09412,7.889999866485596,,,,,,,230.1,6.055263157,230.1,6.055263157,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Bryce Harper","PHI",40,172,147,40,22,10,0,8,24,24,22,2,37,1,1,0,,3,1,0.274371,0.128054,0.216445,0.591622,0.37177,0.503219,0.372823,0.874989,0.228848,3.61942,0.315813,-0.280217,-0.0149607,28.4151,8.23859,139.315,-0.295178,0.120014,7.638686925172806,-2.961313046514988,1.05848,22.260000228881836,,,,,,,253.1,6.3275,253.1,6.3275,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Nico Hoerner","CHC",39,171,156,44,33,8,1,2,20,17,11,0,16,3,1,0,,8,2,0.283085,0.0641461,0.0958824,0.669008,0.338399,0.38526,0.318675,0.723659,0.102176,5.96853,0.303314,0.255739,0.586502,20.7335,0.704091,105.866,0.842241,2.00991,2.017401337623596,2.6321313977241516,1.05141,203.32000732421875,,,,,,,189.7,4.864102564,189.7,4.864102564,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Patrick Bailey","SFG",33,131,118,27,18,5,1,2,13,13,10,0,35,1,1,1,,1,0,0.22654,0.0788252,0.263496,0.299152,0.290243,0.340691,0.279402,0.630934,0.114151,3.81301,0.297181,-0.0368535,-0.11559,11.7765,-3.62774,79.8977,-0.152444,1.80367,-3.249617025256157,4.366166472434998,1.04967,307.2900085449219,,,,,,,107.1,3.245454545,107.1,3.245454545,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Geraldo Perdomo","ARI",37,161,136,36,25,7,1,3,22,17,20,0,22,2,1,2,,5,1,0.265433,0.121893,0.134544,0.905968,0.361187,0.395332,0.335888,0.756519,0.129899,5.43703,0.293223,0.273825,0.138107,21.7749,2.90226,114.298,0.411932,-0.039151,3.1108343303203583,1.6830712035298347,1.0331,430.2699890136719,,,,,,,192.5,5.202702702,192.5,5.202702702,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Will Smith","LAD",34,133,114,30,19,6,0,5,18,18,16,1,24,2,1,0,,1,0,0.265691,0.116871,0.181385,0.644327,0.3615,0.45728,0.355155,0.818781,0.191589,3.32926,0.294224,-0.149302,-0.260016,20.1321,4.48416,129.243,-0.409319,0.313151,4.167367875576019,2.679508715867996,1.02479,107.08000183105469,,,,,,,174.3,5.126470588,174.3,5.126470588,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Xander Bogaerts","SDP",38,163,146,39,27,8,0,4,19,18,14,1,28,1,1,0,,4,1,0.267486,0.0870191,0.170754,0.509617,0.334463,0.40356,0.322909,0.738023,0.136074,4.47118,0.30369,0.155357,0.281148,20.3677,1.23119,110.397,0.436506,0.399897,2.4264319241046906,1.956378698348999,0.998431,155.3699951171875,,,,,,,183,4.815789473,183,4.815789473,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
"Dansby Swanson","CHC",40,174,158,39,26,7,1,6,22,20,14,0,44,1,1,0,,4,1,0.247699,0.0814584,0.252834,0.322182,0.31079,0.406774,0.31242,0.717563,0.159075,5.09796,0.306022,0.297004,0.0691566,20.2928,-0.162704,101.556,0.366161,1.43921,0.6845493316650391,3.30587637424469,0.995913,170.38999938964844,,,,,,,192.6,4.815,192.6,4.815,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Jackson Merrill","SDP",39,167,153,41,27,7,1,5,20,23,11,0,31,1,1,0,,2,1,0.270046,0.0638084,0.186071,0.342925,0.318248,0.442549,0.327558,0.760797,0.172503,5.02176,0.304466,0.00433591,-0.117262,21.4369,1.88443,113.6,-0.112926,1.15959,2.5467294976115227,1.6024937629699707,0.986354,27.280000686645508,,,,,,,186.6,4.784615384,186.6,4.784615384,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Willy Adames","SFG",39,168,149,36,21,8,0,6,21,21,17,0,41,1,1,0,,3,1,0.238633,0.102387,0.243168,0.421053,0.318687,0.421286,0.32169,0.739973,0.182653,4.31661,0.284868,0.141727,-0.0712846,20.8658,1.10534,109.036,0.0704423,0.344722,1.856395848095417,2.147962838411331,0.977433,91.93000030517578,,,,,,,189.1,4.848717948,189.1,4.848717948,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Freddie Freeman","LAD",39,170,148,43,28,10,0,6,23,24,18,2,31,2,1,0,,2,1,0.291377,0.106497,0.184093,0.578495,0.373756,0.47779,0.365403,0.851545,0.186413,4.14262,0.33308,0.0209974,-0.117899,27.1011,7.13259,136.304,-0.0969019,-0.222086,7.153755158185959,-3.2844317853450775,0.969521,26.920000076293945,,,,,,,239.2,6.133333333,239.2,6.133333333,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Masyn Winn","STL",38,166,152,39,27,8,1,4,21,17,12,0,29,1,1,1,,3,1,0.257327,0.070133,0.177598,0.394899,0.312923,0.39267,0.308476,0.705593,0.135343,5.07633,0.295848,0.0977317,-0.0724537,18.797,-0.684496,98.7914,0.0252781,1.81009,-0.21021130122244358,3.5878660678863525,0.905063,157.3800048828125,,,,,,,174.8,4.6,174.8,4.6,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Michael Harris II","ATL",36,154,144,40,26,7,2,5,18,20,7,0,30,1,1,0,,5,1,0.275839,0.0440802,0.19316,0.228206,0.311646,0.452964,0.327667,0.76461,0.177124,6.18653,0.313384,0.179828,0.22167,19.8541,1.7576,109.864,0.401498,0.997494,2.1868956983089447,1.5479573011398315,0.902077,41.880001068115234,,,,,,,189.4,5.261111111,189.4,5.261111111,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Matt Olson","ATL",40,174,149,38,22,8,0,8,23,25,22,1,41,1,1,0,,0,0,0.253203,0.123941,0.235244,0.526859,0.349956,0.466994,0.352445,0.81695,0.213791,2.04045,0.295276,-0.0868689,-0.262736,25.8453,5.46075,126.937,-0.349605,0.72392,5.1424530148506165,-2.376388370990753,0.86811,33.970001220703125,,,,,,,231.2,5.78,231.2,5.78,,,,,,,,,,,,,,,,,,,"Matt Olson","14344",621566
