Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",11,7,20,3.00679,31,31,0,0,,174,701,139,64,58,17,50,,6,214,11.0619,2.57281,4.29955,0.855152,0.304631,0.0708518,0.23377912491559982,0.215198,1.08541,0.294625,0.75464,,,2.90155,4.79947,4.88937,11.399999618530273,,,,,,,977.1000000000003,5.615517241379312,909,5.224137931034483,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",14,9,20,3.30339,32,32,0,0,,202,822,171,80,74,21,53,,8,214,9.52623,2.35845,4.0392,0.953426,0.260446,0.0644796,0.19596633315086365,0.224457,1.10607,0.28433,0.739522,,,3.33807,4.78536,4.93518,20.899999618530273,,,,,,,1036.9,5.133168316831684,982,4.861386138613861,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chris Sale","ATL",14,7,20,3.02966,31,31,0,0,,182,744,152,67,61,18,47,,10,224,11.0612,2.30115,4.80684,0.8909,0.30132,0.0626857,0.2386344149708748,0.221168,1.08957,0.300896,0.760308,,,2.92062,4.59006,4.94614,36.97999954223633,,,,,,,1007.1999999999998,5.534065934065933,953,5.236263736263736,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",13,10,20,3.32445,32,32,0,0,,201,831,194,82,74,16,44,,6,171,7.6818,1.97596,3.88763,0.699165,0.206263,0.0530563,0.15320662781596184,0.2485,1.18615,0.300459,0.723988,,,3.21439,3.93954,4.04827,99.6500015258789,,,,,,,978.2000000000002,4.866666666666667,989,4.920398009950249,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Corbin Burnes","ARI",13,8,19,3.33218,31,31,0,0,,188,774,167,76,70,18,53,,7,188,8.99744,2.53143,3.55429,0.872479,0.243144,0.0684086,0.17473570257425308,0.233467,1.16664,0.292486,0.741436,,,3.38539,3.7409,4.4255,38.66999816894531,,,,,,,931.5999999999999,4.955319148936169,902,4.797872340425532,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Dylan Cease","SDP",13,9,19,3.45992,32,32,0,0,,185,766,150,77,71,21,69,,6,218,10.6441,3.36816,3.16022,1.02132,0.284928,0.0901607,0.19476720690727234,0.216524,1.18517,0.284782,0.750985,,,3.49312,3.6897,3.736,46.52000045776367,,,,,,,931.7,5.036216216216216,863,4.664864864864865,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Sonny Gray","STL",13,9,18,3.41782,31,31,0,0,,181,744,159,75,69,20,50,,6,191,9.49641,2.48156,3.82679,0.989865,0.256742,0.0670906,0.18965116143226624,0.230662,1.15198,0.290945,0.739375,,,3.41882,3.53989,3.78841,110.6500015258789,,,,,,,894.0000000000001,4.9392265193370175,859,4.745856353591161,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Yoshinobu Yamamoto","LAD",12,7,16,3.45259,28,28,0,0,,163,652,136,68,62,19,39,,4,169,9.3599,2.17841,4.29666,1.03247,0.26002,0.0605168,0.1995030976831913,0.224453,1.07944,0.280529,0.723316,,,3.3843,3.53646,3.37228,58.150001525878906,,,,,,,827.9,5.079141104294479,777,4.766871165644171,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Sandy Alcantara","MIA",11,10,17,3.65015,29,29,0,0,,190,786,181,84,77,20,46,,7,166,7.88521,2.16294,3.6456,0.929683,0.211805,0.0580987,0.1537061594426632,0.247636,1.19547,0.296025,0.718294,,,3.5955,3.51753,3.74947,165.72999572753906,,,,,,,862.4,4.538947368421052,863,4.542105263157895,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Aaron Nola","PHI",12,10,17,3.83837,31,31,0,0,,188,775,176,86,80,25,43,,6,185,8.85919,2.05686,4.30714,1.19957,0.238543,0.0553831,0.1831597462296486,0.242124,1.1652,0.292043,0.720295,,,3.7045,3.50252,3.31958,87.1500015258789,,,,,,,849.1,4.516489361702128,838,4.457446808510638,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
