Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",11,7,20,3.02898,31,31,0,0,,172,701,139,64,58,16,51,,6,213,11.1025,2.65225,4.18608,0.83762,0.303093,0.0724049,0.23068803548812866,0.215359,1.10066,0.295104,0.753724,,,2.8921,4.80117,4.74573,10.890000343322754,,,,,,,969.6,5.637209302325582,907,5.273255813953488,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",14,9,20,3.34143,32,32,0,0,,200,817,171,81,74,21,53,,8,213,9.60176,2.36693,4.05663,0.965557,0.261207,0.06439,0.1968168243765831,0.225728,1.11627,0.286265,0.737247,,,3.34022,4.79851,4.68085,21.649999618530273,,,,,,,1020.1,5.1005,970,4.85,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chris Sale","ATL",14,7,20,3.08019,31,31,0,0,,180,734,151,67,62,18,47,,9,221,11.0463,2.33897,4.72272,0.912094,0.301115,0.0637588,0.23735640943050385,0.223383,1.10076,0.30364,0.759295,,,2.96466,4.33404,4.81704,35.97999954223633,,,,,,,991.9999999999999,5.51111111111111,940,5.222222222222222,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",13,10,20,3.33886,32,32,0,0,,199,825,192,81,74,15,45,,6,172,7.78422,2.03605,3.82319,0.693786,0.208374,0.0545026,0.1538710854947567,0.247989,1.1924,0.300973,0.723223,,,3.20297,3.8141,4.03764,98.33999633789062,,,,,,,979.9000000000001,4.9241206030150755,991,4.9798994974874375,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Dylan Cease","SDP",12,10,19,3.48839,32,32,0,0,,190,792,155,80,74,23,72,,6,227,10.7394,3.39776,3.16074,1.069,0.286385,0.090607,0.19577787071466446,0.217406,1.1939,0.285547,0.754045,,,3.55886,3.63812,3.76788,47.27000045776367,,,,,,,940.0999999999999,4.9478947368421045,871,4.58421052631579,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Tyler Glasnow","LAD",10,6,15,3.24016,24,24,0,0,,141,570,115,55,51,16,40,,3,176,11.2241,2.58285,4.34562,1.013,0.308413,0.0709709,0.23744173347949982,0.218587,1.10272,0.296427,0.751899,,,3.07086,3.60537,3.35814,91.72000122070312,,,,,,,770.6000000000001,5.465248226950355,720,5.1063829787234045,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Corbin Burnes","ARI",12,10,18,3.69202,31,31,0,0,,189,789,177,84,77,20,54,,7,192,9.17789,2.57019,3.5709,0.954,0.243928,0.06831,0.17561810463666916,0.243013,1.22295,0.304362,0.722413,,,3.47482,3.59687,3.62187,37.04999923706055,,,,,,,893.4000000000001,4.726984126984127,886,4.6878306878306875,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Yoshinobu Yamamoto","LAD",12,7,16,3.49945,27,27,0,0,,159,643,135,67,62,18,39,,4,164,9.32181,2.19063,4.2553,1.01146,0.255784,0.0601095,0.19567473605275154,0.224651,1.09246,0.279964,0.715668,,,3.36565,3.4061,3.21448,59.349998474121094,,,,,,,803.2,5.051572327044026,760,4.779874213836478,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Sandy Alcantara","MIA",10,10,17,3.6388,29,29,0,0,,187,777,177,82,76,19,47,,7,168,8.07009,2.27473,3.54772,0.915335,0.21561,0.0607741,0.15483538806438446,0.245531,1.20231,0.295523,0.718889,,,3.56948,3.29618,3.76284,137.64999389648438,,,,,,,863.8999999999999,4.619786096256684,862,4.609625668449198,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Hunter Greene","CIN",9,9,15,3.9706,29,29,0,0,,168,695,134,79,74,23,59,,15,197,10.5607,3.1775,3.3236,1.22251,0.282748,0.0850729,0.1976753994822502,0.216415,1.15523,0.277944,0.705769,,,3.91571,3.23801,3.07545,94.69999694824219,,,,,,,783.9000000000002,4.6660714285714295,713,4.244047619047619,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Blake Snell","LAD",11,7,17,3.5544,29,29,0,0,,156,657,123,67,62,18,70,,4,202,11.6386,4.02072,2.89466,1.02425,0.306987,0.106053,0.2009340301156044,0.211009,1.23656,0.28938,0.750542,,,3.46793,3.22152,3.01284,44.5099983215332,,,,,,,795.2,5.097435897435898,728,4.666666666666667,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Aaron Nola","PHI",12,10,17,3.85805,31,31,0,0,,187,777,177,86,80,27,45,,6,185,8.9338,2.17627,4.1051,1.281,0.238334,0.058058,0.18027595803141594,0.244159,1.19194,0.293055,0.733754,,,3.85199,3.14572,3.27981,88.30000305175781,,,,,,,808.4999999999998,4.323529411764705,801,4.283422459893048,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Spencer Strider","ATL",10,6,14,3.20001,23,23,0,0,,128,519,99,49,45,14,42,,5,170,11.9547,2.96879,4.02678,0.996,0.326761,0.0811471,0.24561428278684616,0.208752,1.10127,0.292833,0.758031,,,3.05767,3.12399,3.26366,101.01000213623047,,,,,,,716.6,5.5984375,657,5.1328125,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Cristopher Sánchez","PHI",11,9,17,3.49628,29,29,0,0,,169,703,163,73,66,17,48,,6,149,7.93102,2.55638,3.10245,0.89,0.211494,0.06817,0.14332393556833267,0.250554,1.2483,0.301692,0.737552,,,3.64404,3.12363,3.46532,144.05999755859375,,,,,,,753.7000000000003,4.459763313609469,760,4.497041420118343,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Sonny Gray","STL",12,10,18,3.6063,31,31,0,0,,177,733,158,77,71,21,50,,7,188,9.57537,2.54982,3.75532,1.07729,0.256405,0.0682779,0.18812725692987442,0.233387,1.17663,0.292595,0.733442,,,3.56005,3.10222,3.29816,122.05000305175781,,,,,,,845.7,4.777966101694916,817,4.6158192090395485,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Michael King","SDP",12,9,18,3.58274,31,31,0,0,,175,736,152,76,70,20,65,,7,189,9.7123,3.35777,2.89248,1.03508,0.256088,0.0885357,0.1675521805882454,0.22928,1.24403,0.290248,0.74943,,,3.7494,3.07565,3.1868,62.720001220703125,,,,,,,815.8,4.661714285714285,777,4.44,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"MacKenzie Gore","WSN",10,10,17,3.77024,31,31,0,0,,166,702,148,75,69,20,61,,7,183,9.93591,3.33531,2.979,1.06433,0.260883,0.0875741,0.1733093038201332,0.233631,1.26298,0.298039,0.736798,,,3.73213,2.82682,2.9603,200.7899932861328,,,,,,,759.6000000000001,4.5759036144578324,732,4.409638554216867,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Freddy Peralta","MIL",11,10,17,3.84952,31,31,0,0,,170,711,141,79,73,23,62,,8,197,10.3807,3.2775,3.16727,1.2408,0.27636,0.087255,0.18910475075244904,0.220561,1.19379,0.280048,0.73107,,,3.8885,2.78448,2.73863,103.55999755859375,,,,,,,792.4999999999999,4.661764705882352,735,4.323529411764706,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Shota Imanaga","CHC",10,8,16,3.66672,29,29,0,0,,166,687,154,73,68,24,39,,6,168,9.08967,2.11739,4.29288,1.28076,0.243946,0.0568257,0.18712010234594345,0.240078,1.16417,0.289518,0.75014,,,3.8093,2.69766,2.91826,78.08999633789062,,,,,,,733.8000000000001,4.420481927710844,719,4.331325301204819,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Spencer Schwellenbach","ATL",11,9,16,3.80411,29,29,0,0,,171,713,164,78,72,21,43,,8,166,8.72396,2.27075,3.84188,1.115,0.232445,0.0605029,0.17194193974137306,0.247094,1.20946,0.299691,0.725094,,,3.72793,2.69532,2.98994,78.30000305175781,,,,,,,759.7000000000002,4.442690058479533,761,4.450292397660819,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Reynaldo López","ATL",12,9,17,3.91368,31,31,0,0,,178,749,162,83,77,22,61,,6,189,9.56427,3.11109,3.07425,1.117,0.252178,0.082029,0.17014895379543304,0.238101,1.25903,0.297918,0.728415,,,3.78873,2.66862,2.91864,172.38999938964844,,,,,,,802.3999999999999,4.507865168539325,781,4.387640449438202,,,,,,,,,,,,,,,,,,,"Reynaldo Lopez","16400",625643
"Brandon Woodruff","MIL",9,9,15,3.76433,26,26,0,0,,156,644,140,70,65,22,42,,6,167,9.63175,2.42926,3.9649,1.253,0.258559,0.065212,0.19334693253040314,0.234517,1.16773,0.289657,0.73813,,,3.76812,2.59879,2.77057,254.5399932861328,,,,,,,709.8000000000002,4.550000000000002,684,4.384615384615385,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Justin Steele","CHC",10,8,16,3.62696,29,29,0,0,,161,670,151,71,65,18,44,,6,154,8.59533,2.44693,3.5127,1.01005,0.229719,0.0653966,0.16432225704193115,0.243029,1.20658,0.295983,0.731886,,,3.64947,2.57951,2.8088,118.05999755859375,,,,,,,735.4,4.567701863354037,729,4.527950310559007,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
