Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",152,679,53,137,114,12,0.182621502,0.235640648,0.356746765,0.376119402,0.330868761,0.456553755,0.687615526,0.46277131105470437,0.47547153228902594,204.45786957330023,-4.142649194225669,79.45296890425124,-3.8455862998962402,10.126502280788435,"Aaron Judge",15640,592450
"Cal Raleigh","SEA",159,705,60,110,125,14,0.137588652,0.266666666,0.342281879,0.247863247,0.246644295,0.358865248,0.588926174,0.39200781996166983,0.38396564749784245,161.1147743082231,-2.7600575536489487,48.021720629978326,16.293894536793232,9.062765354313504,"Cal Raleigh",21534,663728
"Bobby Witt Jr.","KCR",157,687,23,99,88,38,0.071324599,0.181950509,0.205457464,0.334024896,0.295345104,0.350800582,0.500802568,0.36028863131912187,0.3771829774393838,129.71644196602443,7.412902662530541,31.474592306155337,23.15791606903076,8.008680057318092,"Bobby Witt Jr.",25764,677951
"Shohei Ohtani","LAD",158,727,55,146,102,20,0.149931224,0.257221458,0.340425532,0.315363881,0.281505728,0.391724137,0.62193126,0.4178216946885941,0.4387970404191451,172.3156045629402,3.6801422368735075,65.99055639918078,-17.067899703979492,7.480405959827134,"Shohei Ohtani",19755,660271
"Geraldo Perdomo","ARI",161,720,20,98,100,27,0.130555555,0.115277777,0.172529313,0.302970297,0.289782244,0.389044943,0.462311557,0.3698901362224638,0.3610100362801922,137.98755046348717,3.761845950037241,36.17848551723169,9.031476855278015,7.076719998386071,"Geraldo Perdomo",22799,672695
"Trea Turner","PHI",141,639,15,94,69,36,0.067292644,0.167449139,0.152801358,0.34968017,0.303904923,0.355242566,0.456706281,0.35156535943473766,0.32529203121938677,124.8082278067238,7.954947719350457,26.743391308188887,17.235366821289062,6.674995202495156,"Trea Turner",16252,607208
"Corbin Carroll","ARI",143,642,31,107,84,32,0.10436137,0.238317757,0.281914893,0.299479166,0.258865248,0.342679127,0.540780141,0.37149713461675615,0.3825083798582449,139.08839604480144,10.266325190663338,40.0087987227999,2.5441479682922363,6.539330077984362,"Corbin Carroll",25878,682998
"José Ramírez","CLE",158,673,30,103,85,44,0.09806835,0.109955423,0.219224283,0.279352226,0.283305227,0.360119047,0.50252951,0.35964188603254466,0.3513679621769832,133.4721923751499,7.250767977908254,33.801212578937665,4.58179646730423,6.296855579952546,"Jose Ramirez",13510,608070
"Francisco Lindor","NYM",160,732,31,117,86,31,0.088797814,0.178961748,0.198757764,0.288343558,0.267080745,0.345628415,0.465838509,0.3501807249572179,0.3548816119460325,128.77125428201668,2.749625878408551,27.71074668561195,9.21214747428894,6.2697021267419295,"Francisco Lindor",12916,596019
"Fernando Tatis Jr.","SDP",155,691,25,111,71,32,0.128798842,0.186685962,0.178451179,0.30316742,0.267676767,0.367583212,0.446127946,0.3532081374473739,0.3811020367996283,131.28272564346076,5.806268977001309,31.426134095750502,5.128045558929443,6.092397216795801,"Fernando Tatis Jr.",19709,665487
"Juan Soto","NYM",160,715,43,120,105,38,0.177622377,0.191608391,0.26169844,0.270471464,0.263431542,0.395511921,0.525129982,0.38982828523431506,0.44090491473589505,155.93110814120718,2.7114840243011713,50.10879153492784,-17.155375003814697,5.805699921525191,"Juan Soto",20123,665742
"Julio Rodríguez","SEA",160,710,32,106,95,30,0.06197183,0.214084507,0.207055215,0.302127659,0.266871165,0.323943661,0.47392638,0.3409884508619917,0.35611874833066237,125.96944026266532,3.864511426538229,25.596201997514527,5.9398815631866455,5.726615233180085,"Julio Rodriguez",23697,677594
"Jeremy Peña","HOU",125,543,17,68,62,20,0.064456721,0.171270718,0.172413793,0.345454545,0.304259634,0.363468634,0.476673427,0.3629105426647045,0.3436101513581285,135.11462301057807,4.281138721853495,26.754105752527025,10.417760372161865,5.715179518476367,"Jeremy Pena",21636,665161
"Maikel Garcia","KCR",160,666,16,81,74,23,0.093093093,0.126126126,0.16302521,0.308,0.285714285,0.35143288,0.448739495,0.3469151187446502,0.34413707923600606,120.50392963812814,1.108578497543931,17.203316330826144,14.946643590927124,5.634487980776628,"Maikel Garcia",22715,672580
"Pete Crow-Armstrong","CHC",157,647,31,91,95,35,0.044822256,0.239567233,0.233502538,0.275779376,0.247038917,0.287051482,0.480541455,0.3234034123830497,0.3343713062711563,108.9191437637993,6.716142592951655,13.55560002070975,17.59115695953369,5.389356173289711,"Pete Crow-Armstrong",27769,691718
"George Springer","TOR",140,586,32,106,84,18,0.11774744,0.189419795,0.251004016,0.339832869,0.309236947,0.39896373,0.560240963,0.4078920781612396,0.4166471531080163,166.12905855908951,2.781483545899391,48.454798197629636,-17.775115489959717,5.202361154844324,"George Springer",12856,543807
"Byron Buxton","MIN",126,542,35,97,83,24,0.075645756,0.27306273,0.286885246,0.302250803,0.264344262,0.326568265,0.551229508,0.3666271403071157,0.3621826741232801,136.3415758121969,8.527150550857186,31.74252090154624,-1.3648369312286377,5.0165284178743015,"Byron Buxton",14161,621439
"Kyle Schwarber","PHI",162,724,56,111,132,10,0.14917127,0.272099447,0.322847682,0.252840909,0.240066225,0.364640883,0.562913907,0.39137705031543724,0.41357094140897405,152.08051640783808,-1.0830977391451597,43.606665500013534,-19.549630165100098,4.926128476834927,"Kyle Schwarber",16478,656941
"Cody Bellinger","NYY",152,656,29,89,98,13,0.086890243,0.137195121,0.207482993,0.274058577,0.272108843,0.333841463,0.479591836,0.34747452362803105,0.33163463832043216,125.03422753309191,0.85094347409904,20.206720451162848,5.123315811157227,4.9015120570534165,"Cody Bellinger",15998,641355
"Nico Hoerner","CHC",156,649,7,89,61,29,0.060092449,0.07550077,0.096828047,0.312614259,0.297161936,0.345146379,0.393989983,0.324089211722215,0.3266370669815892,109.3889383665007,4.544913096353412,11.766878285297405,13.547824621200562,4.799472874110018,"Nico Hoerner",21479,663538
"Gunnar Henderson","BAL",154,651,17,85,68,30,0.095238095,0.210445468,0.164644715,0.329439252,0.273830155,0.348694316,0.43847487,0.33939238232235575,0.34762380424416195,119.78289181549304,7.284703219309449,22.46370945740385,1.7153089046478271,4.766142329420926,"Gunnar Henderson",26289,683002
