Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Ryne Nelson","ARI",34,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"Ryne Nelson",26253,669194
"Jonathan Ornelas","ATL",2,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,"Jonathan Ornelas",24597,680716
"Trey Lipscomb","WSN",3,4,4,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.5,"Trey Lipscomb",31567,702358
"Rob Brantly","MIA",3,7,7,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.428571428,"Rob Brantly",10655,542963
"Austin Wynns","CIN",18,40,43,16,10,3,0,3,6,11,3,0,12,0,0,0,1,0,0,0.4,"Austin Wynns",15271,642851
"Kevin Alcántara","CHC",10,11,12,4,4,0,0,0,2,1,1,0,4,0,0,0,0,1,0,0.363636363,"Kevin Alcantara",25971,682634
"Miguel Andujar","CIN",34,103,110,37,26,7,0,4,14,17,6,0,19,1,0,0,3,0,0,0.3592233,"Miguel Andujar",15878,609280
"Bryce Johnson","SDP",55,76,84,26,21,4,0,1,9,8,3,0,19,2,0,3,1,4,1,0.342105263,"Bryce Johnson",20002,669369
"Billy Cook","PIT",3,6,6,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333333333,"Billy Cook",29573,695257
"Andrew Vaughn","MIL",64,221,254,68,45,14,0,9,26,46,24,0,37,3,5,1,8,0,0,0.307692307,"Andrew Vaughn",26197,683734
"Drew Millas","WSN",18,49,55,15,9,5,1,0,6,7,4,0,7,0,0,1,0,2,0,0.306122448,"Drew Millas",25643,686452
"Harrison Bader","PHI",50,177,194,54,37,11,1,5,30,16,12,0,55,4,1,0,2,1,3,0.305084745,"Harrison Bader",18030,664056
"Trea Turner","PHI",141,589,639,179,126,31,7,15,94,69,43,1,107,5,2,0,11,36,7,0.303904923,"Trea Turner",16252,607208
"Daylen Lile","WSN",91,321,351,96,61,15,11,9,51,41,21,0,56,4,3,1,5,8,6,0.29906542,"Daylen Lile",29995,695734
"Moisés Ballesteros","CHC",20,57,66,17,12,2,1,2,12,11,9,1,12,0,0,0,2,0,0,0.298245614,"Moises Ballesteros",28820,694208
"Nico Hoerner","CHC",156,599,649,178,138,29,4,7,89,61,39,1,49,7,4,0,4,29,6,0.297161936,"Nico Hoerner",21479,663538
"Will Smith","LAD",110,362,436,107,69,20,1,17,64,61,64,1,89,5,5,0,7,2,3,0.29558011,"Will Smith",19197,669257
"Freddie Freeman","LAD",147,556,627,164,99,39,2,24,81,90,60,7,128,6,5,0,13,6,2,0.294964028,"Freddie Freeman",5361,518692
"Josh Naylor","ARI",93,349,394,102,71,19,1,11,49,59,37,4,49,2,4,0,14,11,2,0.29226361,"Josh Naylor",18839,647304
"Luis Arraez","SDP",154,620,675,181,139,30,4,8,66,61,34,0,21,2,7,12,12,11,4,0.291935483,"Luis Arraez",18568,650333
"Jakob Marsee","MIA",55,209,234,61,35,18,3,5,28,33,22,0,48,2,1,0,2,14,6,0.291866028,"Jakob Marsee",31370,805300
"Ronald Acuña Jr.","ATL",95,338,412,98,64,12,1,21,74,42,71,4,102,3,0,0,5,9,1,0.289940828,"Ronald Acuna Jr.",18401,660670
"Geraldo Perdomo","ARI",161,597,720,173,115,33,5,20,98,100,94,1,83,10,11,8,11,27,6,0.289782244,"Geraldo Perdomo",22799,672695
"Alec Burleson","STL",139,497,546,144,98,26,2,18,54,69,39,1,79,3,4,1,14,5,1,0.28973843,"Alec Burleson",27615,676475
"Kyle Stowers","MIA",117,399,457,115,66,21,3,25,61,73,48,3,125,5,4,1,6,5,1,0.288220551,"Kyle Stowers",26151,669065
"Sal Frelick","MIL",142,528,594,152,117,20,3,12,76,63,47,0,80,7,5,3,4,19,6,0.287878787,"Sal Frelick",29622,686217
"Brice Turang","MIL",156,584,659,168,120,28,2,18,97,81,66,1,150,2,5,2,3,24,8,0.287671232,"Brice Turang",22186,668930
