Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",10,10,0,32,32,187.2,10.358792746226051,2.0142097006550657,0.5275311120763266,0.27292576419213976,0.82443654,0.443254817,0.06321839,98.23233492080479,1.966252326829945,2.586346896761056,2.362489739913177,3.029963883239011,6.502514839172363,"Paul Skenes",33677,694973
"Cristopher Sánchez","PHI",13,5,0,32,32,202,9.445544554455445,1.9603960396039604,0.5346534653465347,0.29831144465290804,0.79823702,0.58302583,0.092307692,,2.495049504950495,3.004991907227011,2.5509779023652035,2.7709091445597096,6.400233268737793,"Cristopher Sanchez",20778,650911
"Logan Webb","SFG",15,11,0,34,34,207,9.73913043478261,2,0.6086956521739131,0.3462897526501767,0.74257426,0.532399299,0.098591549,92.74687801640927,3.217391304347826,3.6154003127719405,2.6037353520232127,2.782126572800144,5.528478622436523,"Logan Webb",17995,657277
"Jesús Luzardo","PHI",15,7,0,32,32,183.2,10.584392600744152,2.7931036029741514,0.7840290815366039,0.3240343347639485,0.69403715,0.427672955,0.09039548,96.37835043532338,3.9201454076830196,3.3112468561412127,2.8955718766261582,3.2488633229737087,5.335048198699951,"Jesus Luzardo",19959,666200
"Yoshinobu Yamamoto","LAD",12,8,0,30,30,173.2,10.416507327997268,3.057581752994223,0.7255278735918494,0.24324324324324326,0.78507079,0.527577937,0.107692307,95.34593813195147,2.487524138029198,2.7253299214632216,2.9393589554915263,3.0454594084815447,4.996394634246826,"Yoshinobu Yamamoto",33825,808967
"Zack Wheeler","PHI",10,5,0,24,24,149.2,11.726058703454148,1.984409934430702,1.142539053157071,0.26666666666666666,0.82372323,0.399425287,0.141791044,95.9765063526694,2.7060135469509574,2.464321324736853,3.0015060195919254,2.7315265013475694,4.039516925811768,"Zack Wheeler",10310,554430
"Ranger Suárez","PHI",12,8,0,26,26,157.1,8.637712143646246,2.1737288838315054,0.8008474835168704,0.3167420814479638,0.79035874,0.467706013,0.088050314,91.18984485346046,3.2033899340674816,3.14617671361856,3.211407507113156,3.612699158130572,4.036607265472412,"Ranger Suarez",17277,624133
"Andrew Abbott","CIN",10,7,0,29,29,166.1,8.062124495026568,2.326653377759345,1.028056143661106,0.274468085106383,0.8004779,0.318087318,0.082608695,92.69346298495645,2.867735558633611,3.565701995961212,3.6581824263852445,4.305076488667916,3.9303135871887207,"Andrew Abbott",29911,671096
"Nick Pivetta","SDP",13,5,0,31,31,181.2,9.412844563774714,2.4770643588880827,1.0899083179107565,0.23464912280701755,0.78703704,0.335443037,0.096916299,93.85475150877835,2.8733946563101758,3.997777761189813,3.4929345033795105,3.8450895201171256,3.6734888553619385,"Nick Pivetta",15454,601713
"Freddy Peralta","MIL",17,6,0,33,33,176.2,10.392452530988225,3.362264054143249,1.0698112899546701,0.24349881796690306,0.85495283,0.372727272,0.104477611,94.70941853422168,2.6999999222665485,3.4566957606095685,3.6445702658042487,3.853379329266389,3.6201796531677246,"Freddy Peralta",18679,642547
"Chris Sale","ATL",7,5,0,21,20,125.2,11.816976187106349,2.2917771999236556,0.7877984124737566,0.3127147766323024,0.82561728,0.39,0.093220338,94.8563668079174,2.5782493499141124,2.8014377193196647,2.6735978543332735,2.9833477695270885,3.6004711240530014,"Chris Sale",10603,519242
"Sonny Gray","STL",14,8,0,32,32,180.2,10.012915692933463,1.892989036474983,1.2453875239966994,0.3292181069958848,0.69633508,0.438735177,0.14450867,91.69117647058823,4.284133082548646,3.884048340909145,3.3897488786683345,3.0671708243031417,3.5670740604400635,"Sonny Gray",12768,543243
"Matthew Boyd","CHC",14,8,0,31,31,179.2,7.714285495898599,2.1038960443359813,0.9517624962472298,0.2732793522267207,0.76233184,0.37944664,0.08370044,93.26330773305085,3.2059368294643527,3.712744031668613,3.647195672912899,4.220339392077284,3.4332244396209717,"Matthew Boyd",15440,571510
"Dylan Cease","SDP",8,12,0,32,32,168,11.517857142857142,3.8035714285714284,1.125,0.3195121951219512,0.6898288,0.366197183,0.118644067,97.06857706547154,4.553571428571429,3.460437137812972,3.5577553658258347,3.5570878581986545,3.3976783752441406,"Dylan Cease",18525,656302
"David Peterson","NYM",9,6,0,30,30,168.2,8.003953051899728,3.468379655823216,0.5869565571393134,0.3163265306122449,0.6918239,0.546558704,0.092436974,92.38368344425957,4.215415274000524,4.5092483047759,3.484938710845368,3.7248615225123918,3.1409006118774414,"David Peterson",20302,656849
"Hunter Greene","CIN",7,4,0,19,19,107.2,11.034055988183178,2.1733746643391108,1.2538699986571793,0.24489795918367346,0.82926829,0.329457364,0.119047619,99.40799894403379,2.7585139970457946,3.0926427794382927,3.274455206946474,3.2675742810636224,2.904505968093872,"Hunter Greene",22182,668881
