Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Logan Webb","SFG",15,11,3.217391304347826,34,34,22,0,0,0,0,0,207,856,210,82,74,14,46,0,6,2,0,224,"Logan Webb",17995,657277
"Jesús Luzardo","PHI",15,7,3.9201454076830196,32,32,18,0,0,0,0,0,183.2,758,167,85,80,16,57,0,3,2,1,216,"Jesus Luzardo",19959,666200
"Paul Skenes","PIT",10,10,1.966252326829945,32,32,20,1,0,0,0,0,187.2,733,136,45,41,11,42,0,6,2,0,216,"Paul Skenes",33677,694973
"Dylan Cease","SDP",8,12,4.553571428571429,32,32,8,0,0,0,0,0,168,722,152,91,85,21,71,2,5,5,0,215,"Dylan Cease",18525,656302
"Cristopher Sánchez","PHI",13,5,2.495049504950495,32,32,22,1,0,0,0,0,202,807,171,58,56,12,44,0,6,6,1,212,"Cristopher Sanchez",20778,650911
"Freddy Peralta","MIL",17,6,2.6999999222665485,33,33,13,0,0,0,0,0,176.2,723,124,54,53,21,66,0,9,4,2,204,"Freddy Peralta",18679,642547
"Sonny Gray","STL",14,8,4.284133082548646,32,32,14,1,1,0,0,0,180.2,753,185,93,86,25,38,0,3,2,0,201,"Sonny Gray",12768,543243
"Yoshinobu Yamamoto","LAD",12,8,2.487524138029198,30,30,18,0,0,0,0,0,173.2,684,113,53,48,14,59,0,3,5,0,201,"Yoshinobu Yamamoto",33825,808967
"Zack Wheeler","PHI",10,5,2.7060135469509574,24,24,16,1,0,0,0,0,149.2,585,107,48,45,19,33,0,8,2,0,195,"Zack Wheeler",10310,554430
"Nick Pivetta","SDP",13,5,2.8733946563101758,31,31,19,0,0,0,0,0,181.2,721,129,63,58,22,50,1,3,1,0,190,"Nick Pivetta",15454,601713
"Robbie Ray","SFG",11,8,3.652650924561298,32,32,16,1,0,0,0,0,182.1,755,148,81,74,22,73,0,4,7,1,186,"Robbie Ray",11486,592662
"MacKenzie Gore","WSN",5,15,4.171190244873954,30,30,14,0,0,0,0,0,159.2,680,152,75,74,20,64,0,5,12,0,185,"MacKenzie Gore",22201,669022
"Zac Gallen","ARI",13,15,4.828125,33,33,15,0,0,0,0,0,192,813,176,109,103,31,66,1,4,2,0,175,"Zac Gallen",19291,668678
"Chris Sale","ATL",7,5,2.5782493499141124,21,20,11,0,0,0,0,0,125.2,510,102,38,36,11,32,0,11,3,0,165,"Chris Sale",10603,519242
"Brady Singer","CIN",14,12,4.031434426384313,32,32,15,0,0,0,0,0,169.2,716,150,80,76,19,60,0,14,3,0,163,"Brady Singer",25377,663903
"Nick Lodolo","CIN",9,8,3.331915109961659,29,28,14,2,1,0,0,0,156.2,642,138,60,58,22,31,1,13,2,1,156,"Nick Lodolo",26378,666157
"Matthew Boyd","CHC",14,8,3.2059368294643527,31,31,17,0,0,0,0,0,179.2,718,154,69,64,19,42,0,9,2,0,154,"Matthew Boyd",15440,571510
"Ranger Suárez","PHI",12,8,3.2033899340674816,26,26,17,0,0,0,0,0,157.1,651,154,57,56,14,38,0,6,0,0,151,"Ranger Suarez",17277,624133
"Mitch Keller","PIT",6,15,4.185255319209694,32,32,17,0,0,0,0,0,176.1,749,171,91,82,21,51,0,10,5,0,150,"Mitch Keller",17594,656605
"David Peterson","NYM",9,6,4.215415274000524,30,30,15,1,1,0,0,0,168.2,723,166,84,79,11,65,1,7,3,1,150,"David Peterson",20302,656849
"Edward Cabrera","MIA",8,7,3.5302666046856825,26,26,7,0,0,0,0,0,137.2,581,121,60,54,17,48,0,10,8,0,150,"Edward Cabrera",21690,665795
"Andrew Abbott","CIN",10,7,2.867735558633611,29,29,11,1,1,0,0,0,166.1,684,148,60,53,19,43,0,3,4,0,149,"Andrew Abbott",29911,671096
