ID,AB,R,H,D,T,HR,RBI,SB,CS,BB,K,HP,SAC
3668,584,97,150,30,2,24,76,25,3,56,123,11,0,FLindor
7317,576,94,153,30,4,28,75,15,4,70,145,5,0,GHenderson
4300,591,87,142,27,3,18,64,10,3,55,102,4,0,MSemien
4465,568,89,141,27,2,32,104,1,0,73,164,5,0,MOlson
5688,579,95,151,31,2,30,94,4,1,58,162,8,0,ARiley
7839,578,91,152,34,7,22,74,44,16,59,188,5,0,EDeLaCruz
5275,570,81,164,29,2,26,86,6,3,64,97,7,0,VGuerreroJr
6904,587,91,171,35,6,27,80,29,9,49,108,5,0,BWitt
6096,573,79,150,28,2,23,78,9,2,56,146,10,0,BReynolds
6579,583,83,157,25,2,23,75,26,6,47,146,8,0,JuRodriguez
2466,559,91,160,36,2,21,90,13,2,70,108,9,0,FFreeman
5094,571,82,134,27,2,26,79,14,3,64,168,3,0,WAdames
7434,591,88,147,30,4,15,63,19,4,44,126,3,0,MWinn
4901,542,92,117,22,1,29,76,3,3,89,195,5,0,KSchwarber
6423,564,85,153,30,2,23,87,8,2,68,137,4,0,WContreras
7878,570,85,155,27,5,11,55,18,5,59,66,5,0,SKwan
4601,524,92,147,25,2,41,96,7,2,104,166,5,0,AJudge
6322,552,102,157,29,4,37,86,28,4,77,149,4,0,SOhtaniH
4602,577,81,156,33,3,24,85,23,6,54,84,1,0,JRamirez
7785,595,76,163,41,4,19,68,8,6,32,160,5,0,ETovar
7007,555,101,146,27,7,23,72,44,6,64,126,11,0,CCarroll
4555,585,89,159,28,2,20,74,26,3,40,127,5,0,TTurner
4670,557,94,156,31,2,25,83,14,2,67,94,4,0,MBetts
7050,577,84,136,30,4,15,59,26,6,45,137,5,0,AVolpe
5398,557,82,138,25,2,22,69,7,3,61,138,9,0,TWard
6622,575,76,153,27,3,16,66,20,7,43,101,8,0,LRengifo
7200,580,74,146,29,2,14,65,15,5,35,116,11,0,JPena
6946,576,82,150,39,7,16,61,29,5,45,143,4,0,JDuran
6876,556,76,138,24,2,17,72,3,1,66,99,3,0,ARutschman
6951,558,73,129,31,3,20,70,6,3,62,132,4,0,JBleday
6195,568,70,138,27,3,23,69,10,3,49,168,5,0,HelRamos
2628,544,86,147,31,2,28,89,9,2,75,144,4,0,BHarper
5793,563,85,148,28,2,27,73,23,4,53,135,6,0,FTatisJr
7727,577,84,152,30,2,22,76,28,5,41,137,3,0,JChourio
6132,548,85,133,22,2,30,92,4,1,60,142,13,0,PAlonso
4619,560,75,141,24,2,18,66,7,3,57,116,3,0,GTorres
6043,509,94,139,25,2,31,84,13,4,107,114,4,0,JSoto
5903,558,76,134,27,2,29,86,4,1,52,134,8,0,ASantander
4847,547,87,146,29,2,25,78,7,1,66,115,5,0,KMarte
5099,564,82,148,30,3,21,82,14,2,46,101,8,0,OAlbies
6138,576,77,174,31,2,7,56,7,2,35,41,6,0,LArraez
3575,559,78,129,21,2,17,62,14,3,52,123,5,0,GSpringer
7718,558,79,154,33,3,14,60,8,3,54,54,4,0,JLee
5276,558,76,135,26,2,16,78,13,2,54,150,3,0,DSwanson
4903,546,84,146,32,2,27,85,5,1,64,133,5,0,RDevers
4844,559,78,140,25,2,26,92,8,2,48,181,8,0,THernandez
3778,539,80,132,23,3,19,82,10,2,63,138,12,0,BNimmo
3280,551,83,146,23,2,30,90,2,1,61,155,3,0,MOzuna
6129,528,74,125,24,1,19,77,16,6,65,146,20,0,RArozarena
7463,571,93,158,29,3,22,71,24,5,38,128,5,0,MHarris
5384,529,86,145,27,2,28,85,21,3,80,100,3,0,KTucker
3216,562,75,145,20,1,27,89,7,2,49,128,1,0,MMachado
3822,558,70,150,23,2,15,64,15,2,48,115,4,0,XBogaerts
5352,532,85,129,30,2,20,70,12,2,73,151,6,0,IHapp
4907,549,76,135,28,2,18,69,4,1,55,85,7,0,ABregman
6943,558,69,141,28,3,13,56,31,3,48,106,4,0,BStott
6542,560,75,151,31,2,17,86,6,2,44,99,6,0,ABohm
6242,525,76,125,22,2,22,75,2,1,66,104,16,0,IParedes
3217,566,74,143,27,2,21,85,7,2,37,148,5,0,NCastellanos
3198,533,75,136,25,2,18,67,9,2,61,101,12,0,JProfar
4521,541,74,126,24,2,23,86,4,1,56,136,9,0,CWalker
5389,543,77,138,27,1,23,90,6,3,57,105,6,0,JNaylor
3776,547,85,150,25,2,18,60,15,3,51,106,7,0,JAltuve
3159,550,71,136,21,1,21,77,6,1,52,150,3,0,PGoldschmidt
5735,544,72,153,27,2,16,62,2,1,56,93,5,0,YDiaz
4613,542,66,128,28,2,16,67,3,6,59,179,3,0,RMcMahon
3214,553,73,146,26,2,19,84,3,2,46,95,4,0,NArenado
6070,563,72,146,30,2,15,64,6,3,37,119,3,0,BBichette
5037,534,75,126,29,2,20,77,9,2,60,156,8,0,MChapman
5824,545,66,141,28,3,11,61,23,5,35,92,20,0,AGimenez
7755,535,80,139,28,3,23,74,20,5,61,171,3,0,JWood
8277,565,72,156,29,2,20,81,2,0,29,108,5,0,YDiaz
7000,531,76,126,25,2,23,84,4,1,60,167,7,0,MBusch
6652,526,72,141,26,2,18,81,4,1,68,134,3,0,NLowe
6953,530,73,140,29,3,20,73,9,3,61,151,4,0,RGreene
8518,557,70,141,23,2,24,74,5,2,35,137,3,0,JCaminero
6954,541,84,138,29,5,18,62,37,8,38,114,13,0,CAbrams
5465,540,70,122,22,2,23,78,9,3,46,167,5,0,AGarcia
8147,554,73,142,30,4,18,75,15,4,36,109,1,0,JMerrill
5740,537,70,133,25,2,27,76,1,1,47,166,6,0,MVientos
6814,524,69,111,16,1,27,80,2,1,62,165,4,0,CRaleigh
7939,531,71,135,29,2,21,82,2,1,53,84,5,0,VPasquantino
6130,538,76,133,23,3,23,68,29,8,46,151,4,0,JChisholm
8124,544,74,129,27,2,18,55,17,3,42,146,1,0,LButler
6595,509,76,125,26,2,15,61,11,3,58,113,19,0,JIndia
3314,519,80,137,25,3,16,65,25,3,63,131,4,0,CYelich
7964,537,65,122,28,2,18,57,21,5,45,173,4,0,ZGelof
5435,508,73,128,20,1,23,75,6,2,58,139,20,0,WContreras
6185,501,81,148,28,2,29,82,5,1,72,100,10,0,YAlvarez
6691,533,73,141,27,2,8,59,31,4,40,69,10,0,NHoerner
8481,537,71,130,25,3,21,67,18,4,40,183,8,0,TFitzgerald
7389,523,64,117,20,3,20,64,9,4,51,149,8,0,CMorel
4330,519,70,126,23,2,23,77,2,1,53,165,11,0,ESuarez
6521,525,73,130,30,3,21,76,21,3,52,167,4,0,OCruz
7903,517,71,141,29,2,13,68,8,3,48,79,11,0,BDonovan
7771,523,73,126,25,4,16,70,25,5,44,141,8,0,DCrews
6905,526,59,131,26,2,18,71,2,0,40,115,8,0,AVaughn
7356,531,70,125,25,4,16,54,23,8,40,167,4,0,BDoyle
4534,503,62,116,22,2,12,56,6,1,63,114,8,0,JPCrawford
8539,518,72,131,31,4,17,68,15,3,50,125,4,0,WLangford
6213,539,66,145,27,3,18,69,15,4,33,98,0,0,LGarcia
6875,522,67,122,23,3,15,56,22,5,47,151,1,0,JDominguez
6507,522,64,128,22,3,9,58,37,4,45,106,3,0,BTurang
5725,528,68,129,23,2,23,60,19,5,35,156,7,0,LRobert
7348,526,61,128,28,2,15,60,9,3,38,137,6,0,JWalker
6324,506,75,134,26,3,19,76,12,4,58,147,5,0,SSuzuki
6463,504,66,117,24,2,14,69,6,2,54,110,11,0,JCronenworth
3457,525,62,129,19,1,19,73,0,1,35,124,9,0,SPerez
5350,529,69,141,29,3,18,78,6,1,34,107,6,0,LGurriel
6156,520,62,125,22,2,25,61,2,1,37,143,9,0,JBurger
8724,516,65,128,23,3,5,44,42,7,36,106,12,0,JYoung
7884,522,64,126,25,3,7,51,29,6,39,104,1,0,MGarcia
6204,502,69,127,23,2,27,69,5,2,52,169,8,0,BRooker
8005,500,65,121,28,2,18,69,17,3,53,120,8,0,SSteer
8108,510,62,127,30,4,12,59,15,4,45,112,4,0,JOrtiz
6915,508,70,120,27,6,15,52,18,4,46,134,4,0,PMeadows
4954,510,69,130,25,2,17,72,11,3,41,99,4,0,CBellinger
8177,509,65,122,29,1,14,54,7,6,42,155,3,0,CNorby
7370,515,68,127,24,4,16,62,35,5,33,145,6,0,PCrowArmstrong
6326,502,64,109,22,4,18,59,13,4,45,139,4,0,DVarsho
6751,492,74,126,20,4,17,63,20,3,44,94,15,0,TFriedl
4010,490,68,127,27,2,18,63,1,1,54,110,4,0,CCorrea
6977,497,73,136,22,5,10,67,33,5,40,92,11,0,JMcCarthy
5386,501,57,122,25,2,12,57,6,2,43,97,1,0,ABenintendi
6668,498,63,140,23,4,5,42,24,8,46,84,1,0,XEdwards
5676,499,61,125,25,2,16,66,3,1,37,128,3,0,RMountcastle
7749,475,67,114,24,1,17,66,7,3,55,151,8,0,CCowser
6727,490,64,117,26,2,17,65,18,7,40,139,8,0,LThomas
7058,472,63,111,24,1,21,69,5,2,48,169,17,0,MWallner
7038,484,59,106,22,3,20,63,4,4,49,172,3,0,MToglia
8687,469,62,118,21,2,13,61,10,1,57,88,9,0,NSchanuel
5041,490,61,117,23,3,13,62,14,2,42,133,3,0,TPham
3669,480,59,116,21,2,17,68,1,1,50,114,4,0,JBell
7381,491,59,120,29,4,17,58,8,3,36,116,7,0,JWestburg
9001,489,62,126,25,4,6,45,24,3,44,90,1,0,HyeKim
8259,476,63,121,25,2,19,63,19,6,38,112,18,0,ZNeto
4503,490,55,115,18,1,15,51,3,1,38,113,3,0,OArcia
7582,468,64,116,22,2,18,61,12,2,61,112,1,0,LNootbaar
6128,484,61,113,21,3,15,59,23,5,42,106,4,0,CMullins
4071,484,59,112,31,2,16,60,4,3,39,127,8,0,JCandelario
5397,490,54,120,22,3,10,48,16,4,35,105,3,0,KHayes
4154,476,66,125,22,1,24,64,2,1,49,94,3,0,CSeager
6663,464,63,109,22,2,19,64,9,3,37,148,26,0,LRaley
7944,478,54,101,26,3,16,61,1,2,39,159,8,0,KStowers
7377,484,56,103,22,2,20,63,2,1,36,149,5,0,TSoderstrom
4948,483,60,122,27,2,12,68,5,2,39,86,3,0,AVerdugo
7294,481,58,122,30,4,11,48,8,4,35,123,8,0,NGonzales
6068,477,56,118,26,3,16,62,9,3,43,132,4,0,JSanchez
5805,462,68,116,23,2,18,69,3,1,50,94,11,0,WSmith
6072,482,61,121,27,2,16,67,23,3,39,151,1,0,JLowe
6913,477,58,102,20,2,21,68,4,2,40,138,5,0,SLangeliers
6846,475,53,109,24,1,9,43,14,5,38,95,8,0,BRocchio
6075,462,57,116,27,2,15,57,9,6,54,152,4,0,NJones
8114,480,55,125,23,2,15,57,7,2,35,113,3,0,CKeith
7774,476,60,117,25,4,11,52,7,3,38,107,3,0,MVierling
6317,481,63,122,20,3,7,48,17,4,27,84,8,0,IKinerFalefa
6099,449,65,110,23,2,22,70,1,1,59,135,4,0,TCasas
6611,460,66,110,21,2,18,65,5,2,49,132,3,0,TLarnach
4851,439,69,93,16,1,22,76,2,1,67,137,6,0,MMuncy
6077,455,62,116,22,3,16,59,19,4,52,151,3,0,BMarsh
6565,459,62,103,21,2,19,58,6,1,45,134,5,0,BLowe
7018,457,62,113,19,2,22,66,4,1,48,121,5,0,FAlvarez
6979,478,55,116,19,2,18,56,4,1,26,136,5,0,JJung
2844,444,68,110,19,3,25,68,6,1,57,129,7,0,MTrout
5737,447,85,130,22,2,21,64,43,7,53,96,7,0,RAcuna
5423,450,64,104,16,1,23,69,4,1,53,154,5,0,TONeill
6617,462,58,116,22,2,9,53,6,1,35,65,10,0,JMcNeil
6973,446,52,96,23,2,14,51,8,3,51,110,7,0,MVargas
8567,459,58,108,18,2,17,53,22,4,39,127,4,0,MShaw
3918,445,59,101,22,2,19,60,1,1,48,127,7,0,JSoler
6447,460,63,113,21,2,13,56,23,3,36,93,3,0,TEdman
7699,458,61,114,22,3,5,53,20,4,38,80,3,0,SFrelick
8086,464,54,108,23,2,13,53,6,2,34,93,0,0,BLee
5309,452,65,118,20,2,9,45,33,5,34,94,13,0,VRobles
6842,441,61,108,24,2,7,45,17,3,51,87,6,0,GPerdomo
6179,461,51,114,17,1,14,55,5,2,26,64,7,0,KRuiz
7379,445,53,103,20,1,18,59,4,1,44,110,5,0,AWells
6615,446,59,103,24,3,14,59,11,7,43,145,6,0,MMcLain
5254,453,55,117,25,2,12,63,4,1,36,110,3,0,BRodgers
4695,442,48,95,14,1,14,47,3,1,46,131,3,0,JPolanco
7442,446,57,108,17,1,19,59,3,2,37,120,8,0,LOHoppe
7808,453,60,121,21,1,16,62,7,2,33,73,3,0,ABurleson
5061,460,45,118,21,2,8,45,1,1,28,79,1,0,GUrshela
4014,436,65,103,26,2,20,62,8,1,38,133,10,0,BBuxton
5321,430,55,95,15,1,20,62,4,1,47,139,6,0,RHoskins
7676,429,57,101,20,3,13,52,12,4,46,115,6,0,ECarter
8216,435,57,113,23,3,20,68,4,3,37,120,7,0,KCarpenter
6696,412,52,87,23,3,9,43,28,6,50,126,15,0,DMoore
8228,425,56,103,22,3,12,43,10,3,50,121,2,0,JHolliday
4020,434,55,99,20,1,14,64,17,6,37,134,5,0,TStory
8221,444,54,111,24,1,15,59,6,1,24,91,6,0,MMassey
6289,424,62,104,23,3,9,52,17,6,35,102,15,0,WCastro
8116,426,55,97,21,1,18,54,2,1,42,113,4,0,KManzardo
6143,428,51,94,20,2,18,50,12,5,35,135,7,0,JAdell
8312,431,49,96,21,3,13,46,13,3,32,97,7,0,JDeLuca
6094,424,57,109,19,2,21,61,7,2,41,106,1,0,RLewis
4028,426,54,107,20,2,16,55,6,2,34,118,6,0,JRealmuto
7542,432,47,111,22,3,6,38,18,4,28,84,3,0,OLopez
5314,415,54,94,19,4,16,52,3,1,41,122,5,0,MYastrzemski
5023,427,47,98,22,2,12,46,3,1,30,134,3,0,YMoncada
6305,429,47,104,22,2,9,44,8,5,23,94,8,0,TEstrada
3195,415,54,101,21,2,13,55,3,1,36,95,5,0,MKepler
8655,421,49,93,15,3,7,37,40,5,30,99,6,0,VScott
8303,410,55,96,23,1,15,54,9,2,44,123,2,0,WAbreu
5388,408,53,98,20,2,13,58,1,1,42,113,6,0,TStephenson
4090,393,55,96,17,2,17,59,4,3,48,100,14,0,JPederson
8320,400,52,92,16,1,12,42,7,2,50,135,4,0,EJulien
7791,404,43,83,19,1,12,41,4,2,37,127,11,0,CMontgomery
7366,415,45,95,19,2,12,44,4,1,36,111,1,0,PBailey
5773,387,55,93,14,2,12,52,3,1,58,99,4,0,LWade
5926,393,55,93,17,1,17,57,1,0,44,100,12,0,SMurphy
2181,402,49,91,17,1,15,58,2,1,42,83,3,0,CSantana
6173,407,50,105,20,2,13,48,20,4,35,93,5,0,JFraley
7541,401,50,109,20,1,9,50,5,1,41,75,4,0,GMoreno
8700,418,44,114,22,2,8,38,5,1,24,54,3,0,JWilson
7271,392,50,92,18,2,17,48,3,1,37,98,14,0,RJeffers
7349,395,55,99,19,3,14,56,22,4,41,131,4,0,GMitchell
6848,395,46,87,18,1,15,45,7,3,42,114,3,0,BNaylor
6723,389,45,94,16,1,10,45,1,1,29,80,16,0,TFrance
3063,392,42,99,15,1,8,44,1,1,31,92,10,0,DSolano
7201,390,50,93,14,2,13,48,10,3,35,110,8,0,CMcCormick
2378,390,47,82,15,1,20,54,0,1,38,129,3,0,GStanton
6249,393,52,83,17,2,18,45,15,4,32,155,5,0,JSiri
8043,376,48,97,22,1,10,47,4,1,47,91,6,0,SHorwitz
8168,396,50,101,23,1,15,52,3,1,26,115,6,0,CEncStrand
8194,404,49,100,20,3,11,44,17,6,19,102,6,0,CRafaela
6478,388,45,88,21,2,14,45,4,3,37,109,2,0,MMelendez
7895,373,44,87,18,1,11,48,2,1,45,91,7,0,JBride
6935,382,39,98,16,1,9,43,0,1,36,56,6,0,AKirk
6076,387,48,100,23,1,13,43,5,2,28,102,8,0,AHays
6916,391,48,90,20,4,9,37,13,3,26,90,4,0,KIsbel
7554,374,43,89,16,1,9,35,15,4,41,75,3,0,HKim
8153,382,49,91,21,2,11,46,4,2,33,100,2,0,ERodriguez
4558,383,44,89,17,1,14,47,1,1,31,90,3,0,HRenfroe
4911,374,47,82,16,2,13,46,3,1,36,109,5,0,MConforto
5642,368,48,88,18,1,8,38,6,2,43,87,3,0,MTauchman
7875,381,46,82,16,1,18,49,2,1,24,113,8,0,JNoel
7362,368,50,88,17,1,14,50,3,1,29,106,11,0,HKjerstad
8120,366,48,100,20,1,9,53,4,1,28,52,11,0,MYoshida
1222,353,46,81,14,1,11,49,6,3,45,95,4,0,AMcCutchen
7229,368,44,90,19,2,11,43,6,3,25,103,7,0,CWong
4434,358,39,83,13,0,9,41,0,1,31,97,10,0,KBryant
7845,354,46,85,18,1,8,42,6,2,31,77,12,0,JSmith
8555,361,40,78,19,1,9,37,7,3,33,125,1,0,JBeck
7399,360,41,83,18,1,9,37,7,2,26,93,8,0,JMeyers
3567,355,44,85,18,1,16,58,1,0,35,112,3,0,JDMartinez
7877,364,43,90,16,1,11,42,10,3,23,112,2,0,JTena
2527,350,42,86,15,1,13,44,0,1,33,64,5,0,WFlores
4483,333,47,78,12,1,10,49,6,1,47,87,7,0,JWinker
7261,339,46,89,19,1,11,42,7,1,42,83,5,0,IHerrera
5940,352,44,89,17,1,11,47,3,1,29,71,2,0,ROHearn
5332,334,43,75,14,1,14,47,1,0,36,72,8,0,DJansen
6109,335,46,81,15,1,13,49,2,1,40,87,1,0,PSmith
6596,340,39,77,13,1,12,41,2,1,27,110,8,0,JBart
5380,350,43,89,16,1,7,36,4,2,17,53,3,0,MDubon
8227,340,34,84,14,1,11,35,2,1,16,76,2,0,LSosa
1968,326,41,76,17,2,10,40,5,1,27,76,4,0,JHeyward
5311,314,43,74,18,1,8,35,3,2,37,84,6,0,CJoe
6265,327,37,67,13,1,11,35,1,1,24,105,3,0,JRogers
7905,315,42,74,12,1,11,38,1,1,32,98,6,0,JAranda
6888,334,36,88,18,1,7,32,7,2,16,36,2,0,EClement
7609,323,39,71,16,1,11,39,8,3,25,95,3,0,ERosario
6529,324,37,77,15,1,10,36,5,1,25,85,1,0,TOrnelas
6902,325,31,75,13,1,7,28,2,2,19,58,5,0,NFortes
7096,321,38,81,12,1,10,37,0,1,21,61,3,0,LCampusano
7951,308,35,69,15,1,10,36,2,1,34,93,2,0,JJung
6917,316,40,74,15,3,7,36,10,3,26,72,2,0,WPerez
5792,318,41,75,15,2,11,40,7,3,17,94,4,0,MMoniak
8708,315,40,76,14,1,11,42,6,1,18,88,5,0,TSaggese
7100,312,33,70,13,1,11,37,3,1,24,91,2,0,SBrown
5632,311,32,70,12,1,9,32,1,1,22,65,2,0,JHeim
7793,306,31,62,13,1,7,27,8,2,24,98,3,0,TSweeney
5506,297,37,68,16,1,7,31,3,1,33,85,1,0,BGamel
6506,300,34,64,15,1,10,37,1,1,26,117,2,0,GConine
6688,295,33,71,12,1,9,36,1,0,25,72,8,0,MAmaya
8576,295,43,70,18,1,9,34,7,3,32,93,1,0,RAnthony
5412,303,36,74,15,2,8,33,10,3,24,70,1,0,LTaveras
8101,310,34,74,14,1,12,38,2,1,15,98,2,0,DDeLosSantos
5142,306,33,79,15,1,7,33,4,2,18,53,2,0,MAndujar
7709,305,41,76,14,2,5,30,28,3,16,67,3,0,JRojas
5097,301,34,72,14,2,9,31,11,2,18,95,3,0,DHill
7893,297,37,71,12,1,8,31,6,2,23,66,2,0,OCabrera
3275,290,32,67,10,1,7,29,2,1,30,60,1,0,DLeMahieu
6553,287,39,67,13,1,6,39,16,3,29,84,2,0,BPerkins
5025,279,33,56,10,1,11,38,0,0,33,88,3,0,MGarver
8420,290,33,66,18,1,13,38,1,1,20,89,3,0,HGoodman
6107,282,35,63,13,2,10,29,7,4,27,101,0,0,SHilliard
7876,270,34,59,11,1,5,30,9,2,30,58,4,0,RPalacios
6498,274,37,63,13,1,13,41,3,2,27,96,2,0,NGorman
