ID,G,GS,CG,ShO,W,L,SV,BS,HO,IP,BF,AB,H,D,T,HR,BB,HP,ER,R,K
6407,29,29,0,0,14,8,0,0,0,201,0,0,159,0,0,15,63,0,70,78,179,FValdez
6531,31,31,0,0,13,10,0,0,0,199,0,0,152,0,0,23,40,0,74,81,197,LGilbert
6725,29,29,0,0,13,9,0,0,0,197,0,0,173,0,0,17,41,0,71,79,162,LWebb
2831,31,31,0,0,14,8,0,0,0,197,0,0,151,0,0,23,48,0,72,79,207,ZWheeler
6227,31,31,0,0,12,10,0,0,0,197,0,0,173,0,0,23,48,0,80,88,200,PLopez
5137,31,31,0,0,12,9,0,0,0,190,0,0,152,0,0,23,54,0,70,76,185,LMCastillo
4464,31,31,0,0,11,10,0,0,0,190,0,0,166,0,0,24,57,0,77,85,156,JBerrios
7077,31,31,0,0,12,9,0,0,0,189,0,0,144,0,0,20,37,0,65,72,213,TSkubal
5708,31,31,0,0,11,10,0,0,0,189,0,0,142,0,0,23,69,0,77,83,210,DCease
4053,31,31,0,0,10,11,0,0,0,189,0,0,171,0,0,25,54,0,83,91,185,KGausman
6208,29,29,0,0,12,9,0,0,0,187,0,0,159,0,0,22,52,0,77,84,175,CBurnes
5417,31,31,0,0,11,10,0,0,0,185,0,0,167,0,0,24,47,0,79,87,166,SLugo
4916,29,29,0,0,12,9,0,0,0,184,0,0,163,0,0,23,42,0,78,85,175,ANola
4194,29,29,0,0,12,7,0,0,0,179,0,0,141,0,0,17,51,0,61,68,160,MFried
5144,29,29,0,0,9,11,0,0,0,179,0,0,168,0,0,23,53,0,84,91,163,MKeller
6198,29,29,0,0,11,9,0,0,0,178,0,0,150,0,0,17,50,0,75,84,147,THouck
5888,29,29,0,0,11,9,0,0,0,177,0,0,146,0,0,22,54,0,71,77,188,NPivetta
3895,29,29,0,0,8,11,0,0,0,177,0,0,183,0,0,27,31,0,94,102,126,MMikolas
7592,29,29,0,0,11,9,0,0,0,177,0,0,154,0,0,18,63,0,73,81,178,HBrown
4773,29,29,0,0,9,10,0,0,0,176,0,0,158,0,0,23,63,0,80,87,160,CBassitt
3633,29,29,0,0,11,8,0,0,0,175,0,0,145,0,0,19,46,0,68,75,187,SGray
4105,29,29,0,0,10,9,0,0,0,175,0,0,165,0,0,23,29,0,76,84,145,ZEflin
7429,31,31,0,0,9,10,0,0,0,174,0,0,158,0,0,23,55,0,81,88,144,JIrvin
5800,29,29,0,0,10,9,0,0,0,174,0,0,139,0,0,20,64,0,75,82,193,CRagans
