Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",38,165,141,41,20,7,1,12,31,34,21,1,41,1,1,0,,7,2,0.289599,0.12971,0.249973,0.518897,0.385212,0.624751,0.421687,1.00996,0.335152,6.87496,0.321492,0.0498129,0.173572,33.7578,14.4133,175.086,0.223384,0,14.751042902469635,-4.11898136138916,1.64632,1.5499999523162842,,,,,,,301.1,7.92368421,301.1,7.92368421,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",40,172,138,38,22,7,1,9,28,27,31,1,30,1,1,0,,4,1,0.273779,0.181988,0.174822,1.04099,0.407455,0.525758,0.399657,0.933213,0.251979,4.45533,0.286303,-0.200496,-0.153249,32.1464,11.9699,163.313,-0.353745,-1.00712,12.422906309366226,-2.974870800971985,1.54853,7.079999923706055,,,,,,,286.2,7.155,286.2,7.155,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Ronald Acuña Jr.","ATL",36,156,133,40,24,7,1,8,25,26,20,1,32,2,1,0,,7,2,0.297355,0.125482,0.20611,0.608812,0.392167,0.544584,0.399097,0.936751,0.247229,5.44104,0.33432,0.194803,0.359062,29.0931,10.7886,159.083,0.553866,-0.459835,11.370608627796173,-2.231440156698227,1.46317,37.599998474121094,,,,,,,265.9,7.386111111,265.9,7.386111111,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Fernando Tatis Jr.","SDP",40,172,152,41,25,8,0,8,24,26,17,1,36,2,1,0,,7,1,0.273196,0.10133,0.206831,0.489918,0.352472,0.497555,0.364221,0.850026,0.224359,5.35578,0.304062,0.167795,0.489895,27.219,7.04245,138.862,0.657689,1.2703,8.500106930732727,-0.621523380279541,1.38732,11.619999885559082,,,,,,,243.5,6.0875,243.5,6.0875,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ketel Marte","ARI",37,161,141,40,23,8,1,8,22,23,17,1,27,2,1,0,,2,0,0.283671,0.106618,0.170187,0.626478,0.364632,0.515117,0.375719,0.879749,0.231446,4.15801,0.3021,-0.0268283,-0.111765,26.9556,8.0829,141.743,-0.138593,-0.256959,7.7409432381391525,-0.07794678211212158,1.32782,30.65999984741211,,,,,,,247.9,6.7,247.9,6.7,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Elly De La Cruz","CIN",39,169,153,40,23,8,2,7,23,22,15,1,49,1,1,0,,11,2,0.262262,0.0869808,0.288289,0.301714,0.32865,0.475121,0.344399,0.803771,0.212859,7.18812,0.337264,0.0863729,0.967409,24.1121,4.22477,116.838,1.05378,0.605939,4.402974724769592,2.42075377702713,1.27068,4.300000190734863,,,,,,,234.7,6.017948717,234.7,6.017948717,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Manny Machado","SDP",40,174,158,44,27,8,0,8,22,26,14,1,33,1,1,0,,3,1,0.276087,0.0806068,0.188037,0.428676,0.335124,0.485774,0.351297,0.820898,0.209688,3.75669,0.299587,-0.0950357,-0.00577384,25.684,5.29945,129.957,-0.10081,0.352513,6.0068598464131355,0.5676362216472626,1.25932,37.45000076293945,,,,,,,234.7,5.8675,234.7,5.8675,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Francisco Lindor","NYM",40,174,155,38,24,7,0,7,23,24,14,1,34,3,1,0,,6,1,0.247653,0.0829277,0.195641,0.423876,0.320586,0.434585,0.327282,0.755171,0.186932,5.41948,0.272592,0.0948467,0.328216,22.3103,1.92584,113.444,0.423063,1.42631,3.1640075743198395,3.2232227325439453,1.24008,14.149999618530273,,,,,,,203.5,5.0875,203.5,5.0875,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Kyle Tucker","CHC",40,174,150,40,24,8,1,7,26,24,22,1,26,1,1,0,,7,1,0.268346,0.127454,0.149173,0.854407,0.363051,0.479412,0.362812,0.842464,0.211066,5.86018,0.278522,0.117652,0.689371,27.3968,6.94126,136.279,0.807024,0.0460359,8.229373633861542,-1.9243344627320766,1.23367,8.710000038146973,,,,,,,248.2,6.205,248.2,6.205,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Matt Chapman","SFG",40,172,150,35,20,8,1,7,21,22,19,1,46,2,1,0,,3,1,0.236381,0.11003,0.267363,0.41154,0.327857,0.437283,0.332288,0.765141,0.200903,4.40364,0.290804,0.16709,-0.142187,22.7787,2.6022,116.338,0.0249032,1.15459,3.3220406901091337,1.7683293223381042,1.10091,125.16999816894531,,,,,,,206.6,5.165,206.6,5.165,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
