Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",38,165,141,41,20,7,1,12,31,34,21,1,41,1,1,0,,7,2,0.289932,0.129559,0.24866,0.521029,0.385394,0.624976,0.421819,1.01037,0.335044,6.85342,0.321015,0.0498129,0.177333,33.7747,14.4217,175.126,0.227146,0,14.766565546393394,-4.11898136138916,1.64639,1.5499999523162842,,,,,,,301.1,7.92368421,301.1,7.92368421,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",41,176,142,39,22,7,1,9,29,28,32,1,30,1,1,0,,4,1,0.27414,0.182007,0.17322,1.05073,0.40776,0.525393,0.399651,0.933153,0.251253,4.45913,0.286304,-0.205386,-0.153436,32.9275,12.2497,163.241,-0.358822,-1.03169,12.71826097369194,-3.047428846359253,1.58396,7.079999923706055,,,,,,,290.8,7.092682926,290.8,7.092682926,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Ronald Acuña Jr.","ATL",35,151,129,38,23,7,1,8,24,25,19,1,31,2,1,0,,7,2,0.297438,0.125493,0.206028,0.609108,0.392246,0.544779,0.399155,0.937024,0.247341,5.44221,0.334359,0.188216,0.350037,28.1146,10.4212,159.093,0.538253,-0.443012,10.99390423297882,-2.160604625940323,1.41267,37.599998474121094,,,,,,,255.7,7.305714285,255.7,7.305714285,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Fernando Tatis Jr.","SDP",40,172,152,41,24,8,0,8,24,27,17,1,36,2,1,0,,7,1,0.272646,0.100312,0.207672,0.483031,0.351257,0.497702,0.36363,0.848959,0.225057,5.37217,0.303377,0.167795,0.5018,27.1324,6.94697,138.397,0.669595,1.2703,8.420352518558502,-0.621523380279541,1.37768,11.619999885559082,,,,,,,243.5,6.0875,243.5,6.0875,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ketel Marte","ARI",38,165,144,41,24,9,1,8,23,24,18,1,28,2,1,0,,2,0,0.282223,0.107013,0.170851,0.626354,0.363656,0.512374,0.374281,0.87603,0.230151,4.17072,0.300967,-0.027499,-0.11008,27.4342,8.08115,140.689,-0.137579,-0.263383,7.737171426415443,-0.07989540696144104,1.33935,30.65999984741211,,,,,,,256.4,6.747368421,256.4,6.747368421,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Kyle Tucker","CHC",42,180,155,42,25,8,1,8,27,25,23,1,27,1,1,0,,7,1,0.268903,0.127821,0.148724,0.859451,0.363797,0.480267,0.363418,0.844063,0.211364,5.86171,0.279005,0.121708,0.718576,28.425,7.25491,136.709,0.840285,0.0466197,8.611607074737549,-2.043657936155796,1.27944,8.710000038146973,,,,,,,266.8,6.352380952,266.8,6.352380952,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Elly De La Cruz","CIN",39,169,153,40,23,8,2,7,23,22,15,1,49,1,1,0,,11,3,0.261817,0.0872203,0.288357,0.302474,0.328426,0.474938,0.344186,0.803364,0.213121,7.20015,0.336599,0.0863729,0.977937,24.0773,4.18119,116.629,1.06431,0.605939,4.372941970825195,2.42075377702713,1.26621,4.300000190734863,,,,,,,231.9,5.946153846,231.9,5.946153846,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Francisco Lindor","NYM",41,178,159,39,24,7,1,7,23,24,15,1,35,3,1,0,,6,1,0.2473,0.0820759,0.196237,0.41825,0.319649,0.434405,0.326712,0.754055,0.187105,5.43018,0.272142,0.09716,0.343896,22.7653,1.87437,112.973,0.441056,1.4611,3.151323825120926,3.301837921142578,1.25967,14.149999618530273,,,,,,,213.8,5.214634146,213.8,5.214634146,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Manny Machado","SDP",40,174,158,44,27,8,0,8,22,26,14,1,33,1,1,0,,3,1,0.276019,0.0808342,0.188507,0.428814,0.335224,0.485274,0.351136,0.820499,0.209255,3.75656,0.299767,-0.0950357,-0.00326976,25.656,5.26245,129.786,-0.0983054,0.352513,5.976222790777683,0.5676362216472626,1.25477,37.45000076293945,,,,,,,234.7,5.8675,234.7,5.8675,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Corbin Carroll","ARI",39,168,148,39,21,8,3,7,28,22,16,1,37,3,1,0,,8,2,0.262067,0.0946315,0.22169,0.426864,0.341945,0.50177,0.359481,0.843714,0.239702,8.26265,0.300805,0.319075,0.640122,26.0077,6.23842,130.489,0.959197,0.0848383,6.9867753982543945,-1.6930937841534615,1.10856,7.889999866485596,,,,,,,243.1,6.233333333,243.1,6.233333333,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Matt Chapman","SFG",40,172,150,35,20,8,1,7,21,22,19,1,46,2,1,0,,3,1,0.236431,0.110057,0.267351,0.411659,0.32792,0.437435,0.332334,0.765355,0.201004,4.40288,0.29084,0.16709,-0.139898,22.7786,2.59311,116.308,0.0271921,1.15459,3.3190137837082148,1.7683293223381042,1.09927,125.16999816894531,,,,,,,206.6,5.165,206.6,5.165,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"William Contreras","MIL",39,158,138,37,24,7,0,5,19,19,17,1,32,1,1,0,,2,1,0.266707,0.110403,0.20562,0.536929,0.350454,0.442725,0.344694,0.79318,0.176019,3.5637,0.309907,-0.106878,-0.128141,22.5085,3.96241,122.938,-0.235019,-0.362277,4.019067674875259,0.8627229630947113,1.0828,24.790000915527344,,,,,,,191.5,4.91025641,191.5,4.91025641,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Bryce Harper","PHI",41,176,152,41,23,10,0,8,24,28,21,1,39,1,1,0,,3,1,0.272307,0.121068,0.220492,0.549078,0.364368,0.499623,0.370565,0.863991,0.227316,3.93332,0.313926,-0.206406,-0.0334192,28.7825,8.10469,137.75,-0.239825,0.330297,7.566173613071442,-2.8261848092079163,1.07768,22.260000228881836,,,,,,,250.7,6.114634146,250.7,6.114634146,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Pete Crow-Armstrong","CHC",40,175,161,40,24,8,2,7,25,23,9,0,44,2,1,1,,11,2,0.248042,0.0499298,0.254401,0.196264,0.293995,0.445106,0.316378,0.739101,0.197064,8.24335,0.298522,-0.0215573,1.03694,20.8948,0.379482,104.289,1.01538,2.09201,1.8953015804290771,2.715777814388275,1.0598,127.38999938964844,,,,,,,211.7,5.2925,211.7,5.2925,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Pete Alonso","NYM",41,178,156,40,21,8,0,11,26,32,17,1,40,4,1,0,,1,0,0.255279,0.0950473,0.226966,0.418774,0.339451,0.51352,0.363193,0.852972,0.258241,3.47859,0.274932,-0.21459,-0.156201,28.0178,7.12686,138.115,-0.370792,-0.0662461,7.591966032981873,-3.2940240651369095,1.03838,47.630001068115234,,,,,,,259.5,6.329268292,259.5,6.329268292,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Michael Harris II","ATL",37,158,147,41,26,8,1,5,22,22,8,0,31,1,1,0,,5,1,0.27617,0.0484994,0.198549,0.24427,0.315511,0.456639,0.3308,0.77215,0.180469,6.17589,0.315423,0.114428,0.315592,20.7325,2.18644,111.984,0.43002,1.52932,2.652568817138672,2.093211531639099,1.01734,41.880001068115234,,,,,,,192.2,5.194594594,192.2,5.194594594,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Kyle Schwarber","PHI",41,178,150,37,18,7,0,12,26,31,25,1,51,2,1,0,,2,1,0.24401,0.140308,0.286575,0.489602,0.356471,0.527554,0.376242,0.884025,0.283544,3.62447,0.281423,-0.112071,-0.177768,29.8965,9.00554,141.662,-0.289839,-0.00110526,8.413922905921936,-4.395549728767946,1.00967,75.9000015258789,,,,,,,272.3,6.641463414,272.3,6.641463414,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
