Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",138,622.224,495.403,140.403,80.0483,25.7098,2.2326,32.4123,104.647,88.868,117.227,4.3556,103.143,3.7333,4.1923,1.6681,,8.0971,2.8597,0.283412,0.1884,0.165765,1.13655,0.421176,0.5406,0.411044,0.961777,0.257188,4.29772,0.296645,-1.462,-1.09084,123.3,50.5133,169.841,-2.55284,-4.131,49.412880420684814,-10.98972463607788,6.10434,7.079999923706055,,,,,,,1046.4,7.582608695,1046.4,7.582608695,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Mookie Betts","LAD",133.65,609.889,527.299,148.391,88.2053,30.9171,3.0488,26.2194,97.5828,79.7396,71.0521,3.0494,83.8405,5.489,3.8892,2.1604,,13.4015,3.1232,0.281417,0.1165,0.137468,0.847468,0.370118,0.500785,0.373682,0.870904,0.219369,5.31321,0.290105,0.378,0.139203,102.516,31.1723,142.879,0.517203,-3.904,31.789204239845276,2.818765878677368,5.66798,13.65999984741211,,,,,,,897.5,6.697761194,897.5,6.697761194,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"William Contreras","MIL",137.75,612.547,537.13,147.346,92.7562,29.6885,1.5067,23.3946,80.6489,80.9452,65.9713,3.0627,127.783,4.2878,4.2658,0.8917,,6.6745,1.9267,0.274321,0.1077,0.20861,0.516275,0.355765,0.465868,0.354609,0.821633,0.191547,3.93216,0.317647,-0.747,-0.707839,93.5592,21.9047,127.971,-1.45484,-2.759,19.033361792564392,8.494428396224976,5.42683,24.790000915527344,,,,,,,818.5,5.93115942,818.5,5.93115942,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Shohei Ohtani","LAD",145.16,667.469,572.964,160.354,84.778,29.5197,4.374,41.6824,118.952,100.469,82.4992,12.0144,152.237,5.3398,4.0751,2.591,,32.4218,8.1562,0.279868,0.1236,0.22808,0.541914,0.373291,0.564903,0.393017,0.938194,0.285035,6.73142,0.30975,0.387,1.9135,122.581,44.502,155.892,2.3005,0,46.9116325378418,-17.167423248291016,5.36333,1.5499999523162842,,,,,,,1127,7.772413793,1127,7.772413793,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Francisco Lindor","NYM",142.75,654.299,578.409,148.839,90.8717,29.4284,2.0766,26.4621,94.7845,77.335,59.6721,1.3086,125.11,9.8145,4.0085,2.3952,,22.4816,5.1371,0.257324,0.0912,0.191212,0.476958,0.334904,0.452633,0.34102,0.787537,0.195308,5.65302,0.284038,0.694,1.16047,92.78,16.2414,122.71,1.85447,2.741,19.62312424182892,9.953290700912476,5.30079,14.149999618530273,,,,,,,834.1,5.832867132,834.1,5.832867132,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ronald Acuña Jr.","ATL",132.27,609.811,526.769,154.316,96.1515,28.1563,2.5087,27.5,105.683,76.2172,68.2379,1.8294,106.987,8.5374,3.5862,2.6807,,45.9804,10.4373,0.292949,0.1119,0.175442,0.637816,0.380629,0.51254,0.383882,0.893169,0.219591,6.83106,0.32035,1.366,3.61853,107.509,36.1741,146.852,4.98453,-2.068,39.149996280670166,-8.789904832839966,5.229,37.599998474121094,,,,,,,987.3,7.479545454,987.3,7.479545454,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Fernando Tatis Jr.","SDP",128.51,581.601,520.243,146.209,82.3646,29.3673,1.342,33.135,91.5411,87.0229,49.3198,0,121.581,6.3976,3.8543,1.7863,,17.8034,4.2852,0.28104,0.0848,0.209045,0.405655,0.34826,0.533722,0.376162,0.881982,0.252682,5.17209,0.306117,1.059,0.735345,98.9217,30.8871,146.526,1.79435,2.182,34.152453541755676,-4.2289488315582275,5.08706,11.619999885559082,,,,,,,885.6,6.865116279,885.6,6.865116279,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Elly De La Cruz","CIN",142.67,631.48,561.931,143.578,82.5943,29.4894,6.6231,24.8711,88.4912,83.4756,59.1697,1.8944,182.066,5.0518,4.3602,0.967,,50.4958,13.9121,0.255508,0.0937001,0.288316,0.324991,0.329572,0.464339,0.341116,0.793911,0.208832,7.75528,0.330333,0.65,3.32089,89.5931,15.7238,112.786,3.97089,3.749,13.626296520233154,10.709757328033447,4.68124,4.300000190734863,,,,,,,851.2,5.952447552,851.2,5.952447552,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Corbin Carroll","ARI",144.74,657.643,571.541,151.204,89.2189,26.673,9.9376,25.3743,102.598,79.1469,69.0525,0.6576,120.709,10.5223,4.0537,2.4741,,39.2826,8.275,0.264555,0.105,0.183548,0.572056,0.352243,0.479187,0.358502,0.83143,0.214632,8.1633,0.29296,2.433,3.17809,102.508,25.5778,129.328,5.61109,1.957,28.67513608932495,-5.292151212692261,4.67262,7.889999866485596,,,,,,,935.6,6.452413793,935.6,6.452413793,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Ketel Marte","ARI",133.41,605.273,530.963,148.283,88.8841,30.706,3.8207,24.8721,90.704,78.8234,62.9484,4.8422,109.485,5.4475,3.9587,1.9552,,7.4239,2.0213,0.279271,0.104,0.180885,0.574952,0.359145,0.492024,0.364105,0.851169,0.212753,4.88906,0.308092,-0.194,-0.536963,97.0741,26.2705,133.099,-0.730963,-1.027,23.225978672504425,1.1969592571258545,4.60024,30.65999984741211,,,,,,,857.2,6.445112781,857.2,6.445112781,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Jackson Merrill","SDP",137.09,585.962,543.641,152.573,95.7331,28.8246,4.8003,23.2154,73.6047,82.7861,33.9272,1.1719,96.8225,3.5158,4.1313,0.7463,,12.5321,3.6802,0.280651,0.0579,0.165237,0.350406,0.324695,0.479443,0.343959,0.804137,0.198792,5.42081,0.302426,0.164,-0.0259176,84.4759,15.9312,124.851,0.138082,4.316,17.551397264003754,6.46900486946106,4.49237,27.280000686645508,,,,,,,769.1,5.613868613,769.1,5.613868613,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Bryce Harper","PHI",140.14,618.382,528.576,148.405,84.4811,33.8935,0.7553,29.2747,88.5028,92.9425,80.6989,9.2757,133.941,4.3287,4.4042,0.3743,,9.7967,2.9927,0.280763,0.1305,0.216599,0.602495,0.377717,0.513895,0.378731,0.891612,0.233132,3.69277,0.322178,-1.373,-0.517349,106.456,34.1188,143.989,-1.89035,1.75,30.637749671936035,-9.610636711120605,4.29453,22.260000228881836,,,,,,,942.3,6.730714285,942.3,6.730714285,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Kyle Tucker","CHC",128.76,574.214,496.545,136.282,80.2741,27.8922,1.7057,26.4102,85.4164,79.8779,69.5947,5.1679,88.8319,2.8711,3.9099,1.2929,,17.7516,3.7394,0.274461,0.1212,0.154702,0.783443,0.364357,0.497067,0.368253,0.861425,0.222607,5.19012,0.285224,0.758,0.871139,94.0098,26.8394,140.071,1.62914,-1.289,29.1441513299942,-7.618516445159912,4.19439,8.710000038146973,,,,,,,843.6,6.539534883,843.6,6.539534883,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Michael Harris II","ATL",129.19,531.349,491.04,142.055,91.2511,26.4928,3.1777,21.1335,70.3777,72.4904,30.2338,1.594,98.2081,5.3135,3.4565,1.3048,,16.6244,4.1821,0.289294,0.0569001,0.184828,0.307854,0.335071,0.485304,0.351257,0.820375,0.19601,5.70902,0.322324,0.829,0.642937,79.7237,17.5675,124.894,1.47194,3.663,17.28917646408081,5.615340828895569,4.18964,41.880001068115234,,,,,,,720.2,5.582945736,720.2,5.582945736,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Patrick Bailey","SFG",111.93,459.378,415.117,99.4207,66.9976,20.0398,1.3872,10.9961,45.6096,46.5474,37.5771,0,109.383,2.7563,3.0597,0.8677,,3.3066,0.9326,0.2395,0.0817999,0.238112,0.343535,0.3048,0.373926,0.298434,0.678726,0.134426,3.47989,0.296929,-0.069,-0.563491,49.3947,-4.34252,92.5002,-0.632491,-0.498,-4.752347826957703,7.941488415002823,4.1631,307.2900085449219,,,,,,,432.4,3.860714285,432.4,3.860714285,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
