Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",38.89,174.408,139.161,38.0694,21.7923,6.747,0.3968,9.1333,28.231,25.2149,32.5446,2.4417,30.6015,1.0464,1.2351,0.4208,,3.7311,1.2838,0.273564,0.1866,0.175459,1.0635,0.411872,0.524643,0.399944,0.936515,0.251079,4.41622,0.28746,-0.38,-0.124835,32.6662,12.1888,163.51,-0.504835,-1.215,12.502792060375214,-3.0104193687438965,1.56171,7.079999923706055,,,,,,,285.5,7.32051282,285.5,7.32051282,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Fernando Tatis Jr.","SDP",37.96,175.147,152.56,41.6532,24.7374,8.0496,0.5393,8.3269,27.5118,22.0759,18.7057,1.226,34.1276,1.9266,1.0749,0.8803,,6.5777,1.503,0.273029,0.1068,0.194851,0.548111,0.357414,0.496606,0.365942,0.854021,0.223577,5.6508,0.299751,0.336,0.412935,27.9859,7.42172,140.048,0.748935,1.108,8.98599225282669,-0.6047272682189941,1.45006,11.619999885559082,,,,,,,257,6.763157894,257,6.763157894,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",36.96,169.101,143.081,40.9385,25.27,7.3132,0.6615,7.6938,27.4136,21.6684,22.3383,1.1837,33.4666,1.8601,1.0657,0.7562,,7.7867,1.9589,0.286121,0.1321,0.197909,0.66748,0.386925,0.507797,0.384451,0.894722,0.221676,5.89142,0.322807,0.379,0.441708,29.5524,9.69811,148.991,0.820708,-0.494,10.549309849739075,-2.0956458151340485,1.43716,37.599998474121094,,,,,,,269.4,7.281081081,269.4,7.281081081,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Shohei Ohtani","LAD",37.96,175.286,148.892,41.2143,21.5545,6.711,1.6971,11.2517,31.389,26.3584,23.2079,4.0316,41.9279,1.227,1.0839,0.8757,,7.0055,1.896,0.276807,0.1324,0.239197,0.553519,0.376406,0.571386,0.395095,0.947793,0.294579,6.93491,0.309544,0.151,0.352669,32.143,11.5625,156.763,0.503669,0,12.187897682189941,-4.100616931915283,1.42033,1.5499999523162842,,,,,,,295.4,7.77368421,295.4,7.77368421,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",37.96,172.733,150.592,41.3555,25.7787,8.4768,0.755,6.345,25.9649,21.2553,18.897,0.8637,21.354,1.3819,1.1514,0.711,,3.3376,0.8554,0.274619,0.1094,0.123624,0.88494,0.358293,0.467337,0.356747,0.82563,0.192718,5.12748,0.282241,0.076,0.0219749,26.315,6.03422,130.339,0.0979749,-0.412,6.252108193933964,1.2351658940315247,1.35011,13.65999984741211,,,,,,,226.8,5.968421052,226.8,5.968421052,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Ketel Marte","ARI",37.96,172.639,149.495,42.0299,25.1256,8.7382,0.6432,7.5229,26.0783,22.4844,19.56,1.7264,28.3443,1.7264,1.1495,0.7079,,1.8874,0.5606,0.281145,0.1133,0.164182,0.690086,0.368265,0.499167,0.371034,0.867432,0.218022,4.18803,0.300642,-0.045,-0.144567,28.2964,8.02674,138.515,-0.189567,-0.173,7.618754372000694,-0.208591990172863,1.34187,30.65999984741211,,,,,,,260.2,6.847368421,260.2,6.847368421,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Kyle Tucker","CHC",39.81,177.699,151.494,41.732,25.1442,7.9302,1.0469,7.6107,26.8591,24.4681,23.634,2.1324,26.4054,0.8885,1.2603,0.4224,,6.6448,1.4095,0.27547,0.133,0.148596,0.895044,0.373735,0.492351,0.370598,0.866085,0.216881,5.87847,0.287366,0.235,0.442191,29.063,8.19927,141.643,0.677191,-0.259,9.367156565189362,-2.3185078501701355,1.32175,8.710000038146973,,,,,,,273.8,6.845,273.8,6.845,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Francisco Lindor","NYM",38.89,178.729,158.221,40.1628,24.8135,7.862,0.3267,7.1606,25.5928,20.7404,15.6924,0.5362,33.8277,2.8597,1.1245,0.8316,,5.8989,1.3927,0.25384,0.0877998,0.189268,0.463892,0.330049,0.44343,0.335474,0.773479,0.18959,5.37808,0.278835,0.216,0.330766,24.1519,3.16715,119.088,0.546766,0.756,4.553023397922516,2.40180104970932,1.31558,14.149999618530273,,,,,,,220.6,5.656410256,220.6,5.656410256,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"William Contreras","MIL",37,164.399,142.637,38.5581,25.1938,7.7033,0.2242,5.4368,21.0007,20.4195,19.3169,1.1508,31.9364,0.9864,1.1583,0.3004,,1.8431,0.6013,0.270323,0.1175,0.194262,0.604855,0.358696,0.441823,0.347842,0.800518,0.171499,3.3716,0.311226,-0.191,-0.167787,23.8607,4.55849,125.167,-0.358787,-0.437,4.499966323375702,1.4265938103199005,1.22925,24.790000915527344,,,,,,,206.6,5.583783783,206.6,5.583783783,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Corbin Carroll","ARI",37.96,171.466,150.138,38.2163,21.125,6.3479,3.3457,7.3977,25.5365,22.3917,17.0095,0.3429,36.0932,2.572,1.1402,0.6065,,8.1453,1.9605,0.254541,0.0992002,0.210497,0.471266,0.338276,0.489207,0.354556,0.827483,0.234666,7.80201,0.28592,0.646,0.564811,25.818,5.68597,127.161,1.21081,0.573,6.679853796958923,-1.0796443819999695,1.152,7.889999866485596,,,,,,,232.7,6.12368421,232.7,6.12368421,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Trea Turner","PHI",38.89,178.813,163.701,45.5395,30.5991,8.6013,0.9138,5.4252,24.9757,19.3372,11.6944,0.1788,32.249,1.4305,1.1251,0.8625,,7.4719,1.4658,0.278188,0.0654001,0.18035,0.362628,0.329667,0.441317,0.333982,0.770984,0.16313,6.16977,0.315484,0.365,0.610869,23.9474,2.95287,112.552,0.975869,-0.406,3.6116605401039124,1.3008812963962555,1.10608,24.110000610351562,,,,,,,221.9,5.689743589,221.9,5.689743589,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Elly De La Cruz","CIN",37.04,163.87,145.36,37.5267,22.4459,7.6648,1.2378,6.1782,21.6016,21.4583,15.9773,1.6387,43.9858,1.1471,1.1899,0.1958,,10.7977,3.0455,0.258165,0.0975,0.268419,0.363238,0.333902,0.455434,0.338171,0.789336,0.197269,6.99234,0.325241,0.162,0.669026,22.5015,3.26147,112.546,0.831026,0.614,3.2454145550727844,2.1315119862556458,1.10351,4.300000190734863,,,,,,,216.6,5.854054054,216.6,5.854054054,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Manny Machado","SDP",37.96,167.28,151.277,41.3322,25.8239,7.7854,0.0787,7.6442,21.826,24.7581,13.8173,1.0037,31.1631,0.8364,1.209,0.1402,,2.5492,0.7701,0.273221,0.0825997,0.186293,0.443387,0.334964,0.477319,0.34795,0.812284,0.204098,3.48587,0.296343,-0.149,-0.0633614,24.2935,4.65307,127.651,-0.212361,-0.228,5.219423249363899,-0.164166159927845,1.08194,37.45000076293945,,,,,,,224.9,5.918421052,224.9,5.918421052,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Bryce Harper","PHI",38.89,172.092,146.969,40.2352,22.5954,9.6143,0.1408,7.8848,24.2994,25.1483,22.3375,2.4093,36.7862,1.3767,1.2613,0.1475,,3.2073,1.0073,0.273767,0.1298,0.213759,0.607225,0.37192,0.50205,0.372511,0.87397,0.228283,3.86342,0.312386,-0.351,-0.0575011,28.4123,8.20696,139.1,-0.408501,0.292,7.493294298648834,-2.638024628162384,1.07758,22.260000228881836,,,,,,,253.1,6.489743589,253.1,6.489743589,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Geraldo Perdomo","ARI",37.96,165.598,142.262,37.6827,26.366,7.5586,0.7139,3.0443,21.04,15.9088,19.9215,0,21.9938,1.656,1.1277,0.6306,,5.1504,1.4782,0.264881,0.1203,0.132814,0.905778,0.359223,0.392247,0.334135,0.751471,0.127366,5.27979,0.292672,0.394,0.112621,22.198,2.75503,113.09,0.506621,-0.047,3.05214262008667,1.6749039217829704,1.04257,430.2699890136719,,,,,,,200.6,5.278947368,200.6,5.278947368,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Pete Crow-Armstrong","CHC",38.7,161.934,149.957,37.6288,22.0554,7.8157,1.3657,6.3919,20.5225,22.2716,8.5178,0.3239,39.2886,1.9432,1.1806,0.3363,,9.5224,2.6858,0.250931,0.0526003,0.24262,0.216801,0.297589,0.44914,0.319967,0.746729,0.198209,7.26787,0.296206,-0.008,0.598279,19.8505,0.83768,106.757,0.590279,2.182,1.875120997428894,2.76768958568573,1.0216,127.38999938964844,,,,,,,191.7,4.915384615,191.7,4.915384615,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Matt Chapman","SFG",37.96,161.668,140.285,33.4857,19.2513,7.4227,0.6314,6.1803,19.4219,20.5621,18.0745,0.3233,40.3037,1.94,1.1591,0.2103,,2.4527,0.8484,0.238698,0.1118,0.249298,0.448458,0.331357,0.432778,0.332922,0.764135,0.19408,4.40415,0.287548,0.34,-0.111085,21.5127,2.53106,116.776,0.228915,0.513,3.4137596487998962,1.0861459970474243,1.00602,125.16999816894531,,,,,,,188.2,4.952631578,188.2,4.952631578,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Nico Hoerner","CHC",39.81,164.143,149.216,42.4705,31.9437,7.623,0.8525,2.0513,18.5667,16.1255,10.7513,0.1641,15.6378,2.4621,1.1362,0.5768,,7.195,1.7651,0.284624,0.0654997,0.0952696,0.68752,0.340438,0.388379,0.320952,0.728817,0.103755,5.71365,0.304675,0.353,0.423984,20.2521,0.979981,107.436,0.776984,1.11,2.2102240920066833,1.7312170267105103,0.956978,203.32000732421875,,,,,,,180.6,4.515,180.6,4.515,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Jackson Merrill","SDP",37.96,161.87,148.963,39.4782,25.5211,7.4282,1.1817,5.3472,19.0592,21.3193,10.6025,0.3237,30.9992,0.9712,1.0962,0.237,,2.0669,0.7112,0.265021,0.0655003,0.191507,0.342025,0.315851,0.438441,0.325411,0.754292,0.17342,4.61297,0.300151,-0.013,-0.118059,20.5556,1.55044,112.121,-0.131059,1.041,2.1729108691215515,1.6174333095550537,0.933811,27.280000686645508,,,,,,,179.4,4.721052631,179.4,4.721052631,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"CJ Abrams","WSN",38.64,176.302,159.277,40.7964,25.4876,8.01,1.4783,5.8206,23.7159,18.6778,11.3538,0.5289,31.3297,3.7023,1.1204,0.849,,9.5364,2.3544,0.256136,0.0643997,0.177705,0.362397,0.318333,0.434621,0.325759,0.752954,0.178485,7.05276,0.283787,0.215,0.684771,22.438,1.7383,108.59,0.899771,-1.197,2.678160011768341,0.49688100814819336,0.919151,49.619998931884766,,,,,,,214.3,5.494871794,214.3,5.494871794,,,,,,,,,,,,,,,,,,,"CJ Abrams","25768",682928
"Freddie Freeman","LAD",37.96,167.457,146.056,41.6206,26.5552,8.964,0.4591,5.6423,22.6129,22.8601,17.851,2.1769,30.847,2.1769,1.2018,0.1716,,2.0348,0.5639,0.284963,0.1066,0.184208,0.578695,0.368522,0.468517,0.359724,0.837039,0.183553,4.11388,0.324806,0.02,-0.114596,25.9145,6.25325,132.39,-0.0945963,-0.118,6.274909615516663,-2.837079495191574,0.916395,26.920000076293945,,,,,,,232.7,6.12368421,232.7,6.12368421,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
