Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.985,8.9553,22.6366,2.79701,32,32,0,0,,199.765,796.51,159.516,68.1627,62.0827,20.265,43.5373,0.364,7.1136,242.914,10.944,1.96149,5.57945,0.913,0.304973,0.0546601,0.2503131069242954,0.213869,1.01646,0.288496,0.772206,0.423915,,2.78257,5.89057,5.79623,6.820000171661377,,,,,,,1151,5.755,1073,5.365,4.09,3.67,3.39,3.17,2.98,2.8,2.62,2.42,2.17,3.55,3.37,3.24,3.14,3.05,2.96,2.87,2.76,2.62,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.4866,9.1338,21.2591,2.92116,32,32,0,0,,193.982,785.668,158.119,69.2348,62.9612,17.5661,51.6545,0.5028,7.1724,236.969,10.9945,2.39657,4.58758,0.815,0.301615,0.065746,0.23586922138929367,0.217543,1.08141,0.297589,0.758926,0.443775,,2.77892,5.68294,5.74043,10.329999923706055,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.29,3.84,3.55,3.32,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.41,3.29,3.19,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.6199,8.9264,20.7285,3.0199,32,32,0,0,,192.855,773.898,157.521,70.8263,64.7115,19.4998,49.9148,0.493,6.0093,238.636,11.1365,2.32938,4.78087,0.91,0.308356,0.0644979,0.2438579648733139,0.219397,1.0756,0.300152,0.758369,0.454958,,2.84475,5.58995,5.39046,11.760000228881836,,,,,,,1093.7,5.666839378238342,1028,5.3264248704663215,4.39,3.94,3.65,3.41,3.21,3.01,2.82,2.61,2.34,3.84,3.64,3.5,3.38,3.28,3.18,3.08,2.96,2.81,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.558,9.3019,21.1298,3.14614,32,32,0,0,,198.055,812.033,182.593,77.1411,69.2343,17.5609,50.5743,0.4953,6.6741,191.357,8.69564,2.29819,3.78369,0.798,0.235652,0.0622811,0.17337103188037872,0.241914,1.17729,0.302331,0.748033,0.545382,,3.2226,4.70419,5.14912,26.09000015258789,,,,,,,976,4.929292929292929,964,4.8686868686868685,4.59,4.15,3.85,3.62,3.41,3.22,3.02,2.81,2.53,4.01,3.82,3.69,3.58,3.48,3.39,3.29,3.17,3.02,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.9653,7.579,17.7239,3.19539,27.54,27.54,0,0,,168.535,685.659,139.805,65.0451,59.8372,18.1456,44.3032,0.5232,8.6091,205.682,10.9837,2.36585,4.64261,0.969,0.299978,0.064614,0.23536379635334015,0.220949,1.0924,0.297514,0.750219,0.416542,,3.03584,4.15073,4.32281,39.400001525878906,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.59,3.36,3.16,2.95,2.72,2.43,4.03,3.82,3.68,3.56,3.45,3.34,3.23,3.11,2.95,"Chris Sale","10603",519242
"Logan Webb","SFG",12.6152,10.3724,20.748,3.31631,32,32,0,0,,199.392,830.798,193.792,81.7568,73.4716,16.616,47.1727,0.7552,6.049,187.374,8.45756,2.12925,3.97209,0.75,0.225535,0.05678,0.16875510662794113,0.249225,1.2085,0.308891,0.731309,0.547548,,3.13977,4.10894,3.93109,61.41999816894531,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.79,4.34,4.05,3.81,3.6,3.4,3.2,2.98,2.7,4.19,4,3.87,3.77,3.67,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Cole Ragans","KCR",11.8012,8.5529,17.3555,3.30929,29.16,29.16,0,0,,172.018,711.112,139.887,68.6818,63.2509,18.9602,62.2863,0.598,5.6349,210.648,11.0211,3.25882,3.38194,0.992,0.296224,0.08759,0.20863408595323563,0.217489,1.1753,0.292389,0.760077,0.398402,,3.30343,4.06633,4.11993,45,,,,,,,893.0999999999999,5.192441860465116,831,4.8313953488372094,4.79,4.3,3.97,3.71,3.48,3.27,3.06,2.83,2.53,4.18,3.96,3.81,3.68,3.57,3.46,3.34,3.21,3.04,"Cole Ragans","21846",666142
"Jacob deGrom","TEX",11.4131,9.1267,17.1354,3.51881,29.16,29.16,0,0,,174.797,715.502,152.442,73.6012,68.3419,23.5976,39.8141,0.44,5.3405,202.741,10.4388,2.04996,5.09219,1.215,0.283355,0.055645,0.22770977392792702,0.227407,1.09988,0.290183,0.745228,0.378878,,3.34538,4.04818,3.37992,47.84000015258789,,,,,,,875.5999999999999,5.003428571428571,834,4.765714285714286,5.03,4.52,4.18,3.91,3.68,3.46,3.24,3,2.69,4.43,4.18,4.02,3.88,3.76,3.64,3.52,3.38,3.19,"Jacob deGrom","10954",594798
"Dylan Cease","TOR",12.3642,9.7683,17.6015,3.53877,32,32,0,0,,184.857,776.059,155.347,78.6635,72.6852,21.9569,67.5163,1.1765,5.8755,217.091,10.5693,3.28712,3.21538,1.069,0.279735,0.0869989,0.19273587316274643,0.221081,1.2056,0.287714,0.750557,0.381152,,3.52156,3.90428,3.37607,79.51000213623047,,,,,,,907.4000000000001,4.904864864864865,851,4.6,4.99,4.52,4.2,3.95,3.73,3.52,3.31,3.08,2.79,4.35,4.16,4.02,3.91,3.81,3.71,3.61,3.49,3.33,"Dylan Cease","18525",656302
"Sonny Gray","BOS",11.5608,9.9566,16.9879,3.69224,30.78,30.78,0,0,,181.357,757.232,171.24,80.8871,74.4015,21.1382,47.9025,0.5013,5.6603,189.679,9.41298,2.3772,3.95969,1.049,0.25049,0.06326,0.1872299462556839,0.243353,1.20835,0.304558,0.729391,0.450923,,3.44462,3.88198,3.47428,132.82000732421875,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.22,4.73,4.4,4.14,3.91,3.7,3.48,3.24,2.94,4.56,4.36,4.22,4.1,3.99,3.89,3.78,3.66,3.49,"Sonny Gray","12768",543243
"Framber Valdez","DET",11.862,10.179,19.3241,3.43571,30.78,30.78,0,0,,190.384,795.919,179.931,80.6032,72.6782,15.5057,62.0594,0.4226,7.8533,176.179,8.3285,2.93373,2.83888,0.733,0.221353,0.077972,0.1433810368180275,0.247836,1.27106,0.307727,0.732637,0.555109,,3.4448,3.72713,3.61518,87.87000274658203,,,,,,,883.2,4.648421052631579,884,4.652631578947369,4.95,4.49,4.18,3.93,3.72,3.51,3.3,3.08,2.79,4.32,4.13,4,3.89,3.79,3.69,3.59,3.48,3.32,"Framber Valdez","17295",664285
"Zack Wheeler","PHI",10.7642,7.4292,16.0596,3.19707,25.92,25.92,0,0,,154.827,628.357,129.188,59.8815,54.9993,17.8051,39.1102,0.4907,6.8629,177.732,10.3314,2.27345,4.54438,1.035,0.282851,0.062242,0.2206091545522213,0.221827,1.08701,0.287926,0.756197,0.415291,,3.22506,3.71738,4.06042,118.2699966430664,,,,,,,808.1999999999999,5.2141935483870965,759,4.896774193548387,4.71,4.2,3.86,3.59,3.36,3.15,2.93,2.69,2.4,3.99,3.8,3.67,3.56,3.46,3.36,3.26,3.15,3,"Zack Wheeler","10310",554430
"Max Fried","NYY",12.8318,9.1033,19.6948,3.28059,30.78,30.78,0,0,,189.434,789.308,175.568,76.5155,69.0505,18.6698,54.2499,0.6299,7.4155,179.617,8.53361,2.57741,3.31092,0.887,0.227563,0.068731,0.15883192420005798,0.241283,1.21318,0.296394,0.752662,0.50471,,3.49657,3.69369,3.81124,53.09000015258789,,,,,,,884.3000000000001,4.678835978835979,875,4.62962962962963,4.76,4.3,4,3.75,3.54,3.34,3.13,2.91,2.63,4.15,3.96,3.83,3.71,3.61,3.52,3.41,3.3,3.15,"Max Fried","13743",608331
"Hunter Brown","HOU",11.9058,9.7624,17.659,3.62938,30.78,30.78,0,0,,184.176,769.968,164.864,81.0524,74.2718,20.8733,61,0.5467,7.1746,200.113,9.77877,2.98084,3.28055,1.02,0.259898,0.0792241,0.18067411333322525,0.234919,1.22635,0.299478,0.736426,0.472946,,3.54589,3.58741,3.28731,37.959999084472656,,,,,,,870.3000000000002,4.729891304347827,843,4.581521739130435,5.15,4.67,4.35,4.09,3.86,3.65,3.43,3.19,2.89,4.52,4.31,4.17,4.05,3.94,3.83,3.72,3.6,3.43,"Hunter Brown","25880",686613
"Hunter Greene","CIN",11.083,10.6054,16.6466,3.91113,30.78,30.78,0,0,,183.816,768.462,155.587,85.1557,79.881,28.2056,61.5323,0.4104,10.0653,220.317,10.7871,3.01274,3.5805,1.381,0.286698,0.080072,0.20662611722946167,0.223267,1.18118,0.284117,0.742907,0.335724,,3.90129,3.57932,3.51328,42.41999816894531,,,,,,,835.6000000000003,4.541304347826088,780,4.239130434782608,5.41,4.9,4.57,4.3,4.07,3.84,3.62,3.37,3.06,4.78,4.55,4.39,4.26,4.14,4.03,3.91,3.78,3.6,"Hunter Greene","22182",668881
