Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",152.512,673.923,537.681,143.107,82.3117,26.8806,2.002,31.913,102.377,90.134,127.363,7.09413,114.3,4.54609,3.60353,0.729727,15.2513,7.0845,3.2776,0.266156,0.188987,0.169604,1.11428,0.408525,0.501656,0.391897,0.910181,0.235499,3.6332,0.281453,,-1.54528,123.159,44.3251,156.954,-1.54528,-0.31,44.35283827781677,-8.33138519525528,6.038,8.529999732971191,,,,,,,1054.2,6.890196078,1054.2,6.890196078,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",145.692,647.416,556.286,161.227,84.5542,28.1563,5.93588,42.581,117.778,109.981,80.1026,11.5517,143.028,5.19854,4.00956,0.58704,7.95646,30.8104,11.854,0.289828,0.123727,0.220922,0.560046,0.381862,0.59142,0.406232,0.973281,0.301591,6.94765,0.316655,,0.111712,125.785,50.0513,164.787,0.111712,0,50.268835082650185,-13.808160781860352,5.9922,1.4700000286102295,,,,,,,1145.5,7.84589041,1145.5,7.84589041,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",148.244,652.481,564.161,154.272,91.9043,31.8522,2.82848,27.6867,95.5666,89.458,75.024,1.37989,87.4363,7.22779,5.33183,0.571144,8.9107,13.9118,3.52802,0.273453,0.114983,0.134006,0.858041,0.362908,0.487167,0.36624,0.850075,0.213714,5.06139,0.278595,,-0.0101397,105.767,29.4407,137.87,-0.0101397,-1.1,29.53727506659925,4.772590517997742,5.78749,11.739999771118164,,,,,,,932.9,6.303378378,932.9,6.303378378,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"William Contreras","MIL",147.168,619.658,545.447,143.634,93.3205,27.411,1.51452,21.3879,74.5716,82.7826,64.538,2.20582,133.767,5.47259,3.33201,0.868463,15.1873,5.16314,1.52852,0.263333,0.104151,0.215872,0.482466,0.345262,0.436775,0.340276,0.782037,0.173443,3.35716,0.310565,,-0.858103,87.4968,15.0104,118.323,-0.858103,9.91,12.719376564025879,15.587777614593506,5.05466,24.239999771118164,,,,,,,762.4,5.186394557,762.4,5.186394557,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Kyle Tucker","CHC",148.023,641.978,552.269,151.937,86.7125,31.0509,2.58055,31.5926,93.2647,97.591,79.2893,5.86179,97.4121,3.05558,5.72018,0.402091,8.87342,22.0423,5.27954,0.275113,0.123508,0.151738,0.813956,0.365874,0.512298,0.37364,0.878172,0.237185,5.38168,0.280532,,0.9822,107.888,32.7904,143.697,0.9822,0.76,34.52786612510681,-7.425427675247192,5.007,8.529999732971191,,,,,,,980.8,6.627027027,980.8,6.627027027,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Francisco Lindor","NYM",152.29,670.31,592.983,150.741,90.1679,29.525,2.09889,28.9491,92.0201,85.4563,57.3875,1.07782,129.913,9.65043,5.18162,0.536935,9.79463,22.6337,6.32188,0.254208,0.0856134,0.193811,0.441736,0.327387,0.457536,0.338741,0.784923,0.203328,5.44001,0.27724,,0.734103,93.8207,15.4091,121.176,0.734103,1.04,17.70782119035721,7.850650787353516,4.94499,15.0600004196167,,,,,,,851.5,5.601973684,851.5,5.601973684,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ketel Marte","ARI",140.941,613.361,537.937,147.978,86.1188,29.9555,3.18466,28.7191,86.8848,94.8049,64.2505,3.68479,111.48,5.8953,4.24105,0.496759,12.611,5.82877,1.84615,0.275084,0.104752,0.181753,0.576341,0.356223,0.502773,0.36708,0.858996,0.227689,4.4119,0.296679,,-0.786171,99.84,28.0902,135.102,-0.786171,-0.27,24.95957922935486,0.37533411383628845,4.72604,32.560001373291016,,,,,,,883.3,6.264539007,883.3,6.264539007,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Fernando Tatis Jr.","SDP",146.469,634.97,566.934,151.834,88.0896,29.7133,2.17352,31.8573,96.7755,89.8518,56.274,0.99489,143.355,6.977,3.99017,0.794576,10.6396,26.189,5.79808,0.267815,0.0886246,0.225767,0.392549,0.339156,0.49647,0.358213,0.835626,0.228655,5.83503,0.303191,,1.70295,98.8257,24.5481,134.445,1.70295,3.91,27.857074975967407,-3.2557079792022705,4.72459,10.90999984741211,,,,,,,905,6.198630136,905,6.198630136,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Corbin Carroll","ARI",150.382,653.695,570.401,146.947,86.1037,30.2956,8.7256,21.8222,101.751,74.0848,66.4381,1.42455,129.277,9.37243,4.04338,3.44037,9.31602,40.1274,7.20005,0.257621,0.101635,0.197764,0.513919,0.34257,0.456102,0.345353,0.798671,0.198481,8.17051,0.295563,,3.84275,94.9743,18.5063,120.478,3.84275,6.95,19.85040855407715,0.5680475234985352,4.35699,9.239999771118164,,,,,,,879.7,5.864666666,879.7,5.864666666,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Ronald Acuña Jr.","ATL",117.786,529.284,457.561,130.5,84.1852,24.2542,1.83336,20.2274,88.6378,62.0726,59.6568,1.74163,94.5681,8.54292,2.9572,0.447762,9.01338,41.5369,10.4524,0.285208,0.112712,0.178672,0.630834,0.375814,0.47885,0.370205,0.854664,0.193642,6.5864,0.318963,,2.88515,87.4857,25.5711,137.647,2.88515,3.3,26.71277618408203,-2.5211946964263916,4.31879,31.739999771118164,,,,,,,803.4,6.808474576,803.4,6.808474576,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
