Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",38,166.765,142.416,42.8195,21.0966,7.12498,1.52528,13.0726,32.9414,32.3644,21.6164,3.49498,38.1803,1.23346,0.978505,0.176105,2.15591,5.86017,2.65879,0.300665,0.129622,0.228946,0.566167,0.395017,0.64749,0.431055,1.04251,0.346825,6.58607,0.322839,,-0.177412,35.4328,15.8528,181.54,-0.177412,0,15.791146069765091,-3.6358025074005127,1.80954,1.5499999523162842,,,,,,,324.7,8.544736842,324.7,8.544736842,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",41,179.085,145.402,39.3805,22.2998,6.7749,0.425899,9.87989,28.7632,26.6795,31.3914,2.2488,31.8911,1.06363,0.924022,0.303648,3.75694,3.26181,1.14741,0.270838,0.175288,0.178078,0.984333,0.401806,0.527136,0.396594,0.928942,0.256298,4.28525,0.282152,,-0.16024,33.0568,12.0303,161.203,-0.16024,-0.12,12.710871085524559,-2.1486049816012383,1.68734,7.079999923706055,,,,,,,286.6,6.990243902,286.6,6.990243902,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Kyle Tucker","CHC",42,184.026,156.317,44.1804,26.033,8.88021,0.89393,8.37322,28.5373,27.834,24.4978,1.80565,26.1475,0.943624,1.59317,0.240598,2.55856,6.74338,1.55352,0.282634,0.133121,0.142086,0.936907,0.379719,0.511578,0.380426,0.891297,0.228944,5.58088,0.290198,,0.389184,31.5613,9.95466,148.415,0.389184,0.33,10.852009385824203,-1.722469002008438,1.55679,8.710000038146973,,,,,,,280.1,6.669047619,280.1,6.669047619,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Ketel Marte","ARI",38,163.227,141.638,40.0235,22.9157,7.86278,0.696212,8.54877,23.9812,27.1878,18.6513,1.1938,27.1443,1.52359,1.13356,0.16075,3.34382,1.6416,0.567172,0.282575,0.114266,0.166298,0.687118,0.369436,0.528988,0.382526,0.898424,0.246413,4.11018,0.29394,,-0.178085,28.2715,9.10695,146.434,-0.178085,-0.09,8.722358956933022,0.09286203980445862,1.45454,30.65999984741211,,,,,,,259.5,6.828947368,259.5,6.828947368,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Fernando Tatis Jr.","SDP",40,167.514,146.257,40.7418,24.3744,7.84554,0.609395,7.91253,27.1186,24.3202,18.1546,0.861666,32.4,1.75396,1.0736,0.275205,3.30337,6.22285,1.67902,0.278563,0.108376,0.193416,0.560327,0.362656,0.502839,0.371183,0.865495,0.224276,5.60059,0.306764,,0.274964,27.4766,7.80866,143.659,0.274964,1.4,8.863435089588165,-0.5027618408203125,1.42227,11.619999885559082,,,,,,,253.5,6.3375,253.5,6.3375,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Francisco Lindor","NYM",41,181.12,160.861,41.6761,25.2465,7.79562,0.563624,8.07039,26.0034,24.209,14.723,0.358589,34.4846,2.77185,1.40437,0.181745,2.61347,6.56329,1.58413,0.259081,0.0812887,0.190396,0.426945,0.329165,0.46506,0.34238,0.794225,0.205979,5.69624,0.280724,,0.388552,25.487,4.22161,123.846,0.388552,0.37,5.460495829582214,2.2035852670669556,1.39648,14.149999618530273,,,,,,,240,5.853658536,240,5.853658536,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ronald Acuña Jr.","ATL",35,150.445,128.015,36.6009,22.4766,6.60227,0.485222,7.03679,25.1823,21.0111,19.2986,0.72711,30.6143,2.11694,0.835042,0.161857,2.80973,8.07398,2.09292,0.285912,0.128277,0.203491,0.63038,0.386094,0.509973,0.385723,0.896066,0.224061,5.90948,0.324173,,0.478169,26.4469,8.783,149.867,0.478169,1,9.288300395011902,-0.7185746431350708,1.38633,37.599998474121094,,,,,,,237.9,6.797142857,237.9,6.797142857,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Mookie Betts","LAD",39,168.787,147.803,41.0639,25.2571,8.56213,0.764347,6.48036,24.9898,23.0462,17.4537,0.418488,19.4822,1.66956,1.52305,0.192872,2.3482,2.92515,0.855981,0.277828,0.103407,0.115425,0.895881,0.357301,0.477634,0.360142,0.834935,0.199806,4.93802,0.280338,,-0.0526588,26.1775,6.36012,132.679,-0.0526588,-0.45,6.4246356301009655,1.2915287613868713,1.36034,13.65999984741211,,,,,,,229.7,5.889743589,229.7,5.889743589,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Bryce Harper","PHI",41,175.692,150.576,42.9637,24.4676,9.61222,0.385121,8.49874,27.0031,27.0867,22.2093,2.21233,36.116,1.38681,1.26669,0.252894,3.22823,3.09192,1.43782,0.285329,0.126411,0.205565,0.614944,0.379391,0.523606,0.383908,0.902996,0.238276,4.04547,0.321418,,-0.268871,30.627,9.9989,146.953,-0.268871,0.48,9.418487399816513,-2.696625977754593,1.28143,22.260000228881836,,,,,,,265.9,6.485365853,265.9,6.485365853,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Corbin Carroll","ARI",39,166.195,145.579,37.599,20.2535,7.51137,2.49164,7.34247,26.6752,22.311,16.3322,0.41537,36.6037,2.25665,1.04666,0.980201,2.06203,8.76374,1.67042,0.258272,0.0982715,0.220246,0.446189,0.34009,0.495409,0.357593,0.835499,0.237137,8.25307,0.29467,,0.819458,25.4326,5.9196,129.254,0.819458,2.23,6.528798341751099,0.44978559017181396,1.27586,7.889999866485596,,,,,,,232.7,5.966666666,232.7,5.966666666,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
