Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",14.0076,7.99848,14.1569,2.80005,29.795,29.795,0,0,,184.175,734.128,141.645,61.36,57.3,15.0676,45.624,0.451962,6.53434,216.018,10.556,2.22949,4.73474,0.736303,0.294251,0.0621471,0.23210342228412628,0.2077,1.0168,0.280732,0.757693,,,2.7025,6.03282,5.71467,9.930000305175781,,,,,,,1080.9,5.874456521739131,998,5.423913043478261,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.472,7.72904,15.0815,2.80981,29.37,29.37,0,0,,188.116,740.576,142.297,63.16,58.73,19.5023,38.843,0.492555,6.06991,227.401,10.8795,1.85836,5.85436,0.933045,0.307059,0.0524497,0.2546098232269287,0.204548,0.962916,0.273631,0.766917,,,2.78145,5.99965,5.77452,6.840000152587891,,,,,,,1095,5.824468085106383,999,5.3138297872340425,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",13.2959,8.07679,14.2762,3.13983,28.875,28.875,0,0,,180.411,724.588,144.633,67.74,62.94,20.2207,44.5642,0.521257,5.15949,218.746,10.9124,2.22313,4.90857,1.00873,0.30189,0.0615028,0.240387711673975,0.214315,1.0487,0.285417,0.754917,,,2.99405,5.13041,4.60879,11.84000015258789,,,,,,,997,5.538888888888889,928,5.155555555555556,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.4639,8.99426,15.9612,3.36015,29.882,29.882,0,0,,192.768,792.182,179.689,77.25,71.97,15.3574,45.7149,0.837986,6.15497,184.445,8.61143,2.13435,4.03469,0.717011,0.232832,0.0577076,0.1751246564090252,0.24272,1.1693,0.304031,0.726588,,,3.0644,5.0174,4.47817,58.7599983215332,,,,,,,987.7,5.117616580310881,982,5.0880829015544045,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",13.6392,8.06833,15.0964,3.28998,28.98,28.98,0,0,,184.98,755.947,166.338,73.02,67.62,15.9074,45.8061,0.474221,5.63943,180.863,8.79969,2.22865,3.94844,0.773955,0.239253,0.0605943,0.17865899205207825,0.236108,1.14685,0.296281,0.732719,,,3.13193,4.6268,4.38353,25.530000686645508,,,,,,,946.6,5.1167567567567565,923,4.989189189189189,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Bryan Woo","SEA",13.3216,8.28443,14.5705,3.3,29.242,29.242,0,0,,182.727,728.499,149.389,71.58,67,23.4658,34.762,0.489272,6.6873,185.523,9.1377,1.71216,5.33694,1.15578,0.254664,0.0477173,0.2069471850991249,0.217436,1.00779,0.263404,0.744031,,,3.45451,4.41847,4.35888,35.029998779296875,,,,,,,929.9000000000002,5.081420765027324,862,4.7103825136612025,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Logan Gilbert","SEA",11.7059,8.14334,12.2626,3.41006,27.888,27.888,0,0,,164.267,659.576,133.109,66.56,62.24,21.4073,37.874,0.514852,5.16235,192.813,10.564,2.07507,5.09091,1.17288,0.292329,0.0574218,0.2349073439836502,0.215896,1.04088,0.277643,0.740521,,,3.26771,4.16104,3.62085,36.209999084472656,,,,,,,866.5000000000002,5.283536585365855,804,4.902439024390244,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Chris Sale","ATL",10.6932,7.82676,12.3543,3.61997,25.49,25.49,0,0,,156.134,644.119,132.194,67.29,62.8,17.6466,44.1436,0.412537,8.27017,192.282,11.0837,2.54456,4.35583,1.0172,0.298519,0.0685333,0.22998615354299545,0.223413,1.1294,0.300039,0.719159,,,3.14848,4.06067,3.08612,39.400001525878906,,,,,,,817.8,5.242307692307692,774,4.961538461538462,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",10.7372,7.8433,11.3796,3.35985,26.135,26.135,0,0,,153.462,631.287,119.933,61.18,57.29,16.8666,54.715,0.50655,4.93385,192.607,11.2957,3.20884,3.52019,0.989164,0.305102,0.0866721,0.21843009442090988,0.209805,1.13805,0.284583,0.75127,,,3.21983,4.01602,3.54702,47.25,,,,,,,817.1000000000001,5.340522875816994,750,4.901960784313726,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",13.0253,6.1958,12.3418,3.26004,26.407,26.407,0,0,,160.369,654.7,131.765,62.31,58.09,15.2276,48.887,0.3863,5.24626,175.023,9.82236,2.74357,3.58014,0.85458,0.267333,0.0746709,0.19266168773174286,0.219401,1.12648,0.284018,0.742732,,,3.19945,4.01507,3.91685,26.940000534057617,,,,,,,844.3,5.2768749999999995,793,4.95625,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
