Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",38,166.766,142.313,42.361,20.5189,8.31429,0.853395,12.6744,32.2303,32.1179,21.7633,3.13268,38.5419,1.23627,0.977339,0.174983,2.23016,6.33863,2.0882,0.297662,0.130501,0.231113,0.564665,0.393053,0.635259,0.426637,1.02831,0.337597,6.05246,0.322423,,0.151284,34.837,15.2568,178.497,0.151284,0,15.523885518312454,-3.6358025074005127,1.78209,1.5499999523162842,,,,,,,319.1,8.397368421,319.1,8.397368421,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",41,179.016,145.538,40.0681,22.3354,7.19182,0.337626,10.2033,29.1678,27.2336,31.1939,2.16001,32.3745,1.0638,0.918041,0.302411,3.77625,3.20348,1.10947,0.275311,0.174252,0.180847,0.963534,0.404703,0.539688,0.402212,0.944391,0.264377,4.03124,0.287499,,-0.155961,33.8578,12.8394,165.073,-0.155961,-0.12,13.52390342950821,-2.1486049816012383,1.77062,7.079999923706055,,,,,,,291.2,7.102439024,291.2,7.102439024,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Fernando Tatis Jr.","SDP",40,167.303,146.273,41.8896,24.4176,8.21793,0.753137,8.50096,27.9043,25.3143,17.9344,0.825072,32.3722,1.75218,1.06809,0.274998,3.28477,6.17635,1.69383,0.286379,0.107197,0.193494,0.554008,0.368658,0.527209,0.38245,0.895867,0.24083,5.84742,0.313602,,0.260563,28.9673,9.32413,151.423,0.260563,1.4,10.363519459962845,-0.5027618408203125,1.57565,11.619999885559082,,,,,,,268.5,6.7125,268.5,6.7125,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",35,150.472,128.079,37.6487,22.257,7.09519,0.508628,7.78786,26.0144,22.5051,19.2891,1.04807,30.466,2.11281,0.829903,0.161912,2.80391,7.56816,2.32826,0.29395,0.128191,0.202469,0.633135,0.392858,0.539706,0.398259,0.932564,0.245756,5.75624,0.329392,,0.284725,27.978,10.3109,158.505,0.284725,1,10.622794300317764,-0.7185746431350708,1.5235,37.599998474121094,,,,,,,258.6,7.388571428,258.6,7.388571428,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Kyle Tucker","CHC",42,183.979,156.528,43.7513,26.3015,8.70368,0.971708,7.77441,27.9022,26.9037,24.2797,1.66833,26.4337,0.944156,1.59939,0.240044,2.56097,6.24465,1.87628,0.279512,0.13197,0.143678,0.918511,0.376192,0.496536,0.373864,0.872728,0.217024,5.38275,0.290326,,0.156643,30.5762,8.97518,143.894,0.156643,0.33,9.63985961675644,-1.722469002008438,1.43211,8.710000038146973,,,,,,,277.2,6.6,277.2,6.6,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Matt Chapman","SFG",40,169.14,147.849,37.9193,20.7613,7.8296,0.760398,8.56792,24.9009,24.045,18.0705,0.448331,38.9662,1.74637,1.33023,0.143574,2.40292,2.37784,0.634521,0.256473,0.106838,0.230379,0.463748,0.341642,0.493568,0.358032,0.83521,0.237095,4.75515,0.288764,,-0.0466824,25.9434,6.0846,134.077,-0.0466824,0.67,6.721916165202856,1.2872839570045471,1.39163,125.16999816894531,,,,,,,239.3,5.9825,239.3,5.9825,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Will Smith","LAD",34,134.424,115.38,32.6895,19.3726,6.08896,0.600062,6.62784,20.5558,20.778,14.8599,0.704721,22.9779,2.41717,1.52383,0.135897,2.07772,0.537441,0.195718,0.283321,0.110545,0.170936,0.646704,0.372383,0.518827,0.380597,0.891211,0.235506,3.65273,0.298538,,-0.208415,23.0729,7.29016,146.773,-0.208415,-0.47,7.1750634759664536,1.9231045544147491,1.38672,107.08000183105469,,,,,,,211.6,6.223529411,211.6,6.223529411,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Ketel Marte","ARI",38,163.225,141.69,39.5554,22.9948,8.1601,0.592873,7.80767,23.2724,26.1937,18.6344,1.19584,27.0037,1.5236,1.14305,0.160665,3.35941,1.63851,0.561256,0.279169,0.114164,0.165439,0.690066,0.366361,0.510442,0.374707,0.876802,0.231272,3.8549,0.293903,,-0.176686,27.2385,8.07418,141.046,-0.176686,-0.09,7.690985202789307,0.09286203980445862,1.34859,30.65999984741211,,,,,,,250.1,6.581578947,250.1,6.581578947,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Mookie Betts","LAD",39,168.788,148.326,41.2841,25.3658,9.03267,0.561261,6.32432,24.7461,22.966,16.9804,0.227381,19.566,1.67152,1.52978,0.193109,2.37001,2.67385,1.02976,0.278333,0.100602,0.115921,0.86785,0.355686,0.474712,0.358723,0.830398,0.196379,4.49849,0.282012,,-0.172622,25.9838,6.16633,131.701,-0.172622,-0.45,6.110878363251686,1.2915287613868713,1.32812,13.65999984741211,,,,,,,229.7,5.889743589,229.7,5.889743589,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"William Contreras","MIL",39,158.725,139.332,36.7788,23.7012,7.09632,0.0333948,5.94791,19.7266,22.3654,16.9988,0.519992,30.8811,1.1964,0.915344,0.282485,3.99057,1.24031,0.46953,0.263964,0.107095,0.194557,0.550458,0.346964,0.44344,0.343998,0.790404,0.179476,2.76285,0.298117,,-0.215126,22.5436,3.90751,122.519,-0.215126,2.3,3.9822879433631897,3.523118257522583,1.30485,24.790000915527344,,,,,,,200.8,5.148717948,200.8,5.148717948,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
