Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",15.0489,7.32761,15.0209,2.60008,29.454,29.454,0,0,,188.89,741.35,142.089,58.6,54.57,15.7708,37.0717,0.49066,7.2927,234.19,11.1584,1.76635,6.31722,0.751428,0.315897,0.0500057,0.2658913731575012,0.203863,0.948494,0.282576,0.767504,,,2.44549,6.84894,6.34148,6.909999847412109,,,,,,,1168.6000000000001,6.183068783068784,1073,5.677248677248677,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3722,8.62332,14.4448,3.09006,29.891,29.891,0,0,,185.006,746.86,150.012,67.93,63.52,17.169,47.6178,0.461878,5.10696,220.592,10.7312,2.31647,4.63256,0.835222,0.29536,0.0637574,0.23160240054130554,0.216113,1.06823,0.291084,0.747148,,,2.81183,5.81114,4.95502,9.710000038146973,,,,,,,1052.9,5.691351351351352,987,5.335135135135135,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",14.3983,7.71143,15.2271,3.07982,29.348,29.348,0,0,,187.813,761.234,165.285,69.31,64.27,14.0742,44.4076,0.475183,6.01952,191.587,9.18085,2.12801,4.31428,0.674435,0.25168,0.0583364,0.19334321841597557,0.232531,1.11649,0.29934,0.738899,,,2.87462,5.2151,5.05706,25.329999923706055,,,,,,,1024,5.446808510638298,992,5.276595744680851,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",13.5683,9.07277,16.0811,3.26021,30.046,30.046,0,0,,194.426,796.781,178.007,75.76,70.43,15.1146,47.6312,0.823572,5.6348,191.786,8.87778,2.20485,4.02647,0.699655,0.240701,0.0597795,0.1809210069477558,0.239413,1.16054,0.303556,0.732981,,,2.99481,5.19711,4.6615,57.61000061035156,,,,,,,1010.3000000000002,5.207731958762888,997,5.139175257731959,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",13.273,8.44059,14.6791,3.25978,29.34,29.34,0,0,,183.85,741.751,152.443,71.73,66.59,21.0692,42.2982,0.532156,6.24928,218.573,10.6998,2.07062,5.16744,1.0314,0.294672,0.0570248,0.2376474104821682,0.219912,1.05924,0.289651,0.744421,,,3.03938,5.18388,4.42826,12.119999885559082,,,,,,,1002.1000000000001,5.446195652173913,941,5.114130434782608,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",10.8702,7.74944,12.4073,3.56021,25.583,25.583,0,0,,156.96,646.934,129.921,66.52,62.09,16.9649,42.0933,0.413328,12.0477,204,11.6973,2.41361,4.84638,0.97276,0.315334,0.0650658,0.2502680569887161,0.219167,1.09591,0.303785,0.711533,,,2.97565,4.49365,3.15161,39.150001525878906,,,,,,,860.7,5.482165605095542,810,5.159235668789809,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",13.2021,8.44061,14.7335,3.39991,29.291,29.291,0,0,,183.446,735.663,151.153,73.84,69.3,24.3913,37.0265,0.489713,7.46434,189.357,9.29001,1.81655,5.1141,1.19665,0.257397,0.0503307,0.20706592500209808,0.21869,1.0258,0.265511,0.742311,,,3.52677,4.34196,4.13224,35.040000915527344,,,,,,,912.4,4.9857923497267755,849,4.639344262295082,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Max Fried","NYY",13.5863,7.71816,14.414,3.24991,28.699,28.699,0,0,,180.199,741.99,151.847,69.86,65.07,14.6043,55.5599,0.472581,9.41118,173.69,8.6749,2.77493,3.12617,0.729409,0.234086,0.0748795,0.15920688211917877,0.224288,1.15099,0.280818,0.735699,,,3.34263,4.25107,4.37896,49.9900016784668,,,,,,,905.3,5.029444444444445,858,4.766666666666667,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12.2775,8.25973,12.3573,3.36977,29.088,29.088,0,0,,168.955,693.626,130.303,67.6,63.26,18.4946,62.4874,0.580723,4.41316,199.952,10.6512,3.32862,3.19987,0.985181,0.288271,0.0900881,0.19818241894245148,0.207911,1.14108,0.273853,0.750102,,,3.37915,4.15812,3.84737,74.16000366210938,,,,,,,893.2,5.285207100591716,813,4.810650887573964,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jesús Luzardo","PHI",12.1257,8.91906,13.6286,3.68003,29.342,29.342,0,0,,176.012,729.148,153.334,77.69,71.97,20.8387,51.8591,0.491536,7.07106,195.046,9.97328,2.6517,3.76108,1.06554,0.267499,0.0711228,0.19637596607208252,0.228782,1.16579,0.291625,0.724371,,,3.46239,4.06498,3.2181,71.33999633789062,,,,,,,859.3000000000002,4.882386363636365,820,4.659090909090909,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Cole Ragans","KCR",10.6629,7.94192,11.4987,3.4101,26.132,26.132,0,0,,153.972,628.75,116.888,62.2,58.34,19.5258,50.4582,0.503618,7.02272,195.217,11.4108,2.94939,3.86888,1.14133,0.310483,0.0802515,0.23023197799921036,0.204611,1.08686,0.273084,0.75099,,,3.36794,3.91119,3.50315,47.66999816894531,,,,,,,808.4000000000001,5.24935064935065,729,4.733766233766234,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Framber Valdez","DET",13.0436,8.73044,15.6384,3.35022,28.856,28.856,0,0,,187.51,774.579,161.47,75.38,69.8,14.4515,60.1574,0.513862,10.0695,171.408,8.22713,2.8874,2.84932,0.693635,0.221291,0.0776647,0.14362668991088867,0.229246,1.18195,0.28355,0.726171,,,3.43237,3.87906,4.3636,82.1500015258789,,,,,,,932.4,4.959574468085107,890,4.73404255319149,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Yoshinobu Yamamoto","LAD",12.9225,6.35408,12.4779,3.36023,26.497,26.497,0,0,,161.105,660.211,133.419,64.4,60.15,15.9591,51.7607,0.396698,4.1319,178.644,9.97982,2.89157,3.45135,0.891543,0.270587,0.0784003,0.19218660145998,0.220776,1.14944,0.286688,0.741722,,,3.24598,3.86545,3.7585,26.559999465942383,,,,,,,838.8000000000002,5.209937888198759,787,4.888198757763975,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Logan Gilbert","SEA",11.4652,8.41279,12.438,3.57987,27.956,27.956,0,0,,164.872,664.586,133.781,70.09,65.58,24.542,39.0071,0.514632,6.13325,201.109,10.9781,2.12931,5.15571,1.33969,0.302608,0.0586938,0.2439141348004341,0.215969,1.04801,0.277401,0.741881,,,3.45204,3.8216,3.3565,37.04999923706055,,,,,,,832.1,5.043030303030303,767,4.648484848484848,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
