Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",158,682,536,148,87,26,2,34,110,102,139,8,110,3,4,0,,7,4,0.276101,0.204544,0.161482,1.26667,0.425985,0.520291,0.405946,0.946277,0.24419,3.5615,0.28875,0,-1.96852,132.301,52.5498,166.41,-1.96852,-3.32091,52.17264914512634,-11.619370698928833,6.52875,7.079999923706055,,,,,,,1127.3,7.134810126,1127.3,7.134810126,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",148,639,553,161,82,31,5,43,121,130,78,10,146,5,4,0,,38,5,0.29196,0.121461,0.228103,0.532483,0.381451,0.599817,0.409815,0.981268,0.307857,7.30379,0.321611,0,4.52261,125.982,51.2391,167.199,4.52261,0,55.86616230010986,-15.973610877990723,6.3135,1.5499999523162842,,,,,,,1178.4,7.962162162,1178.4,7.962162162,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Francisco Lindor","NYM",158,682,603,156,95,31,3,27,100,95,63,2,128,10,5,1,,22,4,0.258602,0.0923529,0.188422,0.490139,0.336614,0.453838,0.3417,0.790451,0.195236,5.91973,0.285352,0,1.35143,97.0479,17.2963,123.168,1.35143,8.02839,20.239129900932312,15.084564685821533,5.98865,14.149999618530273,,,,,,,881,5.575949367,881,5.575949367,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",151,654,586,163,91,35,1,36,105,102,58,1,144,6,4,0,,22,4,0.277981,0.089178,0.219581,0.406127,0.34757,0.52591,0.372559,0.87348,0.247929,5.44746,0.309353,0,1.6078,109.329,32.8323,144.101,1.6078,7.10977,36.09410834312439,-0.29424238204956055,5.94229,11.619999885559082,,,,,,,995,6.589403973,995,6.589403973,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Mookie Betts","LAD",153,660,564,159,96,34,2,27,106,97,85,3,89,7,4,0,,15,3,0.282223,0.128954,0.134527,0.958573,0.380515,0.493302,0.376608,0.873817,0.211079,5.02125,0.292479,0,0.0977536,112.417,35.2637,144.848,0.0977536,-8.82949,35.46932038664818,-2.1554183959960938,5.70483,13.65999984741211,,,,,,,986.3,6.446405228,986.3,6.446405228,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Elly De La Cruz","CIN",153,661,589,157,91,32,8,26,107,90,63,2,193,4,4,1,,53,13,0.266914,0.0952131,0.292539,0.325472,0.339695,0.481499,0.352048,0.821194,0.214584,8.38633,0.351083,0,4.12101,99.5816,22.2714,120.145,4.12101,0.801167,20.041388034820557,7.882185161113739,5.15273,4.300000190734863,,,,,,,938.3,6.132679738,938.3,6.132679738,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Ronald Acuña Jr.","ATL",127,550,468,138,83,26,2,26,105,77,69,2,103,9,3,0,,36,8,0.293991,0.126143,0.1883,0.669903,0.393053,0.525751,0.39435,0.918804,0.23176,6.88374,0.326471,0,2.71784,101.522,37.2322,153.898,2.71784,-1.29731,38.13976836204529,-7.583270907402039,5.04253,37.599998474121094,,,,,,,916,7.212598425,916,7.212598425,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Michael Harris II","ATL",142,612,570,167,110,32,4,22,84,82,32,2,121,7,4,0,,17,4,0.293424,0.0515663,0.19689,0.261905,0.335585,0.47857,0.348817,0.814155,0.185147,5.7578,0.337137,0,0.571006,90.6518,19.0381,123.251,0.571006,7.65963,17.592547297477722,9.846052885055542,4.93546,41.880001068115234,,,,,,,825.7,5.814788732,825.7,5.814788732,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Austin Riley","ATL",156,675,605,165,96,33,2,33,94,99,56,1,165,10,4,0,,1,0,0.27224,0.0826133,0.244085,0.338462,0.341568,0.499246,0.36049,0.840814,0.227006,2.97468,0.319978,0,-1.04417,106.263,27.3253,131.108,-1.04417,-1.31302,24.058295965194702,1.0970091819763184,4.91459,29.6200008392334,,,,,,,936.2,6.001282051,936.2,6.001282051,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Gabriel Moreno","ARI",127,504,446,129,92,24,1,11,59,61,50,1,84,5,3,0,,5,3,0.288224,0.0981744,0.16573,0.592375,0.364023,0.421082,0.34421,0.785104,0.132858,3.34442,0.332053,0,-1.16439,72.8001,13.8118,119.709,-1.16439,10.2436,10.7199866771698,19.163188934326172,4.81741,184.36000061035156,,,,,,,621.2,4.891338582,621.2,4.891338582,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Trea Turner","PHI",155,668,614,173,117,31,2,23,99,83,44,1,130,6,4,0,,23,3,0.282144,0.0660686,0.194124,0.340343,0.33382,0.453963,0.340186,0.787783,0.171819,5.88184,0.322312,0,2.01161,94.2538,16.1297,118.046,2.01161,0.45217,16.42335796356201,7.607725948095322,4.77461,24.110000610351562,,,,,,,857.6,5.532903225,857.6,5.532903225,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Jackson Merrill","SDP",153,661,614,173,115,28,6,24,84,98,37,2,109,1,5,3,,16,4,0.280944,0.0560707,0.164814,0.340206,0.320604,0.460043,0.334186,0.780647,0.1791,5.61884,0.306146,0,0.13099,90.08,12.7698,118.273,0.13099,6.94831,14.572367817163467,9.308645963668823,4.73522,27.280000686645508,,,,,,,829,5.418300653,829,5.418300653,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Matt Chapman","SFG",156,675,590,143,81,32,2,27,92,80,73,2,176,8,4,0,,9,2,0.242409,0.107901,0.26017,0.414733,0.331551,0.441684,0.335326,0.773235,0.199275,4.45918,0.296639,0,-0.37692,92.5957,13.6579,117.331,-0.37692,7.13118,13.608043640851974,9.541213512420654,4.70741,125.16999816894531,,,,,,,823.3,5.277564102,823.3,5.277564102,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Bryce Harper","PHI",153,661,566,161,90,41,0,30,95,97,85,12,147,5,4,1,,9,4,0.284614,0.128757,0.222105,0.57971,0.380344,0.516438,0.380318,0.896783,0.231824,3.30532,0.333399,0,-0.876807,114.619,37.3087,145.057,-0.876807,0.556111,34.731804609298706,-11.444351434707642,4.67392,22.260000228881836,,,,,,,1012.4,6.616993464,1012.4,6.616993464,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
