Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",152,677,586,170,87,33,5,45,126,138,82,10,156,5,4,0,6,41,5,0.290102,0.121123,0.230428,0.525641,0.379616,0.593857,0.407055,0.973473,0.303754,7.3014,0.321337,,4.88061,131.981,52.787,165.341,4.88061,0,57.77831220626831,-17.412551879882812,6.49302,1.5499999523162842,,,,,,,1238.1,8.145394736,1238.1,8.145394736,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",152,664,522,144,84,25,2,33,108,100,135,8,107,3,4,0,14,7,4,0.275862,0.203313,0.161145,1.26168,0.424699,0.521073,0.405369,0.945772,0.245211,3.58339,0.287565,,-1.909,128.546,50.8721,166.021,-1.909,-3.6,50.51296639442444,-10.91922378540039,6.36866,7.079999923706055,,,,,,,1094.6,7.201315789,1094.6,7.201315789,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Francisco Lindor","NYM",151,658,581,151,92,30,3,26,97,91,61,2,123,10,5,1,8,21,4,0.259897,0.0927052,0.18693,0.495935,0.3379,0.45611,0.343009,0.79401,0.196213,5.92114,0.286041,,1.30929,94.3583,17.3868,124.049,1.30929,7.8,20.231968641281128,15.053086757659912,5.90307,14.149999618530273,,,,,,,854.8,5.660927152,854.8,5.660927152,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Elly De La Cruz","CIN",152,653,585,156,90,32,8,26,105,90,62,2,192,4,1,1,10,53,13,0.266667,0.0949464,0.294028,0.322917,0.340491,0.482051,0.353437,0.822542,0.215385,8.37139,0.353261,,4.11948,99.1219,22.7352,121.079,4.11948,0.8,20.579540252685547,7.997971832752228,5.19316,4.300000190734863,,,,,,,933.7,6.142763157,933.7,6.142763157,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Mookie Betts","LAD",131,586,500,141,85,30,2,24,94,86,75,3,79,6,5,0,6,13,3,0.282,0.127986,0.134812,0.949367,0.37884,0.494,0.375451,0.87284,0.212,5.02084,0.291045,,0.098516,99.3345,30.7853,144.069,0.098516,-7.7,30.979646183550358,-1.2405643463134766,5.08312,13.65999984741211,,,,,,,872.9,6.663358778,872.9,6.663358778,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Ronald Acuña Jr.","ATL",121,547,466,137,83,26,2,26,105,77,69,2,103,9,3,0,8,36,8,0.293991,0.126143,0.1883,0.669903,0.393053,0.525751,0.39435,0.918804,0.23176,6.88374,0.326471,,2.70505,101.044,37.057,153.898,2.70505,-1.3,37.96027588844299,-7.329541444778442,5.04132,37.599998474121094,,,,,,,912.4,7.540495867,912.4,7.540495867,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Fernando Tatis Jr.","SDP",122,523,469,129,71,28,1,29,83,82,47,1,115,5,2,0,11,16,3,0.275053,0.0898662,0.219885,0.408696,0.34608,0.52452,0.371754,0.870601,0.249467,5.31194,0.30581,,1.02211,87.099,25.9195,143.559,1.02211,6,28.264384388923645,0.23500871658325195,4.73881,11.619999885559082,,,,,,,790.9,6.482786885,790.9,6.482786885,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Michael Harris II","ATL",138,559,521,153,100,29,4,20,77,75,29,2,110,6,3,0,9,16,4,0.293666,0.0518784,0.19678,0.263636,0.336315,0.479846,0.349784,0.816161,0.18618,5.77365,0.337563,,0.530282,83.2096,17.8188,123.902,0.530282,7.5,16.507787942886353,9.553938865661621,4.61064,41.880001068115234,,,,,,,754.9,5.470289855,754.9,5.470289855,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"William Contreras","MIL",135,561,494,134,86,27,1,20,76,75,62,3,118,3,2,0,15,6,1,0.271255,0.110517,0.210339,0.525424,0.354724,0.451417,0.349639,0.806141,0.180162,3.89063,0.318436,,-0.373085,83.4419,17.8172,124.625,-0.373085,-0.5,16.146881222724915,9.806437492370605,4.60631,24.790000915527344,,,,,,,732,5.422222222,732,5.422222222,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Corbin Carroll","ARI",152,651,565,147,89,25,11,22,109,87,67,1,133,11,5,3,5,34,6,0.260177,0.102919,0.204301,0.503759,0.347222,0.460177,0.349024,0.807399,0.2,8.42925,0.301205,,3.05982,96.5061,20.3534,122.949,3.05982,-1.3,20.92490315437317,1.091975450515747,4.50873,7.889999866485596,,,,,,,882,5.802631578,882,5.802631578,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Willy Adames","SFG",152,639,571,143,84,34,1,24,79,83,62,2,147,2,4,0,11,13,3,0.250438,0.0970266,0.230047,0.421769,0.323944,0.43958,0.330116,0.763523,0.189142,4.40882,0.294554,,0.232687,85.0025,10.2535,113.824,0.232687,4,10.795926243066788,11.04365062713623,4.44922,91.93000030517578,,,,,,,768,5.052631578,768,5.052631578,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Trea Turner","PHI",136,597,550,156,105,28,2,21,89,75,39,1,116,5,3,0,11,21,3,0.283636,0.0653266,0.194305,0.336207,0.335008,0.456364,0.341801,0.791372,0.172727,5.89848,0.324519,,1.8169,85.0305,15.1946,119.133,1.8169,0.4,15.475801587104797,6.980688005685806,4.36875,24.110000610351562,,,,,,,777.1,5.713970588,777.1,5.713970588,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
