Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani","LAD",39,177,152,44,22,7,2,13,34,32,23,4,43,1,1,0,,9,1,0.287822,0.130171,0.244809,0.531724,0.383844,0.607122,0.412169,0.990965,0.3193,7.53844,0.321771,0,0.892913,34.8262,14.09,168.527,0.892913,0,15.105486631393433,-4.226082801818848,1.7116,1.5499999523162842,,,,,,,334.6,8.579487179,334.6,8.579487179,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",39,171,136,36,21,6,0,9,28,25,33,3,30,1,1,0,,3,1,0.2669,0.193294,0.173451,1.1144,0.410197,0.511048,0.394659,0.921245,0.244148,4.28702,0.278521,0,0.0226747,31.3533,11.2398,159.869,0.0226747,-1.48141,12.066699143499136,-3.2875105142593384,1.47802,7.079999923706055,,,,,,,272.5,6.987179487,272.5,6.987179487,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Francisco Lindor","NYM",39,172,153,39,24,8,0,7,25,23,15,1,33,3,1,0,,6,1,0.255982,0.0865264,0.189249,0.457208,0.331697,0.447993,0.337486,0.779691,0.192011,5.87459,0.281024,0,0.505246,23.541,3.33056,120.474,0.505246,1.45826,4.643947899341583,3.1069146394729614,1.37517,14.149999618530273,,,,,,,217,5.564102564,217,5.564102564,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",34,149,131,35,21,7,0,7,24,19,16,1,30,2,1,0,,5,1,0.271359,0.107099,0.203679,0.525824,0.355762,0.48751,0.362459,0.843272,0.216151,5.73606,0.304363,0,0.406298,23.3588,5.88648,137.648,0.406298,2.54493,6.985525131225586,1.0071706771850586,1.32157,11.619999885559082,,,,,,,211.8,6.229411764,211.8,6.229411764,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Will Smith","LAD",33,134,115,31,20,6,0,5,19,19,16,1,25,2,1,0,,1,1,0.271096,0.119343,0.185508,0.643327,0.369351,0.464179,0.361441,0.83353,0.193083,3.12463,0.303231,0,-0.344234,20.9694,5.20155,133.574,-0.344234,0.314111,4.950550884008408,2.5740861892700195,1.22466,107.08000183105469,,,,,,,176.1,5.336363636,176.1,5.336363636,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Elly De La Cruz","CIN",38,166,148,40,24,8,2,6,26,23,16,1,46,1,1,0,,12,3,0.270329,0.0961901,0.277532,0.346591,0.343216,0.474546,0.350345,0.817762,0.204218,7.93352,0.349102,0,1.02163,24.3636,4.92585,120.935,1.02163,-0.23611,5.091694474220276,1.3373105078935623,1.21725,4.300000190734863,,,,,,,232.4,6.115789473,232.4,6.115789473,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Trea Turner","PHI",36,162,149,42,29,8,1,5,24,19,11,0,30,1,1,0,,7,1,0.283998,0.0681672,0.184355,0.369761,0.337064,0.444723,0.338889,0.781787,0.160725,6.2003,0.325365,0,0.547649,22.3481,3.31979,115.933,0.547649,1.22743,3.5800493955612183,2.829298973083496,1.2035,24.110000610351562,,,,,,,208.6,5.794444444,208.6,5.794444444,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Pete Crow-Armstrong","CHC",37,150,139,35,20,8,2,6,22,22,7,0,38,2,1,2,,9,2,0.253288,0.048768,0.253716,0.192215,0.298128,0.461487,0.32441,0.759616,0.2082,8.33256,0.304829,0,0.928309,18.9831,1.31912,109.818,0.928309,3.4027,2.662866532802582,3.969016134738922,1.18728,127.38999938964844,,,,,,,186.5,5.04054054,186.5,5.04054054,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Ronald Acuña Jr.","ATL",26,118,100,30,18,5,0,6,23,16,16,1,24,1,1,0,,6,1,0.296833,0.13822,0.205625,0.672192,0.401531,0.537646,0.402358,0.939177,0.240813,6.53104,0.338001,0,0.462774,22.3529,8.48523,161.33,0.462774,-0.638878,8.96930792927742,-1.783084213733673,1.13546,37.599998474121094,,,,,,,198.5,7.634615384,198.5,7.634615384,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"William Contreras","MIL",37,156,136,36,24,7,0,5,21,20,19,1,31,1,1,0,,2,1,0.267797,0.119585,0.19813,0.603568,0.357086,0.429944,0.34332,0.787029,0.162147,3.46394,0.311958,0,-0.173518,22.0723,3.75504,122.052,-0.173518,0.117375,3.866462394595146,1.9666410461068153,1.12394,24.790000915527344,,,,,,,193.9,5.24054054,193.9,5.24054054,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
