Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Logan Webb","SFG",14,9,,3.16837,32,32,0,0,,196,764,181,75,69,14,42,1,5,167,7.66837,1.92857,3.97619,0.642857,0.218586,0.0549738,0.16361256316304207,0.252441,1.13776,0.311567,0.72763,,,3.11036,4.47947,4.76603,98.33999633789062,,,,,,,1000.6,5.105102040816327,991,5.0561224489795915,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",12,7,,3.27832,28,28,0,0,,175.7,640,147,69,64,17,46,0,7,182,9.32271,2.35629,3.95652,0.870803,0.284375,0.071875,0.21250001341104507,0.250426,1.09846,0.335052,0.732861,,,3.25754,4.18196,4.2793,21.649999618530273,,,,,,,913.8799774169922,5.201365926524197,862.4999847412109,4.908935684246408,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Corbin Burnes","ARI",14,7,,3.01648,30,30,0,0,,182,705,152,66,61,15,50,0,7,182,9,2.47253,3.64,0.741758,0.258156,0.070922,0.1872340440750122,0.234568,1.10989,0.303769,0.751381,,,3.17747,4.05462,5.14191,37.04999923706055,,,,,,,960.0999999999999,5.275274725274725,908,4.989010989010989,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Aaron Nola","PHI",11,9,,3.80901,30,30,0,0,,184.3,693,168,84,78,23,41,0,5,183,8.93652,2.00217,4.46341,1.12317,0.264069,0.0591631,0.20490619912743568,0.25966,1.13402,0.328798,0.707014,,,3.55172,3.72614,3.20428,88.30000305175781,,,,,,,872.1200225830078,4.7320673257834205,850.5000152587891,4.614758552228234,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Paul Skenes","PIT",9,6,,3.28846,30,30,0,0,,156,651,129,62,57,17,45,0,4,181,10.4423,2.59615,4.02222,0.980769,0.278034,0.0691244,0.20890937000513077,0.214286,1.11538,0.277228,0.745672,,,3.20494,3.65188,3.83894,10.890000343322754,,,,,,,824.9000000000002,5.287820512820514,774,4.961538461538462,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Dylan Cease","SDP",12,9,,3.48321,32,32,0,0,,175.7,700,141,74,68,19,66,1,5,207,10.6033,3.38076,3.13636,0.97325,0.295714,0.0942857,0.2014285773038864,0.224165,1.17814,0.30273,0.737251,,,3.42829,3.57037,3.34269,47.27000045776367,,,,,,,900.8799774169921,5.127376169974402,832.4999847412109,4.738190092208421,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Yoshinobu Yamamoto","LAD",11,6,,3.39739,24,24,0,0,,145.7,599,113,59,55,16,31,0,3,149,9.20384,1.91489,4.80645,0.988332,0.248748,0.0517529,0.19699499383568764,0.2,0.988332,0.2425,0.699013,,,3.24884,3.4317,3.18647,59.349998474121094,,,,,,,783.5799774169923,5.3780370201061,716.4999847412109,4.917638982489047,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Chris Sale","ATL",11,5,,3.05857,24,24,0,0,,138.3,572,118,51,47,14,37,0,8,168,10.9328,2.40781,4.54054,0.911063,0.293706,0.0646853,0.22902098298072815,0.223909,1.12075,0.301449,0.768095,,,3.0291,3.41318,3.77587,35.97999954223633,,,,,,,745.4200225830077,5.389877123169979,710.5000152587891,5.1373824987761525,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Spencer Strider","ATL",10,6,,3.22196,24,22,0,0,,125.7,516,97,49,45,14,37,0,6,172,12.315,2.64916,4.64865,1.00239,0.333333,0.0717054,0.2616279199719429,0.205074,1.06603,0.289199,0.743007,,,2.90395,3.27584,3.10039,101.01000213623047,,,,,,,720.7799774169921,5.734128837837427,661.4999847412109,5.262529839309288,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Sandy Alcantara","MIA",9,7,,3.42422,24,24,0,0,,157.7,629,144,65,60,15,36,1,6,135,7.7045,2.05453,3.75,0.856056,0.214626,0.0572337,0.157392680644989,0.245315,1.14141,0.295195,0.72327,,,3.48988,3.14103,3.64681,137.64999389648438,,,,,,,752.0799774169922,4.769055117127415,737.4999847412109,4.676601135149429,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Hunter Greene","CIN",8,7,,3.72334,27,27,0,0,,154.7,633,113,69,64,17,53,0,18,174,10.1228,3.08339,3.28302,0.989011,0.274882,0.0837283,0.19115323573350906,0.201068,1.07304,0.25876,0.682138,,,3.72239,3.09881,3.27635,94.69999694824219,,,,,,,776.8799774169925,5.021848692582149,687.4999847412109,4.444085315471772,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Blake Snell","LAD",9,6,,3.38346,26,26,0,0,,133,561,100,54,50,14,59,0,2,176,11.9098,3.99248,2.98305,0.947368,0.313726,0.105169,0.2085561603307724,0.2,1.19549,0.277419,0.753228,,,3.26422,3.09753,2.88464,44.5099983215332,,,,,,,721,5.421052631578948,652,4.902255639097745,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Michael King","SDP",13,7,,3.31899,29,28,0,0,,162.7,641,138,65,60,17,59,2,7,177,9.79103,3.26368,3,0.940381,0.276131,0.0920437,0.1840873509645462,0.24,1.21082,0.317585,0.762125,,,3.56599,3.02281,3.48649,62.720001220703125,,,,,,,792.0799774169923,4.868346602790456,748.4999847412109,4.600491695026413,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
